分组号	组内优先度	问题	症状	症状编号	阈值	诊断
1	0	便秘类型	便意很少，但排便还算顺畅	1101	1	气虚秘+3；
1	0	便秘类型	便意很少，且排便困难	1102	1	阴虚秘+3；血虚秘+3；阳虚秘+3
1	0	便秘类型	有便意，但排便困难	1103	1	气秘+3；脾约症+3；痰秘+3；湿秘+3
1	0	大便性状	大便性状正常，不干不稀，但是便意很少	1201	1	气虚秘+3；阳虚秘+2
1	0	大便性状	大便性状正常，但是排便乏力不畅	1202	1	气秘+3；痰秘+2；气虚秘+3
1	0	大便性状	大便干	1203	1	脾约症+3；阴虚秘+3；血虚秘+3；气虚秘+1；痰秘+1
1	0	大便性状	大便干硬如羊屎	1204	1	脾约症+3；阴虚秘+3；血虚秘+3
1	0	大便性状	便溏散烂不成形	1205	1	湿秘+2；痰秘+1；气虚秘+3
1	0	大便性状	大便前干后溏	1206	1	气虚秘+2；气秘+2；湿秘+1
1	0	大便性状	大便稀溏，但仍然排便不爽	1207	1	湿秘+10；气秘+1
1	0	是否有以下伴随症状	腹胀	1301	1	气秘+3；脾约症+2
1	0	是否有以下伴随症状	恶心干呕	1302	1	气秘+3；痰秘+2
1	0	是否有以下伴随症状	反酸	1303	1	
1	0	是否有以下伴随症状	食道或胃有烧灼感	1304	1	
1	0	是否有以下伴随症状	打嗝嗳气	1305	1	气秘+3；
1	0	是否有以下伴随症状	胃肠中有水声	1306	1	湿秘+2
1	0	是否有以下伴随症状	大便不畅伴随痔疮或肛裂出血	1307	1	脾约症+2；
1	0	是否有以下伴随症状	大便时肛门灼热	1308	1	脾约症+2；阴虚+2；湿秘+2
1	0	头	头晕且重	1401	1	气秘+1；湿秘+1；气虚秘+1
1	0	头	头晕且胀 	1402	1	气秘+2；
1	0	头	头晕伴恶心	1403	1	气秘+2；痰秘+2；
1	0	头	头晕伴神疲体倦	1404	1	气虚秘+3；血虚秘+2；阳虚秘+3；阴虚秘+1
1	0	头	头重 	1405	1	湿秘+1
1	0	耳	耳鸣	1501	1	气虚秘+2；阳虚秘+3
1	0	耳	胀、闭	1502	1	气秘+2；痰秘+2
1	0	耳	痒 	1503	1	气滞+2；肝胃不和+2；肝脾不调+2
1	0	耳	痛	1504	1	气滞+1；肝脾不调+3
1	0	咽	咽干	1601	1	阴虚秘+3；脾约+3；血虚秘+2
1	0	咽	咽痛	1602	1	阴虚秘+3
