分组号	组内优先度	问题	症状	症状编号	阈值	诊断
1	0	吞吐酸水性质	酸而带腐	1201	1	食滞内停+3
1	0	吞吐酸水性质	酸而带馊	1202	1	脾胃虚弱+2；食滞内停+1
1	0	吞吐酸水性质	酸而带辣	1203	1	土虚木旺+3；食滞内停+2
1	0	吞吐酸水性质	酸而带苦	1204	1	土虚木旺+2；肝胃不和+2
1	0	吞吐酸水性质	酸而无其他异味	1205	1	脾胃虚弱+3；肝胃不和+2
1	0	吞吐酸水性质	仅仅口中带酸而无胃中酸水上泛	1206	1	脾胃虚弱+3；肝胃不和+2
1	0	吞吐酸水性质	仅仅半夜或者晨起反酸	1207	1	肝胃不和+3
1	0	吞吐酸水性质	食道或胃有烧灼感	1208	1	食滞内停+3；土虚木旺+2；肝胃不和+1
1	0	吞吐酸水性质	仅仅半夜或者晨起食道或胃有烧灼感	1209	1	肝胃不和+3；
1	0	以下情况是否会加重	餐后易发作或加重	1301	1	食滞内停+3；土虚木旺+2；脾胃虚弱+1
1	0	以下情况是否会加重	饥饿时易发作或加重	1302	1	脾胃虚弱+3；土虚木旺+1
1	0	以下情况是否会加重	夜间易发作或加重	1303	1	肝胃不和+3；脾胃虚弱+2
1	0	以下情况是否会加重	疲劳后易发作或加重	1304	1	脾胃虚弱+3
1	0	以下情况是否会加重	生气后易发作或加重	1305	1	土虚木旺+3
1	0	以下情况是否会加重	思虑过度后易发作或加重	1306	1	脾胃虚弱+1；肝胃不和+1
1	0	以下情况是否会加重	紧张焦虑时易发作或加重	1307	1	肝胃不和+1；土虚木旺+1
1	0	以下情况是否会加重	吃生冷后易发作或加重	1308	1	脾胃虚弱+3
1	0	以下情况是否会加重	吃辛辣后易发作或加重	1309	1	土虚木旺+3；肝胃不和+2
1	0	以下情况是否会缓解	嗳气打嗝或者放屁后能有所缓解	1401	1	食滞内停+2；土虚木旺+2
1	0	以下情况是否会缓解	餐后能有所缓解	1402	1	脾胃虚弱+2
1	0	以下情况是否会缓解	减少食量能有所缓解	1403	1	食滞内停+3；脾胃虚弱+1；
1	0	以下情况是否会缓解	揉按后能有所缓解	1404	1	脾胃虚弱+2；土虚木旺+1
1	0	以下情况是否会缓解	热敷后能有所缓解	1405	1	脾胃虚弱+3
1	0	是否有以下伴随症状	腹胀	1501	1	土虚木旺+3；食滞内停+3
1	0	是否有以下伴随症状	恶心干呕	1502	1	食滞内停+2；土虚木旺+2；脾胃虚弱+1
1	0	是否有以下伴随症状	打嗝嗳气	1503	1	土虚木旺+3；食滞内停+3
1	0	是否有以下伴随症状	胃肠中有水声	1504	1	
1	0	头	头晕且重	1601	1	食滞内停+3；
1	0	头	头晕且胀?	1602	1	食滞内停+2；土虚木旺+3
1	0	头	头晕伴恶心	1603	1	食滞内停+2；土虚木旺+3
1	0	头	头晕伴神疲体倦	1604	1	脾胃虚弱+3；肝胃不和+2
1	0	头	头重?	1605	1	食滞内停+2
1	0	耳	耳鸣	1701	1	脾胃虚弱+2；土虚木旺+3；肝胃不和+2
1	0	耳	胀、闭	1702	1	土虚木旺+3
1	0	耳	痒?	1703	1	土虚木旺+3；肝胃不和+2
1	0	耳	痛	1704	1	土虚木旺+3
1	0	咽	咽干	1801	1	肝胃不和+2
1	0	咽	咽痛	1802	1	土虚木旺+1；肝胃不和+1
1	0	咽	咽痒	1803	1	土虚木旺+1；肝胃不和+2
1	0	咽	咽部异物感	1804	1	
1	0	目	眼干	1901	1	肝胃不和+3
1	0	目	眼痛	1902	1	肝胃不和+1；土虚木旺+2
1	0	目	眼痒	1903	1	肝胃不和+2；土虚木旺+1
