分组号	组内优先度	问题	症状	症状编号	阈值	诊断
1	0	嗳气性质	单纯嗳气	1201	1	痰气交阻+3；脾胃虚弱+2
1	0	嗳气性质	嗳气带有馊腐味	1202	1	食滞内停+3
1	0	嗳气性质	嗳气带有酸味	1203	1	肝胃不和+3；食滞内停+2
1	0	嗳气性质	嗳气带有苦味	1204	1	肝胃不和+2；胆胃气逆+3
1	0	嗳气性质	嗳气无异味	1205	1	痰气交阻+2；脾胃虚弱+3
1	0	以下情况是否会加重	餐后易发作或加重	1301	1	食滞内停+3；胆胃气逆+1
1	0	以下情况是否会加重	饥饿时易发作或加重	1302	1	脾胃虚弱+3
1	0	以下情况是否会加重	疲劳后易发作或加重	1303	1	脾胃虚弱+3
1	0	以下情况是否会加重	生气后易发作或加重	1304	1	胆胃气逆+3；肝胃不和+1
1	0	以下情况是否会加重	思虑过度后易发作或加重	1305	1	脾胃虚弱+2
1	0	以下情况是否会加重	紧张焦虑时易发作或加重	1306	1	痰气交阻+3
1	0	以下情况是否会加重	吃生冷后易发作或加重	1307	1	脾胃虚弱+3
1	0	以下情况是否会加重	吃辛辣后易发作或加重	1308	1	胆胃气逆+2；肝胃不和+2
1	0	以下情况是否会加重	按摩或拍打身体后嗳气增多	1309	1	痰气交阻+3
1	0	以下情况是否会缓解	减少食量能有所缓解	1401	1	食滞内停+3；肝胃不和+1
1	0	以下情况是否会缓解	揉按后能有所缓解	1402	1	胆胃气逆+1；食滞内停+1
1	0	以下情况是否会缓解	热敷后能有所缓解	1403	1	脾胃虚弱+3
1	0	是否有以下伴随症状	腹胀	1501	1	食滞内停+3；胆胃气逆+1
1	0	是否有以下伴随症状	恶心干呕	1502	1	胆胃气逆+3；食滞内停+2；痰气交阻+1
1	0	是否有以下伴随症状	食道或胃有烧灼感	1503	1	肝胃不和+3
1	0	是否有以下伴随症状	胃肠中有水声	1504	1	胆胃气逆+1
1	0	头	头晕且重	1601	1	食滞内停+2；胆胃气逆+1
1	0	头	头晕且胀	1602	1	食滞内停+1；胆胃气逆+2
1	0	头	头晕伴恶心	1603	1	食滞内停+2；胆胃气逆+2
1	0	头	头晕伴神疲体倦	1604	1	脾胃虚弱+3；
1	0	头	头重	1605	1	食滞内停+2
1	0	耳	耳鸣	1701	1	胆胃气逆+2；肝胃不和+1；脾胃虚弱+1
1	0	耳	胀、闭	1702	1	胆胃气逆+1
1	0	耳	痒	1703	1	胆胃气逆+1
1	0	耳	痛	1704	1	胆胃气逆+1
1	0	咽	咽干	1801	1	痰气交阻+2
1	0	咽	咽痛	1802	1	胆胃气逆+2；肝胃不和+1
1	0	咽	咽痒	1803	1	痰气交阻+1
1	0	咽	咽部异物感	1804	1	痰气交阻+3
1	0	目	眼干	1901	1	胆胃气逆+1
1	0	目	眼痛	1902	1	胆胃气逆+1
1	0	目	眼痒	1903	1	胆胃气逆+1；痰气交阻+1
1	0	胸	胸闷气短	2001	1	痰气交阻+2；脾胃虚弱+1
1	0	胸	心悸健忘	2002	1	脾胃虚弱+1
1	0	胸	胸闷胸痛	2003	1	痰气交阻+2
1	0	胸	胸闷痰多	2004	1	食滞内停+2；胆胃气逆+2
1	0	胁	胁肋胀	2101	1	胆胃气逆+2
1	0	胁	胁肋痛	2102	1	胆胃气逆+2
1	0	心	心烦	2201	1	痰气交阻+3；胆胃气逆+1；食滞内停+1
1	0	心	心悸	2202	1	脾胃虚弱+2
1	0	饮	口渴喜冷饮	2301	1	胆胃气逆+1
1	0	饮	口渴喜热饮	2302	1	脾胃虚弱+1；肝胃不和+1
1	0	饮	口渴但不喜饮或饮不多	2303	1	食滞内停+2；脾胃虚弱+1
1	0	食	胃口不佳吃得少	2401	1	食滞内停+3；肝胃不和+1；脾胃虚弱+1
1	0	食	容易饿且能吃	2402	1	肝胃不和+3；胆胃气逆+1
1	0	食	有饥饿感但不想进食	2403	1	肝胃不和+2；
1	0	食	口中清口水多	2404	1	肝胃不和+3；脾胃虚弱+2
1	0	食	厌油	2405	1	胆胃气逆+3；肝胃不和+1；食滞内停+2
1	0	食	口酸	2406	1	食滞内停+1；肝胃不和+3
1	0	食	口腻	2407	1	食滞内停+3
1	0	食	口苦	2408	1	胆胃气逆+3；肝胃不和+1
1	0	食	口咸	2409	1	脾胃虚弱+2
1	0	食	口甜	2410	1	脾胃虚弱+1
1	0	食	口淡乏味	2411	1	脾胃虚弱+2
1	0	食	口臭	2412	1	食滞内停+3
1	0	大便	大便干结	2501	1	食滞内停+1
1	0	大便	便溏不成形	2502	1	脾胃虚弱+1
1	0	大便	溏不成形且臭秽	2503	1	食滞内停+3
1	0	大便	大便时肛门灼热	2504	1	食滞内停+2
1	0	小便	小便黄赤（浓茶色）	2601	1	食滞内停+1；胆胃气逆+1
1	0	小便	小便短少	2602	1	脾胃虚弱+1
1	0	小便	小便清长	2603	1	脾胃虚弱+1
1	0	是否经常有如下这些症状	疲倦乏力	2701	1	脾胃虚弱+2
1	0	是否经常有如下这些症状	怕冷	2702	1	脾胃虚弱+2
1	0	是否经常有如下这些症状	怕热	2703	1	胆胃气逆+1；食滞内停+2
1	0	是否经常有如下这些症状	痰多	2704	1	食滞内停+2；痰气交阻+2；胆胃气逆+1
1	0	是否经常有如下这些症状	潮热盗汗	2705	1	痰气交阻+1
1	0	是否经常有如下这些症状	四肢浮肿	2706	1	脾胃虚弱+2
1	0	是否经常有如下这些症状	喜欢叹气	2707	1	胆胃气逆+1；痰气交阻+2
1	0	是否经常存在如下情绪	心烦易怒，情绪激动	2801	1	胆胃气逆+2
1	0	是否经常存在如下情绪	郁郁寡欢，多愁善感	2802	1	脾胃虚弱+1；痰气交阻+1
1	0	是否经常存在如下情绪	情绪低落，容易悲伤	2803	1	脾胃虚弱+1；
1	0	是否经常存在如下情绪	胆小恐惧	2804	1	脾胃虚弱+2；胆胃气逆+1
1	0	睡眠情况	入睡困难	2901	1	胆胃气逆+2；
1	0	睡眠情况	睡眠浅	2902	1	胆胃气逆+1；肝胃不和+1；食滞内停+1
1	0	睡眠情况	多梦	2903	1	胆胃气逆+1；肝胃不和+1
