分组号	组内优先度	问题	症状	症状编号	阈值	诊断
1	0	主要症状	月经提前	1001	1	心脾两虚+2；心肝血虚+2；肾虚肝旺+3
1	0	主要症状	月经延期	1002	1	肝郁气滞+1；心胆气虚+2；肝肾精亏+2
1	0	主要症状	月经先后无定期	1003	1	肝郁气滞+2；心胆气虚+1；心脾两虚+1；肝肾精亏+1
1	0	主要症状	月经量少	1004	1	心脾两虚+3；肝肾精亏+3；心肝血虚+2
1	0	主要症状	月经量多	1005	1	肾虚肝旺+2
1	0	主要症状	已绝经	1006	1	肝肾精亏+3；肾虚肝旺+2；心肝血虚+1
1	0	主要症状	阵发性面部潮红	1007	1	心肝血虚+2；肾虚肝旺+3；
1	0	主要症状	阵发性潮热	1008	1	心肝血虚+2；肾虚肝旺+3；
1	0	主要症状	阵发性出汗	1009	1	心肝血虚+2；肾虚肝旺+3；
1	0	主要症状	自感忽冷忽热	1010	1	心肝血虚+2；肝肾精亏+2；肝郁气滞+1；
1	0	主要症状	腰膝酸痛	1011	1	肾虚肝旺+2；肝肾精亏+3
1	0	头	头晕且胀	1101	1	肾虚肝旺+3；心肝血虚+1
1	0	头	头晕且目眩	1102	1	肾虚肝旺+2；心肝血虚+2；肝郁气滞+1
1	0	头	头晕伴恶心	1103	1	心胆气虚+3；肝郁气滞+2
1	0	头	头晕伴神疲体倦	1104	1	心脾两虚+3；肝肾精亏+2
1	0	耳	耳鸣	1201	1	肾虚肝旺+1；肝肾精亏+3
1	0	耳	胀、闭	1202	1	肾虚肝旺+3；肝郁气滞+2
1	0	耳	痒 	1203	1	肝郁气滞+2；肾虚肝旺+1；心肝血虚+1
1	0	耳	痛	1204	1	肝郁气滞+2；肾虚肝旺+3
1	0	咽	咽干	1301	1	肾虚肝旺+3；心肝血虚+2；肝郁气滞+2
1	0	咽	咽痛	1302	1	肾虚肝旺+3；肝郁气滞+1
1	0	咽	咽痒 	1303	1	心肝血虚+1；肝郁气滞+1
1	0	咽	咽部异物感	1304	1	心胆气虚+3；心肝血虚+2
1	0	目	眼干 	1401	1	肾虚肝旺+3；心肝血虚+2；肝郁气滞+1
1	0	目	眼痛 	1402	1	肾虚肝旺+2；肝郁气滞+1
1	0	目	眼痒 	1403	1	肾虚肝旺+1；心肝血虚+1；肝郁气滞+1
1	0	胸	胸闷气短	1501	1	心脾两虚+3；肝郁气滞+3
1	0	胸	心悸健忘	1502	1	心胆气虚+3；心肝血虚+2；心脾两虚+3
1	0	胸	胸闷胸痛	1503	1	肝郁气滞+3
1	0	胸	胸闷痰多	1504	1	心胆气虚+3；肝郁气滞+2
1	0	胁	胁肋胀 	1601	1	肝郁气滞+2；心胆气虚+1；肾虚肝旺+1
1	0	胁	胁肋痛	1602	1	肝郁气滞+3；肾虚肝旺+1；心肝血虚+1
1	0	心	心烦  	1701	1	肾虚肝旺+2；心肝血虚+3；肝郁气滞+1
1	0	心	心悸	1702	1	心胆气虚+3；心肝血虚+2；心脾两虚+3
1	0	饮	口渴喜冷饮	1801	1	肾虚肝旺+3；心肝血虚+2；肝郁气滞+1
1	0	饮	口渴喜热饮 	1802	1	心胆气虚+1；肝肾精亏+3；
1	0	饮	口渴但不喜饮或饮不多	1803	1	心脾两虚+2；肝郁气滞+1；心肝血虚+1
