分组号	组内优先度	问题	症状	症状编号	阈值	诊断
1	0	胃胀性质	胃脘胀	1201	1	客气上逆痞+1
1	0	胃胀性质	胃脘胀牵连胸胀	1202	1	痰痞+3；客气上逆痞+2；火热痞+2
1	0	胃胀性质	胃脘胀牵连胁肋胀	1203	1	饮气痞+3；气痞+3；
1	0	胃胀性质	胃脘胀牵连下腹胀	1204	1	饮气痞+3；气痞+2；
1	0	以下情况是否会加重	餐后易发作或加重	1301	1	食痞+3；痰痞+2；饮气痞+2；湿痞+2
1	0	以下情况是否会加重	饥饿时易发作或加重	1302	1	虚痞+3
1	0	以下情况是否会加重	夜间易发作或加重	1303	1	虚痞+3
1	0	以下情况是否会加重	疲劳后易发作或加重	1304	1	虚痞+3
1	0	以下情况是否会加重	生气后易发作或加重	1305	1	气痞+3；火热痞+1
1	0	以下情况是否会加重	思虑过度后易发作或加重	1306	1	虚痞+2
1	0	以下情况是否会加重	紧张焦虑时易发作或加重	1307	1	气痞+1
1	0	以下情况是否会加重	吃生冷后易发作或加重	1308	1	客气上逆痞+3；饮气痞+1
1	0	以下情况是否会加重	吃辛辣后易发作或加重	1309	1	火热痞+2
1	0	以下情况是否会缓解	嗳气打嗝或者放屁后能有所缓解	1401	1	气痞+3；食痞+2；湿痞+1；饮气痞+1
1	0	以下情况是否会缓解	餐后能有所缓解	1402	1	虚痞+3
1	0	以下情况是否会缓解	减少食量能有所缓解	1403	1	食痞+3；虚痞+1；
1	0	以下情况是否会缓解	揉按后能有所缓解	1404	1	虚痞+3；气痞+1
1	0	以下情况是否会缓解	热敷后能有所缓解	1405	1	虚痞+2
1	0	是否有以下伴随症状	腹痛	1501	1	气痞+3；食痞+2；湿痞+1
1	0	是否有以下伴随症状	恶心干呕	1502	1	食痞+2；痰痞+2；客气上逆痞+2
1	0	是否有以下伴随症状	反酸	1503	1	饮气痞+3；食痞+2；湿痞+1
1	0	是否有以下伴随症状	食道或胃有烧灼感	1504	1	痰痞+3；火热痞+2；湿痞+1
1	0	是否有以下伴随症状	打嗝嗳气	1505	1	饮气痞+3；食痞+2；气痞+3
1	0	是否有以下伴随症状	胃肠中有水声	1506	1	饮气痞+3
1	0	头	头晕且重	1601	1	湿痞+3；饮气痞+2
1	0	头	头晕且胀	1602	1	痰痞+2；气痞+2；饮气痞+2
1	0	头	头晕伴恶心	1603	1	痰痞+2；气痞+2；客气上逆痞+2；饮气痞+2
1	0	头	头晕伴神疲体倦	1604	1	虚痞+3
1	0	头	头重	1605	1	湿痞+3；饮气痞+2
1	0	耳	耳鸣	1701	1	虚痞+2；气痞+2
1	0	耳	胀、闭	1702	1	气痞+2
1	0	耳	痒	1703	1	气痞+2
1	0	耳	痛	1704	1	气痞+1；火热痞+2
1	0	咽	咽干	1801	1	火热痞+2
1	0	咽	咽痛	1802	1	火热痞+3
1	0	咽	咽痒	1803	1	气痞+1
1	0	咽	咽部异物感	1804	1	气痞+1；痰痞+2
1	0	目	眼干	1901	1	火热痞+3；气痞+1
1	0	目	眼痛	1902	1	火热痞+3
1	0	目	眼痒	1903	1	气痞+2
1	0	胸	胸闷气短	2001	1	饮气痞+3
1	0	胸	心悸健忘	2002	1	虚痞+3
1	0	胸	胸闷胸痛	2003	1	气痞+3；痰痞+3
1	0	胸	胸闷痰多	2004	1	食痞+3；痰痞+3；湿痞+2
1	0	胁	胁肋痛	2101	1	气痞+3
1	0	心	心烦	2201	1	客气上逆痞+3；火热痞+2
1	0	心	心悸	2202	1	虚痞+3；饮气痞+3
1	0	饮	口渴喜冷饮	2301	1	火热痞+3
1	0	饮	口渴喜热饮?	2302	1	虚痞+2
1	0	饮	口渴但不喜饮或饮不多	2303	1	湿痞+2；饮气痞+1
1	0	食	胃口不佳吃得少	2401	1	痰痞+2；客气上逆痞+2；虚痞+2；食痞+2；湿痞+2
1	0	食	容易饿且能吃	2402	1	湿痞+2；火热痞+3
1	0	食	有饥饿感但不想进食	2403	1	湿痞+3；火热痞+2；客气上逆痞+2
1	0	食	口中清口水多	2404	1	虚痞+2；痰痞+2；饮气痞+2
1	0	食	厌油	2405	1	气痞+3；食痞+1；湿痞+1
1	0	食	口酸	2406	1	食痞+3；
1	0	食	口腻	2407	1	食痞+2；湿痞+3
1	0	食	口苦	2408	1	气痞+3
1	0	食	口咸	2409	1	虚痞+2
1	0	食	口甜	2410	1	虚痞+2；湿痞+1；食痞+1
