编号	阈值	加药	减药	类型
3703	1	枣仁20		1
3707	1	夜交藤15		1
3708	1	白芷10		1
3704	1	柏子仁10		1
10001	1	黄柏8g 知母12g		1
3810	1	黄柏6g 黄连3g 白芷6g 		2
3807	1	黄连3g 黄柏3g 黄芩6g 白芷3g 		2
10005	1	高良姜6g		1
10006	1	高良姜6g		1
"10,1401。"	1	鹿角霜10 补骨脂10		1
20，3305。	1	生艾叶10 炮姜15		1
"20,3310。"	1	生艾叶10 炮姜15		1
"20,3308。"	1	生艾叶10 炮姜15		1
20，6308。	1	小茴香10 高良姜8		1
30，3107。	1	龙眼肉10 酸枣仁10		1
30，3706。	1	龙眼肉10 酸枣仁10		1
30，3303。	1	桃仁20 鸡血藤15	鹿角胶粉冲服10	1
30，3307。	1	桃仁20 鸡血藤15	鹿角胶粉冲服10	1
30，3309。	1	桃仁20 鸡血藤15	鹿角胶粉冲服10	1
30，3209。	1	桃仁20 鸡血藤15	鹿角胶粉冲服10	1
40，6307。	1	苍术9、续断15		1
40，1116。	1	棕榈炭10、三七粉冲服6		1
40，1103。	1	生晒参先煎5 升麻6		1
50，1113。	1	败酱草15 连翘15 金银花10	阿胶珠10、棕榈炭10	1
50，1117。	1	败酱草15 连翘15 金银花10	阿胶珠10、棕榈炭10	1
60，3103。	1	合欢皮10 		1
60，3112。	1	生龙骨先煎15 煅牡蛎先煎15		1
60，10002。	1	生龙骨先煎15 煅牡蛎先煎15		1
				
				
