编号	前提	问题	症状	问题类型	显示序列号
1101		崩漏	月经周期正常	"选择,多重"	1101
1102		崩漏	月经周期不确定（经血非时而下）	"选择,多重"	1102
1103		崩漏	出血量多而势急	"选择,多重"	1103
1104		崩漏	出血量开始少，后崩下如注	"选择,多重"	1104
1105		崩漏	出血淋漓日久	"选择,多重"	1105
1106		崩漏	出血点滴淋漓	"选择,多重"	1106
1107		崩漏	出血质地粘稠	"选择,多重"	1107
1108		崩漏	出血质地清稀	"选择,多重"	1108
1109		崩漏	出血色淡	"选择,多重"	1109
1110		崩漏	出血色如黑豆水	"选择,多重"	1110
1111		崩漏	出血色深红	"选择,多重"	1111
1112		崩漏	出血色鲜红	"选择,多重"	1112
1113		崩漏	出血色紫红	"选择,多重"	1113
1114		崩漏	先停经数月或月经推迟数日，继而经血暴下	"选择,多重"	1114
1115		崩漏	夹有血块	"选择,多重"	1115
1116		崩漏	时漏时止，量或多或少，难有净日	"选择,多重"	1116
1117		崩漏	出血有腥臭气	"选择,多重"	1117
1201		经期或出血时伴随症状	无	"选择,多重"	1201
1202		经期或出血时伴随症状	乳房胀痛	"选择,多重"	1202
1203		经期或出血时伴随症状	乳房刺痛	"选择,多重"	1203
1204		经期或出血时伴随症状	乳房内侧胀痛	"选择,多重"	1204
1205		经期或出血时伴随症状	乳房外侧胀痛	"选择,多重"	1205
1206		经期或出血时伴随症状	脊柱两侧肌肉酸痛	"选择,多重"	1206
1207		经期或出血时伴随症状	肩胛骨下缘不适	"选择,多重"	1207
1208		经期或出血时伴随症状	腰骶疼痛连及少腹	"选择,多重"	1208
1209		经期或出血时伴随症状	外阴不适（由出血刺激引起）	"选择,多重"	1209
1210		经期或出血时伴随症状	腰痛如折	"选择,多重"	1210
1211		经期或出血时伴随症状	头痛	"选择,多重"	1211
1212		经期或出血时伴随症状	少腹胀痛	"选择,多重"	1212
1213		经期或出血时伴随症状	小腹疼痛严重时连及会阴、耻骨	"选择,多重"	1213
1301		孕产史	无怀孕史	"选择,多重"	1301
1302		孕产史	无生育史	"选择,多重"	1302
1303		孕产史	流产或生产2次以上	"选择,多重"	1303
1304		孕产史	有生育史	"选择,多重"	1304
1305	1304	孕产史	有剖宫产史	"选择,多重"	1305
1401		生理状态	小于18岁	"选择,多重"	1401
1402		生理状态	45岁以上	"选择,多重"	1402
1403		生理状态	有经期过度劳累或负重历史	"选择,多重"	1403
1404	1304	生理状态	有产后劳伤史	"选择,多重"	1404
1405		生理状态	月经初潮年龄大于16岁	"选择,多重"	1405
1406		生理状态	初潮后曾停经数月	"选择,多重"	1406
1407		生理状态	居住环境炎热	"选择,多重"	1407
1408		生理状态	以上皆无	"选择,多重"	1408
1501		头痛	无	"选择,多重"	1501
1502		头痛	有	"选择,多重"	1502
1503	1502	头痛	头侧面痛，甚至连及耳目	"选择,多重"	1503
1504	1502	头痛	头顶痛	"选择,多重"	1504
1505	1502	头痛	头痛连及齿龈	"选择,多重"	1505
1506	1502	头痛	头空痛	"选择,多重"	1506
1507	1502	头痛	脑仁疼	"选择,多重"	1507
1508	1502	头痛	全头痛	"选择,多重"	1508
1509	1502	头痛	头昏沉	"选择,多重"	1509
1510	1502	头痛	前额痛	"选择,多重"	1510
1511	1502	头痛	枕部疼痛，甚至连及项背或肩	"选择,多重"	1511
2101		带下情况	带下正常	"选择,多重"	2101
2102		带下情况	带下色黄	"选择,多重"	2102
2103		带下情况	带下色赤（包括有血丝）	"选择,多重"	2103
2104		带下情况	带下色白	"选择,多重"	2104
2105		带下情况	带下色黑	"选择,多重"	2105
2106		带下情况	带下色青	"选择,多重"	2106
2107		带下情况	带下量多	"选择,多重"	2107
2108		带下情况	带下如水	"选择,多重"	2108
2109		带下情况	带下粘稠	"选择,多重"	2109
2110		带下情况	带下味臭	"选择,多重"	2110
2111		带下情况	带下味腥	"选择,多重"	2111
3101		整体精神状态	正常	"选择,多重"	3101
3102		整体精神状态	精神疲惫	"选择,多重"	3102
3103		整体精神状态	情志抑郁不舒	"选择,多重"	3103
3104		整体精神状态	烦躁易怒（心烦）	"选择,多重"	3104
3105		整体精神状态	悲伤委屈	"选择,多重"	3105
3106		整体精神状态	爱生闷气	"选择,多重"	3106
3107		整体精神状态	焦虑	"选择,多重"	3107
3108		整体精神状态	乏力	"选择,多重"	3108
3109		整体精神状态	健忘	"选择,多重"	3109
3110		整体精神状态	气短	"选择,多重"	3110
3111		整体精神状态	易受惊吓	"选择,多重"	3111
3112		整体精神状态	情绪易受刺激	"选择,多重"	3112
3113		整体精神状态	喜叹息	"选择,多重"	3113
3114		整体精神状态	形体为梨形肥胖	"选择,多重"	3114
3115		整体精神状态	形体消瘦	"选择,多重"	3115
3201		面色	正常	"选择,多重"	3201
3202		面色	面色淡白	"选择,多重"	3202
3203		面色	面色红赤	"选择,多重"	3203
3204		面色	面色黯红	"选择,多重"	3204
3205		面色	面有色斑	"选择,多重"	3205
3206		面色	面色潮红	"选择,多重"	3206
3207		面色	面色萎黄	"选择,多重"	3207
3208		面色	面色淡黄	"选择,多重"	3208
3209		面色	颧红	"选择,多重"	3209
3210		面色	目下青	"选择,多重"	3210
3211		面色	鼻梁青	"选择,多重"	3211
3212		面色	面色虚浮	"选择,多重"	3212
3213		面色	面色晦暗	"选择,多重"	3213
3301		寒热	正常	"选择,多重"	3301
3302		寒热	发热	"选择,多重"	3302
3303		寒热	潮热	"选择,多重"	3303
3304		寒热	自觉发热	"选择,多重"	3304
3305		寒热	恶寒	"选择,多重"	3305
3306		寒热	平素体温偏低	"选择,多重"	3306
3307		寒热	骨蒸	"选择,多重"	3307
3308		寒热	背脊冷	"选择,多重"	3308
3309		寒热	手足心热	"选择,多重"	3309
3310		寒热	手足冷	"选择,多重"	3310
3311		寒热	恶风	"选择,多重"	3311
3401		饮食	正常	"选择,多重"	3401
3402		饮食	食欲不佳	"选择,多重"	3402
3403		饮食	食量减少	"选择,多重"	3403
3404		饮食	食后腹胀	"选择,多重"	3404
3405		饮食	食后腹痛	"选择,多重"	3405
3406		饮食	食后腹泻	"选择,多重"	3406
3407		饮食	喜食冷饮	"选择,多重"	3407
3408		饮食	喜食热饮	"选择,多重"	3408
3409		饮食	口渴但不喜饮水	"选择,多重"	3409
3410		饮食	喜食辛辣	"选择,多重"	3410
3411		饮食	恶心	"选择,多重"	3411
3412		饮食	消化不良	"选择,多重"	3412
3501		口味	正常	"选择,多重"	3501
3502		口味	口苦	"选择,多重"	3502
3503		口味	口干或口渴	"选择,多重"	3503
3504		口味	口涩	"选择,多重"	3504
3505		口味	口甜	"选择,多重"	3505
3506		口味	口酸	"选择,多重"	3506
3507		口味	口咸	"选择,多重"	3507
3508		口味	口中粘腻	"选择,多重"	3508
3509		口味	口臭	"选择,多重"	3509
3601		出汗	正常	"选择,多重"	3601
3602		出汗	不易出汗	"选择,多重"	3602
