编号	阈值	加药	减药	类型
3702	1	枣仁20		1
3706	1	夜交藤15		1
3707	1	白芷10		1
3703	1	柏子仁10		1
10001	1	黄柏8g 知母12g		1
3809	1	黄柏6g 黄连3g 白芷6g 		2
3806	1	黄连3g 黄柏3g 黄芩6g 白芷3g 		2
10004	1	高良姜6g		1
10005	1	高良姜6g		1
10，1204。	1	香附20 川楝子10		1
10，6105。	1	皂角刺10 黄芪20 三棱10		1
20，1204。	1	金铃子10、玄胡10		1
20，5251。	1	独活10 葛根15 秦艽15		1
"20，1101,10006。"	1	茵陈15 车前子10 土茯苓10		1
20，6105。	1	三棱10 莪术10 夏枯草10 蒲公英15		1
30，1208。	1	川楝子10、金铃子10、香附20		1
40，1206。	1	乌药10 细辛3 吴茱萸5		1
40，5205。	1	木香20 香附20		1
40，5303。	1	木香20 香附20		1
40，5305。	1	木香20 香附20		1
40，5354。	1	杜仲15 续断10 巴戟天10		1
				
				
				
				
				
