分组号	分型号	分型诊断	症状编号	最低阈值	方药		备注
10	101	气滞血瘀	"10007*18，1201,5353,3105,10002,3705,1601，3805,3903,3102,1301,1504,4416。"	0.3	茯苓15，白术15，苍术15，法半夏9，藿香10，白芷10，当归尾10，桂枝15，通草9，生姜20，柴胡20 厚皮15 苏叶10		
10	102	气滞血瘀	"10007*18，1201,5353,1002*2，1104,3501,3103,3105,10002,3705，3903,4416。"	0.3	茯苓15，白术15，苍术15，法半夏9，藿香10，白芷10，当归尾10，桂枝15，通草9，生姜20，柴胡20 黄柏8 栀子8 败酱草10		
10	103	气滞血瘀	"10007*18，1201,5353,5407,1003*2,1103,3805,3102,1504,4202,3705,4416。"	0.3	茯苓15，白术15，苍术15，法半夏9，藿香10，白芷10，当归尾10，桂枝15，通草9，生姜20，柴胡10 陈皮10 党参10 黄芪15 升麻6		
10	104	气滞血瘀	"10007*18，1201,5353,5407,1601*2,3805,1701,10002,3705,4109,4107*2。"	0.3	茯苓15，白术15，苍术15，法半夏9，藿香10，白芷10，当归尾10，桂枝15，通草9，生姜20，桃仁20 红花10 炒白芍15 熟地15 川芎15		
10	105	气滞血瘀	"10007*18，1701,1201,5353,5407,1104,4202,4109,4107,3501,3103,3102,3805。"	0.3	茯苓15，白术15，苍术15，法半夏9，藿香10，白芷10，当归尾10，桂枝15，通草9，生姜20，柴胡20 桔梗15 川牛膝10 枳壳12 桃仁20 红花10 炒白芍15 熟地15 川芎15		
20	201	湿热阻滞	"10008*18，1201,5353,1101,10006,1107,3207,3903,5406,5308,3201,3503,4414。"	0.3	柴胡15，白芍15，苍术15，茯苓15，牛膝10，黄连10，黄芪15，酒大黄9，炙甘草5，阿胶珠10，石膏5败酱草10		
20	202	湿热阻滞	"10008*18，1201,5353，5251,3201,1504,5305,5303,3409,5101,3808,10003,4416。"	0.3	柴胡15，白芍15，苍术15，茯苓15，牛膝10，黄连10，黄芪15，酒大黄9，炙甘草5，阿胶珠10，石膏5，法半夏10 陈皮15		
20	203	湿热阻滞	"10008*18，1201,5353，3409,1101,1503,1107,5406,3207,5308,3201,10003,4414。"	0.3	柴胡15，白芍15，苍术15，茯苓15，牛膝10，黄连10，黄芪15，酒大黄9，炙甘草5，阿胶珠10，石膏5，法半夏10 陈皮15黄柏8 		
20	204	湿热阻滞	"10008*18，1201,5353，1207*2,10006,3702,3903,3801,3503,3103,10003,4414。"	0.3	柴胡15，白芍15，苍术15，茯苓15，牛膝10，黄连10，黄芪15，酒大黄9，炙甘草5，阿胶珠10，石膏10，黄柏8  栀子8		
20	205	湿热阻滞	"10008*18，1201,5353，1101,10006,1107,5251,5303,3409,5101,3103,10003,4416。"	0.3	柴胡15，白芍15，苍术15，茯苓15，牛膝10，黄连10，黄芪15，酒大黄9，炙甘草5，阿胶珠10，石膏5，香附15 厚朴15 法半夏10 苏叶10		
30	301	湿瘀互结	"10009*18，1201,5353，1504,1507,1508,1509*2,3805,1501,5103,4104,4415。"	0.3	葛根15，黄芩15，黄连10，红花15，赤芍10，枳壳10，生地15，桃仁10，炙甘草5，生姜25，白芷15		
30	302	湿瘀互结	"10009*18，1201,5353，1101,3805,3808,5103,3113,3112,3408,10003,4104,4416。"	0.3	葛根15，黄芩15，黄连10，红花15，赤芍10，枳壳10，生地15，桃仁10炙甘草5，生姜25，白芷15，法半夏10 陈皮15		
30	303	湿瘀互结	"10009*18，1201,5353，5309,1101,1501*2,3204,5103,1508,3805,3709,4416。"	0.3	葛根15，黄芩15，黄连10，红花15，赤芍10，枳壳10，生地15，桃仁10炙甘草5，生姜25，白芷15，生艾叶10 制附子先煎8		
30	304	湿瘀互结	"10009*18，1201,5353，1101,1504,3808,3807*2,5501,3103,3113,3112,4415。"	0.3	葛根15，黄芩15，黄连10，红花15，赤芍10，枳壳10，生地15，桃仁10炙甘草5，生姜25，白芷15，党参10 炒白术12		
30	305	湿瘀互结	"10009*18，1201,5353，5309,1508,1509,3805,1501,3501,3103,3204,5103,4416。"	0.3	葛根15，黄芩15，黄连10，红花15，赤芍10，枳壳10，生地15，桃仁10炙甘草5，生姜25，白芷15，川楝子8 柴胡15		
30	306	湿瘀互结	"10009*18，1201,5353，1101,1104*2,3903*2,3501,3103,3709,10003,4416。"	0.3	葛根15，黄芩15，黄连10，红花15，赤芍10，枳壳10，生地15，桃仁10炙甘草5，生姜25，白芷15，栀子8 黄柏10 柴胡15		
40	401	寒湿凝滞	"10010*18,1201，5353，1501,5108,1105,1506,1507,3202,3809,4109,4203,4417。"	0.3	法半夏9，生姜30，党参10，砂仁15，白蔻仁10，炙甘草5，茯苓10，陈皮15，桂枝15，白芍10，小茴香10 乌药10		
40	402	寒湿凝滞	"10010*15,1201，5353，1101*2,1105,3202,3805,3809,5108,4402。"	0.3	法半夏9，生姜30，党参10，砂仁15，白蔻仁10，炙甘草5，茯苓10，陈皮15，桂枝15，白芍10，小茴香10 乌药10		
40	403	寒湿凝滞	"10010*18,1201，5353，1506，1505,1507,1501,3202,3908,3805,4107,4109,4402。"	0.3	法半夏9，生姜30，党参10，砂仁15，白蔻仁10，炙甘草5，茯苓10，陈皮15，桂枝15，白芍10，红花15 桃仁20 川芎10 熟地15 当归尾10		
40	404	寒湿凝滞	"10010*18,1201，5353，5303,1204,5205,1501,3212,3908,3805,4109,4203,4417。"	0.3	法半夏9，生姜30，党参10，砂仁15，白蔻仁10，炙甘草5，茯苓10，陈皮15，桂枝15，白芍10，元胡20 香附20		
