编号	阈值	加药	减药	类型
10，5307。	1	巴戟天15 杜仲10		1
10，5313。	1	巴戟天15 杜仲10		1
10，2110。	1	金樱子10 沙苑子10		1
10，2107。	1	金樱子10 沙苑子10		1
20，1202。	1	川楝子10		1
"30,2110。"	1	金樱子10  芡实15		1
"30,2107。"	1	金樱子10  芡实15		1
"30,3913。"	1	乌药10 益智仁15		1
30，3403。	1	砂仁后下10 陈皮15		1
30，3404。	1	砂仁后下10 陈皮15		1
"30,1103。"	1	焦艾叶10 乌贼骨10	生姜10 当归15	1
30，3810。	1	肉豆蔻10 补骨脂10		1
40，1109。	1	栀子10 黄芩12		1
40，1110。	1	乌药10 小茴香10		1
40，10003。	1	香附20 川楝子10		1
"40,1111。"	1	泽兰15 益母草10		1
3703	1	枣仁20		1
3707	1	夜交藤15		1
3708	1	白芷10		1
3704	1	柏子仁10		1
10004	1	黄柏8g 知母12g		1
3810	1	黄柏6g 黄连3g 白芷6g 		2
3807	1	黄连3g 黄柏3g 黄芩6g 白芷3g 		2
10005	1	高良姜6g		1
10006	1	高良姜6g		1
