分组号	分型号	分型诊断	症状编号	阈值	最低阈值	方药
10	101	肾阴虚	"1102,1105,1107,5108,5109,5309,3912,3911,5504,3109,4204。"	0.6	0.3	党参10，熟地15，怀山药12，山茱萸12，远志10炙甘草6，五味子12，菟丝子10
10	102	肾阴虚	"1103,1107,3303*2,3605,3109,3304，3911,3912,4111,4205。"	0.6	0.3	党参10，熟地15，怀山药12，山茱萸12，酸枣仁10，炙甘草6，五味子10菟丝子10鳖甲先煎15 青蒿10
10	103	肾阴虚	"1113*2,1107,3109,3303,3605,3304,3912,1402,1303，5108。"	0.6	0.3	党参10，熟地15，怀山药12，山茱萸12，远志10，炙甘草6，五味子12，菟丝子10，麦冬10 ，青皮15，酸枣仁10
10	104	肾阴虚	"1405,1105,5108,5109,3912,1102,5309*2,1402,3109,4204。"	0.6	0.3	党参10，熟地15，怀山药12，山茱萸12，远志10，炙甘草6，五味子12，肉苁蓉10，炒白术15， 陈皮20， 黄芪20
10	105	肾阴虚	"1102,1107,5108,5109,5504,3304,3911,3109,1303,1402,4111。"	0.6	0.3	党参10，熟地15，怀山药12，山茱萸12，远志10，炙甘草6，五味子12，菟丝子10麦冬10
20	201	肝肾阴虚	"1110,1104,1107,3102,1202,3611,3104,3107,3706,10001,4107。"	0.6	0.3	当归15、炒白芍12、熟地15、柴胡20、怀山药12、茯苓15、菟丝子10、炒荆芥12、龙胆草6
20	202	肝肾阴虚	"1104,1107,3104,3111,5313,5504,3303,3605,3611*2,3610。"	0.6	0.3	当归15、炒白芍12、熟地15、柴胡20、怀山药12、茯苓15、龙胆草6、炒荆芥15 栀子10 益母草15
20	203	肝肾阴虚	"1110,1104,1107,5313,3305,3310,3610,3102,3706,3310,4204。"	0.6	0.3	当归15、炒白芍12、熟地15、柴胡20、怀山药12、茯苓15、陈皮15、生姜15、肉桂8 生艾叶10 肉苁蓉 10
20	204	肝肾阴虚	"3205*2,1104,1107，1202,3104,3111,5313,3107,3706,4107。"	0.6	0.3	龙胆草6当归15、炒白芍12、熟地15、柴胡20、怀山药12、茯苓15、炒荆芥12、川楝子10 桃仁20 红花10 益母草15
20	205	肝肾阴虚	"1104,1107,5313,5504,1202,3205,10001,3104,5207,3111,4204。"	0.6	0.3	陈皮20、柴胡20，川芎110、香附20、枳壳12)、白芍15，炙甘草6、川楝子10、桂枝15、生龙牡各先煎15、枣仁10
30	301	心脾两虚	"1103,1105,6304,2107,2110,3114,3204,5509,5304,3402,3403,3810。"	0.6	0.3	炒白术30茯神15黄芪12龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20大枣25郁金10砂仁后下10 香附20
30	302	心脾两虚	"1106,1105,3102,3108*2,3110，3707,3704,3204,5304,5509。"	0.6	0.3	炒白术30茯神15黄芪12龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20大枣25郁金10
30	303	心脾两虚	"1102,1106,1105,3108*2,3110,3707,3704,3114,5509,4102,4205。"	0.6	0.3	炒白术30茯神15黄芪12龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20大枣25川芎10生地15 炒白芍15
30	304	心脾两虚	"1106,1105,3108*2,3204,3707,3704,5304,3404,3810,6304,3114。"	0.6	0.3	炒白术30茯神15黄芪12龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20大枣25郁金10
30	305	心脾两虚	"1102,1106,6304,3204,3110,3108,5304,3402,3404,3403,3810。"	0.6	0.3	炒白术30茯神15黄芪12龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20大枣25郁金10
40	401	肝郁	"1113,1107,1111,1115,5205,1202,1002,10001,3113,3111，3213。"	0.6	0.3	柴胡20、当归15、炒白芍15、炒白术15、茯苓15、炙甘草6、薄荷后下8、炮姜10、牡丹皮15、栀子8、香附20
40	402	肝郁	"1109,1107,1111,1115,3207,3111,10001,3213,4205。"	0.6	0.3	柴胡20、当归15、炒白芍15、炒白术15、茯苓15、炙甘草6、薄荷后下8、炮姜10、牡丹皮15、香附20栀子10 黄芩12
40	403	肝郁	"1110,4108,1111,1115,1202,1002,3207,4108,3103,3113,3706。"	0.6	0.3	柴胡20、当归15、炒白芍15、炒白术15、茯苓15、炙甘草6、炮姜10、牡丹皮15、栀子8、香附20乌药10 鸡血藤10 益母草15
40	404	肝郁	"1113,1115,5205,1202,1002,3213,3410*2,3403,3111,3113,4204。"	0.6	0.3	柴胡20、当归15、炒白芍15、炒白术15、茯苓15、炙甘草6、炮姜10、牡丹皮15、栀子8、香附20、砂仁后下10 法半夏10陈皮15
40	405	肝郁	"1113,1111,1107,1115,3103,3113,1202,3410,3706*2,4204,3403。"	0.6	0.3	柴胡20、当归15、炒白芍15、炒白术15、茯苓15、炙甘草6、陈皮20、法半夏10、生姜20、香附20
