编号	阈值	加药	减药	类型号
"10,1103。"	1	炮姜炭10、藕节10、煅牡蛎先煎15		1
10，5307。	1	菟丝子10、杜仲12、乌药10		1
"10,5504。"	1	菟丝子10、杜仲12、乌药10		1
"10,3912。"	1	菟丝子10、杜仲12、乌药10		1
10，1111。	1	泽兰10、益母草10		1
10，3204。	1	制首乌10、阿胶珠10		1
"10,5108。"	1	制首乌10、阿胶珠10		1
"30,1103。"	1	补骨脂10 制艾叶10		1
40，3304。	1	知母15，黄柏8，白薇10		1
40，3503。	1	知母15，黄柏8，白薇10		1
40，5108。	1	龟甲先煎10、夏枯草15、黄菊花10		1
"40,5109。"	1	龟甲先煎10、夏枯草15、黄菊花10		1
"40,1103。"	1	女贞子12、旱莲草10、乌梅炭10		1
40，1401。	1	菟丝子10、制首乌15、山茱萸10		1
40，1402。	1	党参10、怀山药15、炒白术15		1
50，5106。	1	金银花12 、连翘10		1
50，1103。	1	’炒地榆15，炒槐花12，茜草10，马齿苋10	茯苓15	1
"50,1111。"	1	丹参15、赤芍10、益母草10		1
50，1003。	1	丹参15、赤芍10、益母草10		1
"60,1102。"	1	泽兰10、丹参10、益母草12		1
60，1115。	1	泽兰10、丹参10、益母草12		1
"60,1103。"	1	黄芩12、茜草10、大蓟10、小蓟10	当归15	1
"60,1202。"	1	香附20、郁金10、川楝子10、延胡索10		1
60，5205。	1	香附20、郁金10、川楝子10、延胡索10		1
"60,1002。"	1	香附20、郁金10、川楝子10、延胡索10		1
"70,10003。"	1	蒲黄10、五灵脂10		1
70，1006。	1	肉桂10、小茴香10、乌药10 		1
70，1004。	1	肉桂10、小茴香10、乌药10 		1
70，1008。	1	肉桂10、小茴香10、乌药10 		1
"70,3305。"	1	肉桂10、小茴香10、乌药10 		1
70，3310。	1	肉桂10、小茴香10、乌药10 		1
"70,1103。"	1	茜草10、大蓟10、小蓟10、益母草15		1
3703	1	枣仁20		1
3707	1	夜交藤15		1
3708	1	白芷10		1
3704	1	柏子仁10		1
10004	1	黄柏8g 知母12g		1
3810	1	黄柏6g 黄连3g 白芷6g 		2
3807	1	黄连3g 黄柏3g 黄芩6g 白芷3g 		2
10005	1	高良姜6g		1
10006	1	高良姜6g		1
