编号	问题	症状	问题类型
1101	月经情况	月经量正常	"选择,多重"
1102	月经情况	月经量少	"选择,多重"
1103	月经情况	月经量多	"选择,多重"
1104	月经情况	月经质地粘稠	"选择,多重"
1105	月经情况	月经质地清稀	"选择,多重"
1106	月经情况	月经色淡	"选择,多重"
1107	月经情况	月经色黯	"选择,多重"
1108	月经情况	月经色深红	"选择,多重"
1109	月经情况	经色先红后淡	"选择,多重"
1110	月经情况	经血流出时有灼热感	"选择,多重"
1111	月经情况	有血块	"选择,多重"
1112	月经情况	经前或经期起风疹	"选择,多重"
1113	月经情况	经前或经期起湿疹	"选择,多重"
1114	月经情况	月经淋漓不尽	"选择,多重"
1115	月经情况	经血排出不畅	"选择,多重"
1001	痛经	无	"选择,多重"
1002	痛经	少腹胀痛	"选择,多重"
1003	痛经	小腹热痛	"选择,多重"
1004	痛经	小腹疼痛拒按	"选择,多重"
1005	痛经	血块排出后痛经减轻	"选择,多重"
1006	痛经	小腹刺痛	"选择,多重"
1007	痛经	腹痛连及腰骶	"选择,多重"
1008	痛经	疼痛得温缓解	"选择,多重"
1009	痛经	疼痛连及会阴、耻骨	"选择,多重"
1201	经期不适部位	无	"选择,多重"
1202	经期不适部位	经前乳房胀痛	"选择,多重"
1203	经期不适部位	乳房刺痛	"选择,多重"
1204	经期不适部位	乳房内侧痛	"选择,多重"
1205	经期不适部位	乳房外侧痛	"选择,多重"
1206	经期不适部位	脊柱两侧肌肉酸痛	"选择,多重"
1207	经期不适部位	肩胛骨下缘不适	"选择,多重"
1208	经期不适部位	腰骶疼痛连及少腹	"选择,多重"
1301	孕产史	无怀孕史	"选择,多重"
1302	孕产史	无生育史	"选择,多重"
1303	孕产史	流产或生产2次以上	"选择,多重"
1304	孕产史	有生育史	"选择,多重"
1305	孕产史	有剖宫产史	"选择,多重"
1401	生理状态	小于18岁	"选择,多重"
1402	生理状态	42-52岁	"选择,多重"
1403	生理状态	有经期受寒史	"选择,多重"
1404	生理状态	有产后劳伤史	"选择,多重"
1405	生理状态	以上皆无	"选择,多重"
1501	头痛	无	"选择,多重"
1502	头痛	有	"选择,多重"
