分组号	分型号	症状编号	阈值	最低阈值	方药
10	101	"1102,1106,1105,3102,3108*3,3702,3110，3203,4204，4407。"	0.6	0.3	生晒参先煎6制黄芪12炙甘草6当归15陈皮20茯苓15桂枝15法半夏10柴胡15炒白术20
10	102	"1102,1106,1105,3203,5308,3403,3805,5304,3108*2,4105,4406。"	0.6	0.3	生晒参先煎6制黄芪12炙甘草6当归15陈皮20茯苓15桂枝15法半夏10柴胡15炒白术20升麻6饴糖10
10	103	"1103,3204,1106,1105,3110,3108,5308*2,3702,3403,3805,4406。"	0.6	0.3	生晒参先煎6制黄芪30炙甘草6当归15陈皮20茯苓15桂枝15法半夏10柴胡15炒白术20炮姜炭10藕节10阿胶珠10 
10	104	"3805,1106,1105,3102,3203,3702,3110,3108,5306,3403,4204,4407。"	0.6	0.3	生晒参先煎6制黄芪12炙甘草6当归15陈皮20茯苓15桂枝15法半夏10柴胡15炒白术20厚朴15
10	105	"3204,1106,1105,3102,1102,5207*2,3110,3108,4105,4204,4407。"	0.6	0.3	生晒参先煎6制黄芪30炙甘草6当归15陈皮20茯苓15桂枝15法半夏10柴胡15炒白术20川芎10 熟地15 白芍10
20	201	"1106,5207,3104,10001,3707,3108,3103,4106,4204,4406,3203,3109。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20合欢皮10香附15
20	202	"1106,5207,3104,10001,3707,3204,3106,4111,4205,4407,3706,3109。"	0.6	0.3	炒白术30茯神15黄芪15酸枣仁10党参10木香20当归15远志12炙甘草6生姜10生地15杏仁10生牡蛎先煎15
20	203	"1106,4302,5207,10001,3707,3108,4302,4204,4407,3204,5507*2。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归尾15远志12炙甘草6 生姜15香附15 枳实10益母草15
20	204	"1106,5207,3104,10001,3202,5505,3706,1112*2,3113,3112,4204。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归尾15远志12炙甘草6生姜20 香附15蝉衣15 枳实15
20	205	"1106,3203,3104,10001,3707,3108,4205,3106,1113*2,3112,5505。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归尾15远志12炙甘草6生姜20苍术10 菖蒲10 
30	301	"1102,1106,1107,5307,5108,3911,3213,5504,4106,3102,4402,5109。"	0.6	0.3	熟地15山药15茯苓15生姜20山茱萸15肉苁蓉10菟丝子10 陈皮15
30	302	"1102,1106,1107,1105,3212,3912,3911,3213,5307,5504,4210,1402,5109。"	0.6	0.3	熟地20怀山药12山茱萸12茯苓15丹皮15 泽泻15陈皮20紫河车10
30	303	"1103*2,1109,3202,3102,5108,5109,5504,3212,4204,4407,1105。"	0.6	0.3	生晒参先煎5， 怀山药12，熟地10，杜仲10，当归10 ，山茱萸10， 枸杞10，炙甘草6，炒白芍15，赤芍20
30	304	"1102,1106,1107,5307,3912,3213,3911,5504,3212,3305,3310,1402,4402。"	0.6	0.3	熟地15、怀山药12、山茱萸12、茯苓15杜仲15菟丝子10 枸杞10续断10鹿角胶粉冲服10 仙灵脾10
40	401	"1102,1108,1104,3207,3104,10001,5115,3503,4208,4407,1303,3802。"	0.6	0.3	生地25、玄参12、地骨皮10、麦冬15、阿胶珠10、白芍15、桂枝15、炙甘草6、 生龙骨先煎15煅牡蛎先煎15生姜15
40	402	"1102,1108,1104,3207,10001,3303,3605,3309*2,5108,1402*2。"	0.6	0.3	生地25、玄参12、地骨皮10、麦冬15、阿胶珠10、白芍15、桂枝15、炙甘草6、 生龙骨先煎15煅牡蛎先煎15龟甲先煎10茵陈10
40	403	"1103,1108,1104,3303,10001,5115,3309*2,3503,5502,3802,4407。"	0.6	0.3	生地25、玄参12、地骨皮10、麦冬15、阿胶珠10、白芍15、桂枝15、炙甘草6、生龙骨先煎15煅牡蛎先煎15茵陈15 柴胡15
40	404	"1406,1103,1108,3104,10001,3802,3309,4104,4208,4407,5108,1303。"	0.6	0.3	生地25、玄参12、砂仁后下10麦冬15、阿胶珠10、白芍15、桂枝15、炙甘草6、 生龙骨先煎15煅牡蛎先煎15生姜15当归15 川芎10 川断10
40	405	"1103,4104,1104,10001,5115,3309*2,3503,3802,5502,1303*2。"	0.6	0.3	生地25、玄参12、地骨皮10、麦冬15、阿胶珠10、白芍15、桂枝15、炙甘草6、 生龙骨先煎15煅牡蛎先煎15红花10 枳壳12 当归尾15
50	501	"1101,1108,1104,5405,3206,3503,3407,3802,3904,4104,4205,4405。"	0.6	0.3	丹皮15、地骨皮12、白芍15、熟地15、青蒿20、黄柏8、茯苓15石膏先煎10知母10
50	502	"1101,1107,1104,1502,3104,3503,3407,3206,5115,5106,3802,4405。"	0.6	0.3	丹皮15、地骨皮12、白芍15、熟地15、青蒿20、黄柏8、茯苓15石膏先煎15知母15炙甘草6 连翘15 苍术10
50	503	"1103,1108,1003,3407,1104,1110,5405,3802,3904,5115,4104,4414。"	0.6	0.3	丹皮15、地骨皮12、白芍15、熟地15、赤芍15黄柏8、茯苓15石膏先煎10知母15酒大黄6 益母草15
50	504	"1102,1111,1107,1104,5405,1003,1502,3904,4108*2,4205,4414。"	0.6	0.3	丹皮15、川芎10、白芍15、熟地15、青蒿20、黄柏8、茯苓15石膏先煎10知母10丹参15 益母草15 地龙5
50	505	"1102,1107,1104,3503,3407,3802,1110,3104,4104,4205,3904,4414。"	0.6	0.3	丹皮15、地骨皮12、白芍15、熟地15、青蒿20、黄柏8、茯苓15石膏先煎10知母10鳖甲先煎15 麦冬10 丹参10 
60	601	"1103,1108,10001,1115,1202,5205,1002,3805,3502,4104,4205,4416。"	0.6	0.3	柴胡20 香附20 枳壳12 炒白芍15 川芎15 炙甘草6 陈皮20 香附20、郁金10、川楝子10、延胡索10
60	602	"1103,1108,1202,3104,5205,3502,5111,4104,4205,3605,10001,3706。"	0.6	0.3	柴胡20 香附20 枳壳12 炒白芍15 川芎15 炙甘草6 陈皮20 香附20 郁金10 青皮20 川楝子10 苏子10
60	603	"1102,1107,1104,1111,1115,1202,4108,5205,1002,3706,4108,4205,4416。"	0.6	0.3	柴胡20 香附20 枳壳12 炒白芍15 川芎15 炙甘草6 陈皮20 乌药10 五灵脂10 地龙5
60	604	"1102,1107,3104*2,3805*2,3706,3605,3611*2,5111,4104。"	0.6	0.3	柴胡20 香附20 枳壳12 炒白芍15 川芎15 炙甘草6 陈皮20 青蒿15 鳖甲先煎15 麦冬20 丹参10
60	605	"1102,1108,1115,1202,5205,1002,3402,3805,10001,3706,3705,4416。"	0.6	0.3	柴胡20 香附20 枳壳12 炒白芍15 川芎15 炙甘草6 陈皮20 法半夏10 白芷10 苍术10 炙黄芪10
70	701	"1102,1107,1111,1004,1005,3114,3310,1008*2,4107,4108,4415。"	0.6	0.3	当归尾20 山楂15 香附20 红花20 乌药10 青皮20 木香20 泽泻15 陈皮15 炙黄芪20生姜15 肉桂10 小茴香10 乌药10
70	702	"1103,1114,1107,1111,1006,3205,5205,1007,4107,10002,3114,4108。"	0.6	0.3	当归尾20 山楂15 香附20 红花20 乌药10 青皮20 木香20 泽泻15 陈皮15 炙黄芪20 桃仁15
70	703	"1102,1114,1107,1111,1006,1402,3205,10002,3706,1007,4108,5205。"	0.6	0.3	当归尾20 山楂15 香附20 红花20 乌药10 青皮20 木香20 陈皮15 炙黄芪20柴胡20 郁金10 川楝子10 酸枣仁10 煅牡蛎先煎15
70	704	"1102,1114,1111,1004,1005,4108,5306,4302,4415*2,3114,6309。"	0.6	0.3	当归尾20 山楂15 香附20 红花20 乌药10 青皮20 木香20 泽泻15 陈皮15 炙黄芪20 桃仁15
70	705	"1102,1114,1107,1111,3205,5205,1004,1005,4107,3114,6309,4108。"	0.6	0.3	当归尾20 山楂15 香附20 红花20 乌药10 青皮20 木香20 泽泻15 陈皮15 炙黄芪20 桃仁15 生艾叶10 制附子先煎8
