编号	阈值	加药	减药	类型
10，1110。	1	阿胶珠15 乌贼骨10 茜草10 益母草10		1
10，5303。	1	生艾叶10 炮姜10		1
10，5308。	1	生艾叶10 炮姜10		1
10，5207。	1	生龙骨先煎20 生牡蛎先煎20		1
20，3503。	1	沙参10 麦冬10 天花粉15		1
20，3407。	1	沙参10 麦冬10 天花粉15		1
20，10001。	1	知母15 生大黄6		1
20，1112。	1	黄芩20 黄柏10 马齿苋15		1
20，1210。	1	败酱草15 蒲公英15 五灵脂10		1
20，1011。	1	败酱草15 蒲公英15 五灵脂10		1
30，1113。	1	香附20 元胡10		1
30，3503。	1	黄芩12 黄柏8		1
30，3104。	1	黄芩12 黄柏8		1
30，5202。	1	香附20 郁金10		1
30，1203。	1	川楝子10 漏芦10		1
3703	1	枣仁20		1
3707	1	夜交藤15		1
3708	1	白芷10		1
3704	1	柏子仁10		1
10001	1	黄柏8g 知母12g		1
3810	1	黄柏6g 黄连3g 白芷6g 		2
3807	1	黄连3g 黄柏3g 黄芩6g 白芷3g 		2
10005	1	高良姜6g		1
10006	1	高良姜6g		1
