分组号	分型号	症状编号	阈值	最低阈值	方药
10	101	"1106，1105,3102,3108,3110,5108,5308,1008,3202,4106,4109,4406。"	0.6	0.3	生晒参先煎5 黄芪30 升麻6 炒白术30  炙甘草6 茯苓15
10	102	"1106,1105,3108*2，3102,3110,5207,5108,3805,1008,3202,4406。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20大枣25
10	103	"1111,1106,1007,5108,5207,3110,3108,3805,4103,4109,4108,4415。"	0.6	0.3	生晒参先煎5 黄芪20 升麻6 炒白术30  炙甘草6 红花10 当归尾15 白芍15 熟地15 川芎15
10	104	"1106,1105,5308,5303,3310,3305,6308,3202,3102,5302,5504。"	0.6	0.3	生晒参先煎5 黄芪30 升麻6 炒白术30  炙甘草6 制附子先煎10 干姜6 生艾叶10
10	105	"1202,5306,1209,3108,5207,5108,3805,1008,3202,4103,4109,4406。"	0.6	0.3	生晒参先煎5 黄芪20 升麻6 炒白术30  炙甘草6 茯苓15 柴胡15 陈皮20 
20	201	"1109,1104,3503,3407,3104,2102,5112,3904,10001,4104,4205,4405。"	0.6	0.3	炒地榆15、槐花10、生地20、熟地15、黄芩12、黄柏8、炒白芍15、怀山药15、续断10、炙甘草 6
20	202	"1108,1104,1111,3503,5111,1011,3304,6310,3904,10001,4108,4414。"	0.6	0.3	炒地榆15、槐花10、生地20、熟地15、黄芩12、黄柏8、炒白芍15、怀山药15、续断10、炙甘草 6、败酱草15、知母15、蒲公英15 
20	203	"1109,1108,1104,5405,1407,3203,2102,5112,3904,10001,3509,4405。"	0.6	0.3	炒地榆15、槐花10、生地20、熟地15、黄芩12、黄柏8、炒白芍15、怀山药15、续断10、炙甘草 6、知母15 青蒿15
20	204	"1112,1210,1108,1104,1111,5405,3503,5111,3407,3104,5509,3707。"	0.6	0.3	炒地榆15、槐花10、生地20、熟地15、炒白芍15、怀山药15、续断10、炙甘草 6、黄芩20 黄柏10 马齿苋15
20	205	"1108,5405,3503*2,5111,3407,3104,10001,3707,4211,4407,4104。"	0.6	0.3	炒地榆15、槐花10、生地20、熟地15、黄芩12、黄柏8、炒白芍15、怀山药15、续断10、炙甘草 6、麦冬10 沙参10 
30	301	"1107,1104,1111,1004,1011,5306,3205,1211,4108,4302,1209,4415。"	0.6	0.3	秦艽15，川芎15，桃仁20，红花10，炙甘草6，没药10，当归15，五灵脂10，香附15，川牛膝10，地龙3、干姜6、延胡索10、 赤芍12
30	302	"1107,1104,1111,4107,4108*2,3805，3213,1209,1203,1303,4415。"	0.6	0.3	秦艽15，川芎15，桃仁20，红花10，炙甘草6，没药10，当归15，五灵脂10，香附20，川牛膝10，地龙3、干姜6、延胡索10、 赤芍12、川楝子10
30	303	"1107,1111,1004,5306,3111,6303,3305,5507,4110,3213,3809,1211。"	0.6	0.3	当归15、川芎15、肉桂10、莪术10、三棱10、牡丹皮15，党参10、川牛膝10、炙甘草6g
30	304	"1107,1104,1111,1004,3503,3104,3213,3205,3805,4108,3309,3509。"	0.6	0.3	秦艽15，川芎15，桃仁20，红花10，炙甘草6，没药10，当归15，五灵脂10，香附15，川牛膝10，地龙3、干姜6、延胡索10、 赤芍12、丹参15、天花粉15
30	305	"1107,1111,1004,6303,1303,1211,3805,3809,4108,5306，3213,3205。"	0.6	0.3	秦艽15，川芎15，桃仁20，红花10，炙甘草6，没药10，五灵脂10，香附15，川牛膝10，地龙3、干姜6、延胡索10、 赤芍12、生地15、当归25
