编号	阈值	加药	减药	类型
"10,1110。"	1	枸杞10 山茱萸10 制首乌15		1
10，3402。	1	陈皮20 砂仁后下10		1
10，5207。	1	酸枣仁10 五味子10		1
10，10002。	1	酸枣仁10 五味子10		1
20，3305。	1	肉桂8、淫羊藿15、生晒参先煎5		1
20，3310。	1	肉桂8、淫羊藿15、生晒参先煎5		1
20，5315。	1	补骨脂10 益智仁10 巴戟天10		1
20，3912。	1	补骨脂10 益智仁10 巴戟天10		1
20，3303。	1	生地15 丹皮15 玄参10		1
20，5111。	1	生地15 丹皮15 玄参10		1
30，1005。	1	吴茱萸6		1
30，1210。	1	丹皮15 栀子8 泽兰10		1
30，1203。	1	漏芦10 川楝子10		1
30，5202。	1	香附20 郁金10		1
3703	1	枣仁20		1
3707	1	夜交藤15		1
3708	1	白芷10		1
3704	1	柏子仁10		1
10001	1	黄柏8g 知母12g		1
3810	1	黄柏6g 黄连3g 白芷6g 		2
3807	1	黄连3g 黄柏3g 黄芩6g 白芷3g 		2
10005	1	高良姜6g		1
10006	1	高良姜6g		1
