分组号	分型号	症状编号	阈值	最低阈值	方药
10	101	"1110,1105,1104,5108,5102,5207,10002,3402,5508,3204,10003。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20大枣25  香附20
10	102	"1109,3402,3204,5108,5102,5207,5508,3805,4106,6305,10003。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20 大枣25 麦冬10 五味子10
10	103	"1008*2,1110,3305*2,3402,5508,6304,3805,6303,4106,1108。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20  大枣25  香附20 生艾叶10吴茱萸5 肉桂10
10	104	"1008,1110,1108,1103,6303*2,4108*2,3204,5207,10002,3402。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归尾15远志12炙甘草6生姜20 大枣25  红花10 川芎15
10	105	"1109,1110,1103,5108,5207,10002,6304,6305,3805,3503*2,1108。"	0.6	0.3	炒白术30茯神15黄芪50龙眼肉10酸枣仁10党参10木香20当归10远志12炙甘草6  生姜20大枣25 生地15
20	201	"1114,1106,1104,5315,5303,3912,5504,3111,3305,3310,4105,4402。"	0.6	0.3	熟地黄30、制附子先煎10、肉桂10、怀山药15、山茱萸15、菟丝子10、鹿角胶粉冲服10、枸杞子10、当归15、杜仲15、茯苓15
20	202	"1110,1106,1104,5307,5504,5108,5109,3911,3912,3805,4105,4407。"	0.6	0.3	熟地黄30、制附子先煎10、肉桂10、怀山药15、山茱萸15、菟丝子10、鹿角胶粉冲服10、当归15、杜仲15、茯苓15
20	203	"1114,1106,1104,3111,3805,5307,5504,3303*2,5111*2,4407。"	0.6	0.3	熟地黄30、怀山药15、山茱萸15、菟丝子10、鹿角胶粉冲服10、枸杞子10、川牛膝10、龟板胶粉冲10、陈皮20、法半夏、茯苓15、炙甘草6、生姜20
20	204	"1109,5315*2,5504,5108,5109,3911，5303,1102,3305,1106,4402。"	0.6	0.3	熟地黄30、怀山药15、山茱萸15、菟丝子10、鹿角胶粉冲服10、枸杞子10、川牛膝10、龟板胶粉冲10、石菖蒲10、肉苁蓉10
20	205	"1114,1106,5307,5109,3911,3912,3310,3805,3502*2,1102,4407。"	0.6	0.3	党参10熟地15怀山药12山茱萸12远志10炙甘草6五味子12菟丝子10麦冬10 柴胡15 酸枣仁10
30	301	"3213,1107,1111,1011,1012,1115,5205,1303,4107,4108,4302,10004。"	0.6	0.3	当归15、熟地15、炒白芍15、川芎15、桃仁20、红花10、柴胡20、桔梗15、川牛膝10、枳壳12、小茴香10、丹皮15、 苍术10
30	302	"1107,1011,1115,3205,1209,1203,1211,3104,3706,3802,4108,10004。"	0.6	0.3	当归15、熟地15、炒白芍15、川芎15、桃仁20、红花10、柴胡20、桔梗15、川牛膝10、枳壳12、小茴香10、丹皮15、 苍术10、香附20
30	303	"1107,1111,1011,5205,4107,4108,10004,3104,3706,3502,1211,1303。"	0.6	0.3	当归15、熟地15、炒白芍15、川芎15、桃仁20、红花10、柴胡20、桔梗15、川牛膝10、枳壳12、小茴香10、丹皮15、 苍术10、香附20
30	304	"1111,5205,2103,1210,3802,3104,3706,3502,3205,6303,4108,10004。"	0.6	0.3	当归15、熟地15、炒白芍15、川芎15、桃仁20、红花10、柴胡20、桔梗15、川牛膝10、枳壳12、小茴香10、丹皮15、 苍术10、黄芩10、茵陈10
30	305	"1107,1111,1011,1303,3305,1203,1211,3706,3502,4107,4108,4417。"	0.6	0.3	当归15、熟地15、炒白芍15、川芎15、桃仁20、红花10、柴胡20、桔梗15、川牛膝10、枳壳12、小茴香10、丹皮15、 苍术10、川楝子10
30	306	"1108,1005,3305,3310,3206,3502,3104,1209,1203,1211,4417,4107。"	0.6	0.3	生晒参先煎3、当归15、川芎15、炒赤芍10、肉桂8、莪术10、丹皮15、炙甘草6、川牛膝10、小茴香10、乌药10 生姜20 川楝子10 香附
30	307	"1108,1005,1013,3305,3310,1111,1115,5205,3213,4107,4402,4204。"	0.6	0.3	生晒参先煎3、当归15、川芎15、炒赤芍10、肉桂8、莪术10、丹皮15、炙甘草6、川牛膝10、小茴香10、乌药10 生姜20  红花10 
40	401	"1105,1104,1112,3114,5202,5204,3108*2,2107,4303,4103,4414。"	0.6	0.3	茯苓20 法半夏10 陈皮20 炙甘草6 苍术10 香附20 胆南星10 枳壳12 生姜20 神曲15炒白术15
40	402	"1105,1104,1112,3114,3108,3411,6306,3805,5507,4109,10007,4303。"	0.6	0.3	茯苓20 法半夏10 陈皮20 炙甘草6 苍术10 香附20 胆南星10 枳壳12 生姜20 神曲15厚朴15 苏叶10
40	403	"1105,1103,3114,5202,3411,6306,2109,5204,3805,4103,10008,4414。"	0.6	0.3	茯苓20 法半夏10 陈皮20 炙甘草6 苍术10 香附20 胆南星10 枳壳15 生姜20 神曲15厚朴20 苏叶10
40	404	"1103,1112,3114,5202,3414,5204,2109,3502,3409,5507,4303,10008。"	0.6	0.3	茯苓20 法半夏10 陈皮20 炙甘草6 苍术10 香附20 胆南星10 枳壳12 生姜20 神曲15厚朴15 苏叶15 柴胡15
40	405	"1105,10008*2,1103，3502*2,5202,3411,2109,3805,5507,4302。"	0.6	0.3	茯苓20 法半夏10 陈皮20 炙甘草6 苍术10 香附20 胆南星10 枳壳12 生姜20 神曲15焦栀子6 苏叶10 柴胡15
