编号	阈值	加药	减药	
10，3402。	1	炒白术15 砂仁后下10 		1
10，3810。	1	炒白术15 砂仁后下11 		1
"10,1102。"	1	鸡血藤15		1
10，5207。	1	五味子10 远志15 酸枣仁10		1
10，3106。	1	五味子10 柏子仁15		1
10，3303。	1	女贞子10 地骨皮10 旱莲草10		1
10，3605。	1	女贞子10 地骨皮10 旱莲草11		1
10，1011。	1	炒白芍30 香附20		1
"20,1102。"	1	丹参15		1
20，2107。	1	鹿角霜15 金樱子10 芡实12		1
20，1113。	1	肉桂10 川牛膝10		1
30，10003。	1	小茴香12 香附15 川楝子10		1
30，1102。	1	益母草10 鸡血藤15		1
"30,1103。"	1	炮姜10 焦艾叶10	莪术10 ，川牛膝10	1
30，1004。	1	蒲黄10、五灵脂10		1
30，1013。	1	巴戟天10 小茴香10 香附20		1
"40,1102。"	1	鸡血藤15 丹参10		1
40，1002。	1	川楝子10 元胡20		1
40，5205。	1	青皮20 白芍20		1
40，4104。	1	丹皮15 栀子8		1
40，3104。	1	丹皮15 栀子9		1
40，1202。	1	柴胡20 川楝子10		1
50，3114。	1	苍术10 香附20		1
50，4203。	1	苍术10 香附21		1
"50,10008。"	1	黄连5		1
50，3109。	1	黄连6		1
"50,2107。"	1	车前子10 苍术10		1
50，3412。	1	党参10 炒白术15 茯苓15		1
50，3102。	1	党参10 炒白术15 茯苓16		1
"50,3108。"	1	党参10 炒白术15 茯苓17		1
3703	1	枣仁20		1
3707	1	夜交藤15		1
3708	1	白芷10		1
3704	1	柏子仁10		1
10004	1	黄柏8g 知母12g		1
3810	1	黄柏6g 黄连3g 白芷6g 		2
3807	1	黄连3g 黄柏3g 黄芩6g 白芷3g 		2
10005	1	高良姜6g		1
10006	1	高良姜6g		1
