分组号	分型号	症状编号	阈值	最低阈值	方药
10	101	"1102,1106,1105,1116,5108,5207,10001,3202,1011,5114,4106,4407。"	0.6	0.3	炒白术15、党参8、黄芪12、当归12、炙甘草6、茯苓10、远志10、酸枣仁10、木香10、龙眼肉10、生姜15、大枣10、阿胶珠10
10	102	"1102,1106,1105,1010,5102,5108,5207,5507,3111,3204,6310,4407。"	0.6	0.3	炒白术15、党参10、黄芪20、当归12、炙甘草6、茯苓10、远志10、酸枣仁10、木香10、龙眼肉10、生姜15、大枣10、阿胶珠10
10	103	"1102,1106,1105,5102,5108,5207,5507,3202,1011,5114,4106,3706。"	0.6	0.3	炒白术15、党参8、黄芪20、当归15、炙甘草6、茯苓10、远志10、酸枣仁10、木香10、龙眼肉10、生姜15、大枣10、阿胶珠10
10	104	"1102,1106,1105,5507,3111,3202,3310*2,1011,4407,5114,4211。"	0.6	0.3	炒白术15、党参8、黄芪12、当归12、炙甘草6、茯苓10、远志10、酸枣仁10、木香10、龙眼肉10、生姜15、大枣10、阿胶珠10、乌药10、生艾叶10
10	105	"1006*3,5507,3111,5108，10001,3706,6310,4108*2,5102。"	0.6	0.3	炒白术15、党参8、黄芪12、当归尾15、炙甘草6、茯苓10、远志10、酸枣仁10、木香10、龙眼肉10、生姜15、大枣10、阿胶珠10、川芎10、红花8
20	201	"1102,1107,1105,5307,3108,5108,3909,2108,3213,3912,4105,4402。"	0.6	0.3	生晒参先煎3 怀山药15 熟地15 杜仲10 当归15 山茱萸10 枸杞10 炙甘草6 肉苁蓉10 紫河车6 砂仁后下10 白豆蔻10
20	202	"1102,5307,5504,5108,5109,2108,3103,3112,1303,3912,3909,4407。"	0.6	0.3	怀山药15 熟地25 山茱萸10 川牛膝10 枸杞10 菟丝子10 龟甲胶烊化10 鹿角胶烊化10 肉苁蓉10 
20	203	"1303,3909,3112,3213,1107,1105,5307,5504,5108,5109,1107,4402。"	0.6	0.3	生晒参先煎3 怀山药15 熟地15 杜仲10 当归15 山茱萸10 枸杞10 炙甘草6 肉苁蓉10 紫河车6 砂仁后下10 白豆蔻10
20	204	"1406,1107,1105,3909,3912,2108,3810,3108,3213,4105,3103,5309。"	0.6	0.3	生晒参先煎5 怀山药15 熟地20 杜仲10 当归15 山茱萸10  炙甘草6 肉苁蓉10 紫河车6 鹿角霜10 陈皮15 生姜15 
20	205	"1405,1406,1102,1107,3912,3108,5309,5108,3213,3112,4105,4402。"	0.6	0.3	生晒参先煎3 怀山药15 熟地15 杜仲10 当归15 山茱萸10 枸杞10 炙甘草6 肉苁蓉10 紫河车10 怀牛膝10 阿胶珠10
30	301	"1102,1107,1111,1012,1004,1008,3305,3310,3909,4105,4402,3407,6309。"	0.6	0.3	生晒参先煎3、当归15、川芎15、炒赤芍10、肉桂8、莪术10、丹皮15、炙甘草6、川牛膝10、小茴香10、乌药10 生姜20  元胡20 陈皮20
30	302	"1107*2,1111,1102，3213,1006*2,3305,3310,10004,4105,4415。"	0.6	0.3	生晒参先煎3、当归尾15、川芎15、炒赤芍10、肉桂8、莪术10、丹皮15、炙甘草6、川牛膝10、小茴香12、乌药10 生姜20 香附15 红花10
