编号	阈值	加药	减药	类型
3703	1	枣仁20		1
3707	1	夜交藤15		1
3708	1	白芷10		1
3704	1	柏子仁10		1
10001	1	黄柏8g 知母12g		1
3810	1	黄柏6g 黄连3g 白芷6g 		2
3807	1	黄连3g 黄柏3g 黄芩6g 白芷3g 		2
10005	1	高良姜6g		1
10006	1	高良姜6g		1
10，5406。	1	百部15 白鲜皮15		1
10，5405。	1	茵陈15 		1
10，3907。	1	车前子15		1
20，3102。	1	怀山药15 太子参10		1
20，3108。	1	怀山药15 太子参10		1
20，3907。	1	滑石20 甘草梢8		1
20，1106。	1	丹皮10 地榆10 马齿苋10 		1
20，5406。	1	苦参10 蛇床子10		1
20，1101。	1	土茯苓30 黄柏15		1
20，5204。	1	法半夏10 菖蒲10 藿香10		1
20，3115。	1	法半夏10 菖蒲10 藿香10		1
20，1115。	1	鱼腥草15 黄柏10 败酱草15		1
20，1104。	1	鱼腥草15 黄柏10 败酱草15		1
30，1103。	1	金樱子15  乌贼骨15 芡实10		1
30，1106。	1	旱莲草10 茜草根10		1
40，1302。	1	川楝子10 		1
40，1306。	1	茵陈15 		1
