分组号	分型号	症状编号	阈值	最低阈值	方剂号	方药		备注
10	101	"1001*21,1101,1109,1118,1111,1114,5406,5203,3508,3402,1119,1115,5353,10009,4414。"	0.6	0.3	0	苍术15黄芪15黄柏15牛膝10百部10白芷15砂仁后下15陈皮15炙甘草5法半夏10茯苓15生姜10		方药1用法：水煎30分钟坐浴熏洗外阴及冲洗阴道，月经结束后连续用药7-14天
10	101	"1001*21,1101,1109,1118,1111,1114,5406,5203,3508,3402,1119,1115,5353,10009,4414。"	0.6	0.3	1	苦参10 黄柏6 蛇床子10 乌梅5 白花蛇舌草15 地肤子6		
10	102	"1001*18,1101,1110,5406,5407,3309,3802,3904,5111,3907,4104,10009,4405。"	0.6	0.3	0	苍术15黄芪15黄柏15牛膝10百部10白芷15砂仁后下15陈皮15炙甘草5酒大黄6车前子包煎10马齿苋15		
10	102	"1001*18,1101,1110,5406,5407,3309,3802,3904,5111,3907,4104,10009,4405。"	0.6	0.3	1	苦参10 黄柏6 蛇床子10 乌梅5 白花蛇舌草15 地肤子6		
10	103	"1001*18,1101,1109,1118,5406,3502,5203,3508,3402,1202,3104,3907,4405。"	0.6	0.3	0	苍术15黄芪15黄柏15牛膝10百部10白芷15砂仁后下15陈皮15炙甘草5柴胡20茵陈15车前子包煎10		
10	103	"1001*18,1101,1109,1118,5406,3502,5203,3508,3402,1202,3104,3907,4405。"	0.6	0.3	1	苦参10 黄柏6 蛇床子10 乌梅5 白花蛇舌草15 地肤子6		
10	104	"1001*21,1109,1118,1111,1114,1110,5406,5407,3508,3402,1115,3907,3104,3502,4414。"	0.6	0.3	0	苍术15  黄芪 15 黄柏15  牛膝10  百部10   白芷15砂仁后下15陈皮15 炙甘草5 柴胡20 茵陈15 金银花15		
10	104	"1001*21,1109,1118,1111,1114,1110,5406,5407,3508,3402,1115,3907,3104,3502,4414。"	0.6	0.3	1	苦参10 黄柏6 蛇床子10 乌梅5 白花蛇舌草15 地肤子6		
10	105	"1001*18，3309,5406,5407,3907,1112*2,1119,1115,1202,5353,10009,4405。"	0.6	0.3	0	苍术15  黄芪 15 黄柏15  牛膝10  百部10   白芷15 砂仁后下15  陈皮15 炙甘草5 金银花15g，野菊花10，蒲公英10g，紫花地丁10g，紫背天葵子10g		
10	105	"1001*18，3309,5406,5407,3907,1112*2,1119,1115,1202,5353,10009,4405。"	0.6	0.3	1	苦参10 黄柏6 蛇床子10 乌梅5 白花蛇舌草15 地肤子6		
20	201	"1002*19.5,1101,1104,1106,1115,5406,5405,5404,3206,3911,3907,4104,10009,4405。"	0.6	0.3	0	萆薢15、石菖蒲10，白鲜皮15，贯众15，茯苓15，生姜20，炙甘草5，茵陈15，黄柏8，栀子6		
20	201	"1002*19.5,1101,1104,1106,1115,5406,5405,5404,3206,3911,3907,4104,10009,4405。"	0.6	0.3	1	萆薢15 薏苡仁15 土茯苓30 藿香15 薄荷5		
20	202	"1002*18,1101,1107,1104,1115,5406,5353,5302,3102,3206,3108,5302,4420。"	0.6	0.3	0	萆薢15、石菖蒲10，白鲜皮15，贯众15，茯苓15，生姜20，炙甘草5，炒白术15、党参10、干姜6		
20	202	"1002*18,1101,1107,1104,1115,5406,5353,5302,3102,3206,3108,5302,4420。"	0.6	0.3	1	萆薢15 薏苡仁15 土茯苓30 藿香15 薄荷5		
20	203	"1002*19.5,1101,1107,1121*2,1115,5406,5404,5353,3402,3911,3907,3202,4420。"	0.6	0.3	0	萆薢15、石菖蒲10，白鲜皮15，贯众15，茯苓15，生姜20，炙甘草5，法半夏10 生姜15 石菖蒲10		
20	203	"1002*19.5,1101,1107,1121*2,1115,5406,5404,5353,3402,3911,3907,3202,4420。"	0.6	0.3	1	萆薢15 薏苡仁15 土茯苓30 藿香15 薄荷5		
20	204	"1002*18,1101,1107,1104,1121,1115,5406,3102,5204,3115,6305,3402,5304。"	0.6	0.3	0	萆薢15、石菖蒲10，白鲜皮15，贯众15，茯苓15，生姜20，炙甘草5，石菖蒲10、车前子10、马齿苋15		
20	204	"1002*18,1101,1107,1104,1121,1115,5406,3102,5204,3115,6305,3402,5304。"	0.6	0.3	1	萆薢15 薏苡仁15 土茯苓30 藿香15 薄荷5		
20	205	"1002*18,1104,1106,1121,1115,5406,5405,5404,5353,6305,3115,10009,4420。"	0.6	0.3	0	萆薢15、石菖蒲10，白鲜皮15，贯众15，茯苓15，生姜20，炙甘草5，石菖蒲10、车前子10、马齿苋15、败酱草15		
20	205	"1002*18,1104,1106,1121,1115,5406,5405,5404,5353,6305,3115,10009,4420。"	0.6	0.3	1	萆薢15 薏苡仁15 土茯苓30 藿香15 薄荷5		
30	301	"1001*18,1101,1104,1105,1120,1115,5352,5508,3108,6306,3303，3605,3211。"	0.6	0.3	0	车前子包煎15，败酱草15，山药15，茯苓15，知母15，山茱萸15，熟地30，炙甘草5，青蒿15、鳖甲先煎15、茯苓20、泽泻15、丹皮15		
30	302	"1001*18,1101,1104,1105,1120,1115,5352,5508,3108,1505,1506,4211,4402。"	0.6	0.3	0	车前子包煎15，败酱草15，山药15，茯苓15，知母15，山茱萸15，熟地15，炙甘草5，茯苓20、泽泻15、丹皮15		
30	303	"1001*18,1101,1104,1105,1120,1115*2,3211,3303,3605,6306,4104,4407。"	0.6	0.3	0	车前子包煎15，败酱草15，山药15，茯苓15，知母15，山茱萸15，熟地15，炙甘草5，青蒿15、鳖甲先煎15、丹皮15		
30	304	"1001*16.5,1101,1104,1115*2,5408,3303*2,5352,6306,4104,4407。"	0.6	0.3	0	车前子包煎15，败酱草15，山药15，茯苓15，知母15，山茱萸15，熟地15，炙甘草5，茯苓20、泽泻15、丹皮15、茵陈15		
30	305	"1001*18,1101,1104,1105,1120,5352,5408,6307,1505,1506,5508,3108,4407。"	0.6	0.3	0	车前子包煎15，败酱草15，山药15，茯苓15，知母15，山茱萸15，熟地15，炙甘草5，茯苓20、泽泻15、丹皮15、桂枝15、吴茱萸5、枸杞10		
40	401	"1003*18,1111,1109,1117,5407,5406,3502,3104,1302,3706,3707,10009,4416。"	0.6	0.3	0	车前子包煎15，败酱草15，山药15，茯苓15，知母15，山茱萸15，熟地15，炙甘草5，柴胡20，川楝子10，茵陈15		
40	401	"1003*18,1111,1109,1117,5407,5406,3502,3104,1302,3706,3707,10009,4416。"	0.6	0.3	1	苦参10 百部10 赤芍10 鹤虱10黄柏10 土茯苓10 蛇床子15 萆薢10 生甘草5 		
40	402	"1003*19.5,1111,1109,1117,1115,5407,5406,5102,3104,1306,3706,3707,10009,4414。"	0.6	0.3	0	车前子包煎15，败酱草15，山药15，茯苓30，知母15，山茱萸15，熟地15，炙甘草5，败酱草15，薏苡仁20		
40	402	"1003*19.5,1111,1109,1117,1115,5407,5406,5102,3104,1306,3706,3707,10009,4414。"	0.6	0.3	1	苦参10 百部10 赤芍10 鹤虱10黄柏10 土茯苓10 蛇床子15 萆薢10 生甘草5 		
40	403	"1003*19.5,1111,1109,1114,5407,5406,5405,10001,5111,3904,3911,3907,4104,4414。"	0.6	0.3	0	车前子包煎15，败酱草15，山药15，茯苓15，知母15，山茱萸15，熟地15，炙甘草5，茵陈15，酒大黄8，黄柏8，苍术10		
40	403	"1003*19.5,1111,1109,1114,5407,5406,5405,10001,5111,3904,3911,3907,4104,4414。"	0.6	0.3	1	苦参10 百部10 赤芍10 鹤虱10黄柏10 土茯苓10 蛇床子15 萆薢10 生甘草5 		
40	404	"1003*19.5,1111,1109,1114,1115,5407,5406,5405,5102,3502,3104,10001,3904,10009。"	0.6	0.3	0	车前子包煎15，败酱草15，山药15，茯苓30，知母15，山茱萸15，熟地15，炙甘草5，茵陈20，酒大黄8，黄柏12，苍术10		
40	404	"1003*19.5,1111,1109,1114,1115,5407,5406,5405,5102,3502,3104,10001,3904,10009。"	0.6	0.3	1	苦参10 百部10 赤芍10 鹤虱10黄柏10 土茯苓10 蛇床子15 萆薢10 生甘草5 		
40	405	"1003*19.5,1111,1109,1117,1115，5407,5406,5405,3502,3104,10001,3904,3911,3907。"	0.6	0.3	0	车前子包煎15，败酱草15，山药15，茯苓15，知母15，山茱萸15，熟地15，炙甘草5，茵陈15，酒大黄8，黄柏8，苍术10、柴胡20		
40	405	"1003*19.5,1111,1109,1117,1115，5407,5406,5405,3502,3104,10001,3904,3911,3907。"	0.6	0.3	1	苦参10 百部10 赤芍10 鹤虱10黄柏10 土茯苓10 蛇床子15 萆薢10 生甘草5 		
							 	
