编号	问题	症状	类型号	问题类型	显示序列号
1101	痛经时间	月经期腹痛	A	"选择,多重"	1000
1102	痛经时间	月经前腹痛	A	"选择,多重"	1001
1103	痛经时间	月经后腹痛	A	"选择,多重"	1002
1104	痛经选项	胀痛	A	"选择,多重"	1003
1105	痛经选项	冷痛	A	"选择,多重"	1004
1106	痛经选项	刺痛	A	"选择,多重"	1005
1107	痛经选项	绞痛	A	"选择,多重"	1006
1108	痛经选项	空痛	A	"选择,多重"	1007
1109	痛经选项	隐痛	A	"选择,多重"	1008
1110	痛经选项	窜痛	A	"选择,多重"	1009
1111	痛经选项	疼痛剧烈伴有恶心或呕吐	A	"选择,多重"	1010
1112	痛经选项	腹痛坠胀连及会阴或肛门	A	"选择,多重"	1011
1113	痛经选项	经行不畅	A	"选择,多重"	1012
1114	痛经选项	疼痛拒按	A	"选择,多重"	1013
1115	痛经选项	疼痛喜按	A	"选择,多重"	1014
1116	痛经选项	得温痛减	A	"选择,多重"	1015
1117	痛经选项	血块排出后痛减	A	"选择,多重"	1016
1201	月经时间	周期正常	B	"选择,多重"	1017
1202	月经时间	月经提前超过5天	A	"选择,多重"	1018
1203	月经时间	月经错后超过7天	A	"选择,多重"	1019
1204	月经时间	先后不定期	A	"选择,多重"	1020
1205	月经时间	非经期出血	A	"选择,多重"	1021
1206	月经时间	闭经	A	"选择,多重"	1022
1207	月经时间	经期少于3天	A	"选择,多重"	1023
1208	月经时间	经期大于7天	A	"选择,多重"	1024
1301	出血量	月经量正常	B	"选择,多重"	1025
1302	出血量	月经量少	A	"选择,多重"	1026
1303	出血量	月经量多	A	"选择,多重"	1027
1304	出血量	非经期出血量多	A	"选择,多重"	1028
1305	出血量	非经期出血量少	A	"选择,多重"	1029
1401	出血颜色	月经颜色正常	A	"选择,多重"	1030
1402	出血颜色	月经色淡	A	"选择,多重"	1031
1403	出血颜色	月经色黯	A	"选择,多重"	1032
1404	出血颜色	月经色鲜红	A	"选择,多重"	1033
1405	出血颜色	月经色紫黑	A	"选择,多重"	1034
1501	月经质地	正常	A	"选择,多重"	1035
1502	月经质地	粘稠	A	"选择,多重"	1036
1503	月经质地	稀薄	A	"选择,多重"	1037
1504	月经质地	有血块	A	"选择,多重"	1038
1601	痛经影响因素	以上皆无	A	"选择,多重"	1039
1602	痛经影响因素	情绪波动加重	A	"选择,多重"	1040
1603	痛经影响因素	食冷饮加重	A	"选择,多重"	1041
1701	月经期伴发症状一	以上皆无	A	"选择,多重"	1042
1702	月经期伴发症状一	腰部酸痛	A	"选择,多重"	1043
1703	月经期伴发症状一	腰部冷痛	A	"选择,多重"	1044
1704	月经期伴发症状一	腰部空痛	A	"选择,多重"	1045
1705	月经期伴发症状一	腰部胀痛	A	"选择,多重"	1046
1706	月经期伴发症状一	腰痛如折	A	"选择,多重"	1047
1707	月经期伴发症状一	弯腰时腰部不适	A	"选择,多重"	1048
1708	月经期伴发症状一	腰骶不适连及小腹	A	"选择,多重"	1049
1709	月经期伴发症状一	腰背两侧不适，或酸，或痛	A	"选择,多重"	1050
1710	月经期伴发症状一	周身乏力	A	"选择,多重"	1051
1711	月经期伴发症状一	腰部无力	A	"选择,多重"	1052
1801	月经期伴发症状二	以上皆无	A	"选择,多重"	1053
1802	月经期伴发症状二	头胀痛	A	"选择,多重"	1054
1803	月经期伴发症状二	头昏沉	A	"选择,多重"	1055
1804	月经期伴发症状二	前额痛	A	"选择,多重"	1056
1805	月经期伴发症状二	后头痛，甚则连及肩背	A	"选择,多重"	1057
1806	月经期伴发症状二	头两侧痛	A	"选择,多重"	1058
1807	月经期伴发症状二	头角掣痛	A	"选择,多重"	1059
1808	月经期伴发症状二	眉棱骨痛	A	"选择,多重"	1060
1809	月经期伴发症状二	面颊疼痛	A	"选择,多重"	1061
1810	月经期伴发症状二	头痛连及齿龈	A	"选择,多重"	1062
1811	月经期伴发症状二	头痛而空，疼痛不剧烈	A	"选择,多重"	1063
1812	月经期伴发症状二	头痛连及耳目	A	"选择,多重"	1064
1813	月经期伴发症状二	眉心连及眼眶胀痛	A	"选择,多重"	1065
1814	月经期伴发症状二	头顶痛	A	"选择,多重"	1066
1815	月经期伴发症状二	头顶痛，喜温喜按	A	"选择,多重"	1067
1901	月经伴发症状三	以上皆无	A	"选择,多重"	1068
1902	月经伴发症状三	颜面易浮肿	A	"选择,多重"	1069
1903	月经伴发症状三	膝盖酸痛	A	"选择,多重"	1070
1904	月经伴发症状三	乳腺疼痛伴有肩胛骨内侧及下缘位置不适	A	"选择,多重"	1071
1905	月经伴发症状三	举臂肩胛骨下侧肌肉疼	A	"选择,多重"	1072
1906	月经伴发症状三	胸胁不适	A	"选择,多重"	1073
1907	月经伴发症状三	心前区或胸腹疼痛	A	"选择,多重"	1074
1908	月经伴发症状三	肚脐周围胀满，按之硬	A	"选择,多重"	1075
1909	月经伴发症状三	腹部冷	A	"选择,多重"	1076
1910	月经伴发症状三	心烦心悸	A	"选择,多重"	1077
1911	月经伴发症状三	小腹坠胀	A	"选择,多重"	1078
