症状编号	阈值	加药	类型号	
"10,1111。"	1	吴茱萸5、法半夏9、莪术15	1	
"10,1112。"	1	姜黄19、川楝子10	1	
"10,1105。"	1	艾叶10、小茴香12	1	
20，10006。	1	巴戟天10、生姜30 	1	
30，1303。	1	槐花15、地榆10、马齿苋15	1	
30，1203。	1	槐花15、地榆10、马齿苋10	1	
30，2107。	1	黄柏8、樗根白皮20	1	
40，1303。	1	黄芪15、炒白术15、炮姜12	1	
40，10007。	1	砂仁后下10、茯苓15	1	
50，1302。	1	鹿角胶10、熟地15、枸杞子10	1	
50，1702。	1	桑寄生15、杜仲10、麦门冬15	1	
10003	1	黄柏8g 知母12g 柏子仁15	1	
3810	1	黄柏6g 黄连3g 白芷6g 	2	
3807	1	黄连3g 黄柏3g 黄芩6g 白芷3g 	2	
10004	1	高良姜6g	1	
10001	1	远志10	1	
3707	1	茯神15	1	
3704	1	柏子仁10	1	
3708	1	煅牡蛎先煎10	1	
3702	1	石菖蒲10	1	
2202	1	漏芦10	1	
2205	1	漏芦10 荔枝核15	1	
1111	1	延胡索20	1	
