分型组号	分型号	编号	阈值	最低阈值	方药
10	101	"1104,1114，10002,3109,5108,3112，1113,4416，4103，2202,3502。"	0.65	0.3	乌药10，香附15，枳实20，郁金10，柴胡20，川楝子10，延胡索15
10	102	"1104，1113,1114,1403,1504,1117,6102,4107,4108,4416,5116,2202,10002,4415。"	0.65	0.3	当归15，川芎10，赤芍15，桃仁20，红花10，枳壳10，延胡索10，乌药12，香附20，丹皮15，炙甘草6，水蛭3
10	103	"1104,1114,3805,4416，2202,3502,10002,5108,3703，3204,4205。"	0.65	0.3	乌药10，香附10，枳实20，郁金10，柴胡20，苍术10，青皮20，川楝子10，延胡索15
10	104	"1104,3807,1113,4416,10002,3109,3112,2202,4103，3204,4204。"	0.65	0.3	乌药10，香附10，枳实15，郁金10，柴胡15，炒白术15，漏芦10，党参10，川楝子10，延胡索10，陈皮15
10	105	"1104,1114,4416,1113，10002,2202,3703,3706，3502，3204,4205。"	0.65	0.3	乌药10，香附15，枳实20，郁金10，柴胡20，木香20，酸枣仁10，川楝子10，延胡索15
10	106	"1104,1113,1403,1504,1117,4107,4108,5116,2202,10002,4415。"	0.65	0.3	当归15，川芎10，赤芍15，桃仁20，红花10，枳壳10，延胡索10，乌药10，香附15，丹皮15，炙甘草6，地龙3
10	107	"1104,1403,1504,1117,4107,4108,5116,4415,3706,3703，3213。"	0.65	0.3	当归15，川芎10，赤芍15，桃仁20，红花10，枳壳10，延胡索10，乌药10，香附10，丹皮15，炙甘草6，炒酸枣仁10，白芷10
10	108	"1104,1403,1504,10002,4107,4108,5116,4415,3204,3706,3112。"	0.65	0.3	当归15，川芎10，白芍15，桃仁20，红花10，枳壳10，延胡索10，乌药10，香附10，丹皮15，炙甘草6，生牡蛎先煎15，桂枝15
10	109	"1104,1113,1403,1117,6102,4108,5116,2202,4415,10002,3502。"	0.65	0.3	当归15，川芎10，赤芍15，桃仁20，红花10，枳壳10，延胡索10，乌药12，香附20，丹皮15，炙甘草6，柴胡20，郁金10，苏子10
10	110	"1104,1113,1403,1504,1117,6102,4107,3213,5116,2202,4415。"	0.65	0.3	当归15，川芎10，赤芍15，桃仁20，红花10，枳壳10，延胡索10，乌药12，香附20，丹皮15，炙甘草6，水蛭3，小茴香10，五灵脂10
10	111	"1104，1113,1114,1403,1504,1117,3502，4108,4416,5116,2202,10002。"	0.65	0.3	当归15，川芎10，赤芍15，桃仁20，红花10，枳壳10，延胡索15，乌药12，香附20，丹皮15，炙甘草6，地龙3，水蛭3，川楝子10
10	112	"1104，1113,1114,1403,1504,1117,3502，4107,4415,5116,2202。"	0.65	0.3	当归15，川芎10，赤芍15，桃仁20，红花10，枳壳10，延胡索15，乌药12，香附20，丹皮15，炙甘草6，制附子先煎10，生艾叶10，川楝子10
20	201	"1105,1116,1403,3202,3305,3310,6102,4107，4204,4402,4417,1104。"	0.65	0.3	吴茱萸6，麦冬12，当归10，白芍10，川芎15，党参10，桂枝15，阿胶珠10，丹皮15，生姜20，炙甘草6，法半夏9，生艾叶8，小茴香10，水蛭3
20	202	"1105,1116,1403,3202,3305,3310,3408,3909，4204,4402,4417,1104。"	0.65	0.3	吴茱萸6，麦冬12，当归10，白芍10，川芎15，党参10，桂枝15，阿胶珠10，丹皮15，生姜20，炙甘草6，法半夏9，生艾叶8，小茴香10，白芷10
20	203	"1105,1116,1403,1504,3202,4107，4204,4402,4417,1203,1302,1114。"	0.65	0.3	吴茱萸6，麦冬12，当归10，白芍10，川芎15，党参10，桂枝15，阿胶珠10，丹皮15，生姜20，炙甘草6，法半夏9，生艾叶8，小茴香10，香附20
20	204	"1105,1116,1403,4107，4204,4417,1203,1302,3909,5504,5307,3305。"	0.65	0.3	吴茱萸9，麦冬12，当归10，白芍10，川芎15，党参10，桂枝15，阿胶珠10，丹皮15，生姜20，炙甘草6，制附子先煎10，生艾叶8，小茴香10，香附20
20	205	"1105,1116,1403,1504,3202,3310,6102,4107，4402,4417,1203,1117。"	0.65	0.3	吴茱萸6，麦冬12，当归10，白芍10，川芎15，党参10，桂枝15，阿胶珠10，丹皮15，生姜20，炙甘草6，制附子先煎10，生艾叶8，小茴香10，香附20，水蛭5
20	206	"1105,1116,1403,1504,3202,3310,1104,4107，2202,4402，4417,1203。"	0.65	0.3	吴茱萸6，麦冬12，当归10，白芍10，川芎15，党参10，桂枝15，阿胶珠10，丹皮15，生姜20，炙甘草6，制附子先煎10，生艾叶8，小茴香10，香附20，水蛭5，延胡索15
20	207	"1105,1116,1403,1203,3305,3310,3909,4107，3408,4402，1111。"	0.65	0.3	吴茱萸9，麦冬12，当归10，白芍10，川芎15，党参10，桂枝15，阿胶珠10，丹皮15，生姜20，炙甘草6，制附子先煎10，生艾叶8，小茴香10，香附20，延胡索15
30	301	"1104,1502,2109,4203,4104,4405,4414,3904,3611,5307,3303。"	0.65	0.3	丹皮10，黄连3，生地15，当归10，白芍10，川芎10，红花10，桃仁10，延胡索10，莪术10，香附15，车前子12，茵陈10，败酱草15，苍术10，黄柏8
30	302	"1104，1403,1502,2107,2109,4203,4416,3904,3611,5307，5405。"	0.65	0.3	丹皮10，黄连3，生地15，当归10，白芍10，川芎10，红花10，桃仁10，延胡索10，莪术10，香附10，车前子10，炒薏米30，败酱草15，苍术10，白芷10
30	303	"1104,1502,2109,4203,4104,4416,1912,5309,3904,3611,5307。"	0.65	0.3	丹皮10，黄连3，当归10，白芍10，川芎10，红花10，桃仁10，延胡索15，莪术10，香附15，车前子10，炒薏米30，败酱草15，苍术10，白芷10，黄柏8
30	304	"1104,1403,1502,4203,4104,4416,1912,5309,3904,3611，3502。"	0.65	0.3	丹皮15，黄连5，当归10，白芍10，川芎10，红花10，桃仁20，延胡索15，莪术10，香附20，车前子10，炒薏米30，败酱草15，苍术10，白芷10，地龙3
30	305	"1104,1403,1502,2109,4203,4416,1912,5309,5307,3310，3305。"	0.65	0.3	丹皮15，黄连5，当归10，白芍10，川芎10，红花10，桃仁20，延胡索10，莪术10，香附15，车前子10，炒薏米30，苍术10，生艾叶10，肉桂8，桂枝10
40	401	"1109,1115,5306,1402,1503,3203,4407,3109,3102,3310,4109,5402。"	0.65	0.3	生晒参先煎5，黄芪20，熟地20，当归15，川芎10，白芍10，香附15，知母10，柴胡12，桔梗10，升麻6
40	402	"1109,1115,1402,1503,3203,4407,3109,3102,3707,5108,1711,4103。"	0.65	0.3	生晒参先煎3，黄芪20，熟地20，当归15，川芎10，白芍10，香附15，炒白术12，杜仲15，川断10
40	403	"1109,1115,1402,4106,3109,3102,3707,5108,5207,1302,3310,3202。"	0.65	0.3	炒白术12，茯神10，黄芪12，龙眼肉10，酸枣仁10，党参10，木香20，当归15，远志12，炙甘草6，生姜20，大枣25，郁金10
40	404	"1109,1402,1503,4106,3109,3102,3707,5108,3310,1711,3202,4109。"	0.65	0.3	炒白术30，茯神15，黄芪12，龙眼肉10，酸枣仁10，党参10，木香20，当归15，远志12，炙甘草6，生姜20，大枣25，陈皮20
40	405	"1109,5306,1402,1503,4106,3109,3102,5207,1302,3310,3202,4103。"	0.65	0.3	炒白术30，茯神15，黄芪12，龙眼肉10，酸枣仁10，党参10，木香20，当归15，远志12，炙甘草6，生姜20，大枣25，知母10，柴胡12，桔梗10，升麻6
50	501	"1101,1402,1403,1503,1302,3213,5307,4204，4407,3305，3112,5121。"	0.65	0.3	巴戟天10，杜仲10，续断10，乌药10，生艾叶10，当归15，熟地20，白芍10，益母草10
50	502	"1101,1402,1403,1503,1302,3213,4407,3309，5108，5109,3110,10001。"	0.65	0.3	巴戟天10，杜仲10，续断10，当归15，熟地20，白芍10，益母草10，木香20，炒枣仁10，川楝子10，丹皮15，赤芍15
50	503	"1101,1503,1302,3213,5307,4106,5108,3109,5121,3305,1103。"	0.65	0.3	巴戟天10，杜仲10，续断10，乌药10，生艾叶10，当归15，熟地20，白芍10，益母草10，川楝子10，延胡索10，生艾叶10
50	504	"1101,1503,1302,3213,5307,4106,5109,5108,1402,1404,2202,3109。"	0.65	0.3	巴戟天10，杜仲10，续断10，乌药10，生艾叶10，当归15，熟地20，白芍10，益母草10，川楝子10，小茴香10，郁金10
50	505	"1101,1402,1403,1503,3213,5307,3305,5108,5109,3112,3109,2202。"	0.65	0.3	巴戟天10，杜仲10，续断10，乌药10，生艾叶10，当归15，熟地20，白芍10，益母草10，香附20，枳壳12，槟榔10

