编号	问题	症状	类型号	问题类型	说明
1101	痛经时间	月经期腹痛	A	"选择,多重"	类型号：A参与计算且阈值为0.7；B不参与计算；C参与计算且没有阈值
1102	痛经时间	月经前腹痛	A	"选择,多重"	
1103	痛经时间	月经后腹痛	A	"选择,多重"	
1104	痛经选项	胀痛	A	"选择,多重"	
1105	痛经选项	冷痛	A	"选择,多重"	
1106	痛经选项	刺痛	A	"选择,多重"	
1107	痛经选项	绞痛	A	"选择,多重"	
1108	痛经选项	空痛	A	"选择,多重"	
1109	痛经选项	隐痛	A	"选择,多重"	
1110	痛经选项	窜痛	A	"选择,多重"	
1111	痛经选项	疼痛剧烈伴有恶心或呕吐	A	"选择,多重"	
1112	痛经选项	腹痛坠胀连及会阴或肛门	A	"选择,多重"	  
1113	痛经选项	经行不畅	A	"选择,多重"	
1114	痛经选项	疼痛拒按	A	"选择,多重"	
1115	痛经选项	疼痛喜按	A	"选择,多重"	
1116	痛经选项	得温痛减	A	"选择,多重"	
1117	痛经选项	血块排出后痛减	A	"选择,多重"	
1201	月经时间	正常	B	选择	
1202	月经时间	月经提前超过5天	A	选择	
1203	月经时间	月经错后超过7天	A	选择	
1204	月经时间	先后不定期	A	选择	
1205	月经时间	非经期出血	A	选择	
1206	月经时间	闭经	A	选择	
1207	月经时间	经期少于3天	A	选择	
1208	月经时间	经期大于7天	A	选择	
1301	出血量	月经量正常	B	选择	
1302	出血量	月经量少	A	选择	
1303	出血量	月经量多	A	选择	
1304	出血量	非经期出血量多	A	选择	
1305	出血量	非经期出血量少	A	选择	
1401	出血颜色	月经颜色正常	A	"选择,多重"	
1402	出血颜色	月经色淡	A	"选择,多重"	
1403	出血颜色	月经色黯	A	"选择,多重"	
1404	出血颜色	月经色鲜红	A	"选择,多重"	
1405	出血颜色	月经色紫黑	A	"选择,多重"	
1501	月经质地	正常	A	"选择,多重"	
1502	月经质地	粘稠	A	"选择,多重"	
1503	月经质地	稀薄	A	"选择,多重"	
1504	月经质地	有血块	A	"选择,多重"	
1601	痛经影响因素	无影响	A	"选择,多重"	
1602	痛经影响因素	情绪波动加重	A	"选择,多重"	
1603	痛经影响因素	食冷饮加重	A	"选择,多重"	
1701	月经期伴发症状一	无	A	"选择,多重"	
1702	月经期伴发症状一	腰部酸痛	A	"选择,多重"	
1703	月经期伴发症状一	腰部冷痛	A	"选择,多重"	
1704	月经期伴发症状一	腰部空痛	A	"选择,多重"	
