编号	前提	问题	症状	问题类型	显示序列号
1101		情绪	莫名懊恼	"选择,多重"	1001
1102		情绪	暴躁易怒	"选择,多重"	1002
1103		情绪	发怒难以自制	"选择,多重"	1003
1104		情绪	情绪易激动	"选择,多重"	1004
1105		情绪	语无伦次	"选择,多重"	1005
1106		情绪	情绪不稳定	"选择,多重"	1006
1107		情绪	精神疲惫	"选择,多重"	1007
1108		情绪	情志抑郁不舒	"选择,多重"	1008
1109		情绪	烦躁（心烦）	"选择,多重"	1009
1110		情绪	悲伤委屈	"选择,多重"	1010
1111		情绪	焦虑（思虑过度）	"选择,多重"	1011
1112		情绪	爱生闷气	"选择,多重"	1012
1113		情绪	精神恍惚	"选择,多重"	1013
1114		情绪	心绪不宁	"选择,多重"	1014
1115		情绪	以上皆无	"选择,多重"	1015
1201		腹痛	无	"选择,多重"	1016
1202		腹痛	下腹痛	"选择,多重"	1017
1203		腹痛	小腹刺痛	"选择,多重"	1018
1204		腹痛	小腹窜痛	"选择,多重"	1019
1205		腹痛	疼痛拒按	"选择,多重"	1020
1206		腹痛	少腹疼痛	"选择,多重"	1021
1301		乳房	正常	"选择,多重"	1022
1302		乳房	乳房胀痛	"选择,多重"	1023
1303		乳房	乳房刺痛	"选择,多重"	1024
1304		乳房	乳房内侧胀痛	"选择,多重"	1025
1305		乳房	乳房外侧胀痛	"选择,多重"	1026
1306		乳房	乳房热胀	"选择,多重"	1027
1401		孕产史	无怀孕史	"选择,多重"	1028
1402		孕产史	无生育史	"选择,多重"	1029
1403		孕产史	流产或生产2次以上	"选择,多重"	1030
1404		孕产史	有生育史	"选择,多重"	1031
1405		孕产史	有剖宫产史	"选择,多重"	1032
1501		月经及经期不适症状	月经量少	"选择,多重"	1033
1502		月经及经期不适症状	月经色淡	"选择,多重"	1034
1503		月经及经期不适症状	月经质地稀薄	"选择,多重"	1035
1504		月经及经期不适症状	月经有血块	"选择,多重"	1036
1505		月经及经期不适症状	小腹痛为主，严重者连及会阴、耻骨痛	"选择,多重"	1037
1506		月经及经期不适症状	后背脊柱两侧肌肉酸痛	"选择,多重"	1038
1507		月经及经期不适症状	肩胛骨内侧及下缘不适	"选择,多重"	1039
1508		月经及经期不适症状	周身乏力	"选择,多重"	1040
1509		月经及经期不适症状	头昏头沉	"选择,多重"	1041
1510		月经及经期不适症状	恶心或呕吐	"选择,多重"	1042
1511		月经及经期不适症状	心烦	"选择,多重"	1043
1512		月经及经期不适症状	心悸	"选择,多重"	1044
1513		月经及经期不适症状	心前区及胸腹疼痛	"选择,多重"	1045
1514		月经及经期不适症状	以上皆无	"选择,多重"	1046
1601		头痛	无	"选择,多重"	1047
1602		头痛	有	"选择,多重"	1048
1603	1602	头痛	头侧面痛，甚至连及耳目	"选择,多重"	1049
1604	1602	头痛	头顶痛	"选择,多重"	1050
1605	1602	头痛	头痛连及齿龈	"选择,多重"	1051
1606	1602	头痛	头空痛	"选择,多重"	1052
1607	1602	头痛	脑仁疼	"选择,多重"	1053
1608	1602	头痛	全头痛	"选择,多重"	1054
1609	1602	头痛	头昏沉	"选择,多重"	1055
1610	1602	头痛	前额痛	"选择,多重"	1056
1611	1602	头痛	枕部疼痛，甚至连及项背或肩	"选择,多重"	1057
3101		整体状态	正常	"选择,多重"	1058
3102		整体状态	形体肥胖	"选择,多重"	1059
3103		整体状态	形体消瘦	"选择,多重"	1060
3104		整体状态	乏力	"选择,多重"	1061
