分组号	分型号	症状编号	阈值	最低阈值	方药
10	101	"1101,1501,1502,1107,3104,3107,3108,5304,5306,4103,3210,。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20大枣30浮小麦30
10	102	"1101，1501,1502,1503，5202,3105,10002,1110,3310,3212,4211,4407。"	0.6	0.3	炒白术30茯神15黄芪30龙眼肉10酸枣仁10党参10木香20归15远志12炙甘草6生姜20大枣30浮小麦30
10	103	"1503,1114,1110,1107,3104,5202,5203,3105,10002,3310,3212,4407。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20大枣30浮小麦30麦冬10五味子10
10	104	"1113*2,1114*2,1110,1107,5202,1501,1502,3105,10002，3210。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20大枣30浮小麦30生龙骨先煎15 生牡蛎先煎15 桂枝15
10	105	"1101,1113,1105*2,1114,1110,1107,3104,1501,1502,1503,3310。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20大枣30浮小麦30远志10石菖蒲10茯苓15龙齿先煎25
20	201	"1114,1108*2,1109,1112,5204,3502,3503,3806,3703,4211,4416。"	0.6	0.3	陈皮20、柴胡20、川芎15、香附15、枳壳12、炒白芍15、炙甘草6、川楝子10、厚朴15
20	202	"1114,1109,5204,3502,3503,3703,3706,10002,5210*2,4205,4416。"	0.6	0.3	陈皮20、柴胡20、川芎15、香附15、枳壳12、炒白芍15、炙甘草6、川楝子10、木香20、酸枣仁10
20	203	"1114,5207,1302,5306*2,1206,5304*2,3703,1112,4211,4416。"	0.6	0.3	陈皮20、柴胡20、川芎15、香附15、枳壳12、炒白芍15、炙甘草6、良姜6、法半夏10、生姜20、茯苓15
20	204	"1114,4108*2,1504*2，1603*2,3703，3706,1108,5204。"	0.6	0.3	陈皮20、柴胡20、川芎15、香附15、枳壳12、炒白芍15、炙甘草6、桔梗15、川牛膝10、红花10、桃仁20、熟地15、当归15
20	205	"1114,1108*2,1109,3503,5207,1302,5210,1206,1504,3703,4416。"	0.6	0.3	陈皮20、柴胡20、川芎15、香附15、枳壳12、炒白芍15、炙甘草6、郁金10、苏子10、青皮20、漏芦15
30	301	"1102*2,1104,1109,3203,3502,5111,3904,3802,4104,4205,4416。"	0.6	0.3	炙甘草6， 当归15、白茯苓20、炒白芍15、炒白术15、柴胡20、丹皮15、栀子8
30	302	"1102*2,1104,1109,10002,3707,3203,5103,3502,1306,4205,4416。"	0.6	0.3	龙胆草3、栀子10、黄芩12、通草10、泽泻15、车前子10、 柴胡20、生甘草6、当归15、生地15
30	303	"1102,1103,1104,3210,5103,3502,5107,1306,3904,3802,4405。"	0.6	0.3	龙胆草6、栀子10、黄芩12、通草10、泽泻15、车前子10、 柴胡20、生甘草6、当归15、生地15川楝子10
30	304	"1102,1104,10002,3707,1602,5102*2,5111,3802,5107,4104,4405。"	0.6	0.3	龙胆草3、栀子10、黄芩12、通草10、泽泻15、车前子10、 柴胡20、生甘草6、当归15、生地15青蒿15、鳖甲先煎15
30	305	"1102*2,1104,10002,3707,1602,5102,1306,5107,3802,4104,4405。"	0.6	0.3	龙胆草3、栀子10、黄芩12、通草10、泽泻15、车前子10、 柴胡20、生甘草6、当归15、生地15
40	401	"1101,1109,10002,3411,3410,3806,1104,3402,5111,3502,10003,4414。"	0.6	0.3	姜半夏10、竹茹12、枳实15、陈皮20、炙甘草6、茯苓15、生姜20、大枣15、胆南星10、石菖蒲10、郁金10、黄连5
40	402	"1101,1103*2,1105,1109,10002,5205,5206,3402,3802,10003,4405。"	0.6	0.3	姜半夏10、竹茹12、枳实15、陈皮20、炙甘草6、茯苓15、生姜20、大枣15、胆南星10、石菖蒲10、郁金10、黄连5、酒大黄8、黄芩15
40	403	"1101,1103,1109,10002,3411,3410,3802,5111,3502,4104,10003,4405。"	0.6	0.3	姜半夏10、竹茹12、枳实15、陈皮20、炙甘草6、茯苓15、生姜20、大枣15、胆南星15、石菖蒲10、郁金10、黄连5、竹茹10、枳实15
40	404	"1101,5205,5206,5112,3402,5304,4414*2,1104,3102,3109,3806。"	0.6	0.3	姜半夏10、竹茹12、枳实15、陈皮20、炙甘草6、茯苓15、生姜20、大枣15、胆南星10、石菖蒲10、郁金10、黄连5、苍术10、砂仁后下10、香附20
40	405	"1101,1103,1109,10002,3109,5112,5111,3502,3802,10003,4104,4405。"	0.6	0.3	姜半夏10、竹茹12、枳实15、陈皮20、炙甘草6、茯苓15、生姜20、大枣15、胆南星10、石菖蒲10、郁金10、黄连5、厚朴20、苏叶15、炒白术15
					
					
