编号	阈值	加药	减药	类型
"10,1115。"	1	乌贼骨10 藕节10 茜草10		1
"10,1104,1114。"	1	五灵脂10 炒蒲黄10		1
"10,1113。"	1	三七10 益母草10		1
"20,5315。"	1	杜仲10 菟丝子10		1
"20,3912。"	1	益智仁10 桑螵蛸15		1
"20,3811。"	1	吴茱萸6 肉豆蔻10 补骨脂10、五味子10		1
"20,5506。"	1	泽泻15		1
"30,10002。"	1	酸枣仁10 夜交藤15 远志15 五味子10		1
"30,5207。"	1	酸枣仁10 夜交藤15 远志15 五味子10		1
"40,1202。"	1	漏芦10 香附20		1
"40,5202。"	1	香附20 青皮15		1
"40,1103。"	1	乌贼骨10 茜草10		1
"40,1014。"	1	五灵脂10 炒蒲黄10		1
"40,1104,1105。"	1	茜草10 生蒲黄10		1
3703	1	枣仁20		1
3707	1	夜交藤15		1
3708	1	白芷10		1
3704	1	柏子仁10		1
10001	1	黄柏8g 知母12g		1
3810	1	黄柏6g 黄连3g 白芷6g 		2
3807	1	黄连3g 黄柏3g 黄芩6g 白芷3g 		2
10005	1	高良姜6g		1
10006	1	高良姜6g		1
