编号	前提	问题	症状	问题类型	显示序列号
1101		月经情况	月经周期正常	"选择,多重"	1000
1102		月经情况	月经周期不准	"选择,多重"	1001
1103		月经情况	月经量多	"选择,多重"	1002
1104		月经情况	月经量少	"选择,多重"	1003
1105		月经情况	月经淋漓不尽	"选择,多重"	1004
1106		月经情况	月经排出不畅	"选择,多重"	1005
1107		月经情况	月经质地粘稠	"选择,多重"	1006
1108		月经情况	月经质地清稀	"选择,多重"	1007
1109		月经情况	月经色淡	"选择,多重"	1008
1110		月经情况	月经色淡而黯	"选择,多重"	1009
1111		月经情况	月经色黯黑	"选择,多重"	1010
1112		月经情况	月经色鲜红	"选择,多重"	1011
1113		月经情况	有血块	"选择,多重"	1012
1114		月经情况	痛经	"选择,多重"	1013
1115		月经情况	月经量比以前多	"选择,多重"	1014
1001	1114	痛经	少腹窜痛	"选择,多重,可空"	1015
1002	1114	痛经	少腹疼痛	"选择,多重,可空"	1016
1003	1114	痛经	小腹热痛	"选择,多重,可空"	1017
1004	1114	痛经	小腹刺痛	"选择,多重,可空"	1018
1005	1114	痛经	小腹冷痛	"选择,多重,可空"	1019
1006	1114	痛经	小腹隐痛	"选择,多重,可空"	1020
1007	1114	痛经	小腹空痛	"选择,多重,可空"	1021
1008	1114	痛经	小腹绵绵作痛	"选择,多重,可空"	1022
1009	1114	痛经	腹痛连及腰骶	"选择,多重,可空"	1023
1010	1114	痛经	小腹疼痛严重时连及会阴、耻骨	"选择,多重,可空"	1024
1011	1114	痛经	小腹疼痛拒按	"选择,多重,可空"	1025
1012	1114	痛经	血块排出后痛减	"选择,多重,可空"	1026
1013	1114	痛经	疼痛得温缓解	"选择,多重,可空"	1027
1014	1114	痛经	整个经期持续疼痛	"选择,多重,可空"	1028
1201		经期不适症状	无	"选择,多重"	1029
1202		经期不适症状	乳房胀痛	"选择,多重"	1030
1203		经期不适症状	乳房刺痛	"选择,多重"	1031
1204		经期不适症状	乳房内侧胀痛	"选择,多重"	1032
1205		经期不适症状	乳房外侧胀痛	"选择,多重"	1033
1206		经期不适症状	脊柱两侧肌肉酸痛	"选择,多重"	1034
1207		经期不适症状	肩胛骨下缘不适	"选择,多重"	1035
1208		经期不适症状	腰骶疼痛连及少腹	"选择,多重"	1036
1209		经期不适症状	胸闷	"选择,多重"	1037
1210		经期不适症状	低热	"选择,多重"	1038
1211		经期不适症状	头痛	"选择,多重"	1039
1301		孕产史	无怀孕史	"选择,多重"	1040
1302		孕产史	无生育史	"选择,多重"	1041
1303		孕产史	流产或生产2次以上	"选择,多重"	1042
1304		孕产史	有生育史	"选择,多重"	1043
