分组号	分型号	症状编号	阈值	最低阈值	方药
10	101	"1109，1108,5509,3102,3110,3108,5108,3810,5304,3402,3109,4406。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20大枣25香附20
10	102	"1103,1109,3102,3110,3108,5108,5308,3809,3805,5306,5207,4406。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20大枣25升麻6
10	103	"1103,5509,3403,3810,3809,3805,5304,5306,3402,3403,3107,4406。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20香附20
10	104	"3202,10002,3109,5207,1109,3102,3110,5108,3805,3402,3403,4403。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20大枣25 
10	105	"3109,5207,3107,1109,3805,5304,5306,3402,3403,5108,1103,4403。"	0.6	0.3	炒白术30茯神15黄芪15龙眼肉10酸枣仁10党参10木香20当归15远志12炙甘草6生姜20大枣25陈皮20香附20
20	201	"1110,1108,1005,3102,3108*2,3110，3402,4103,3807,5506,4403。"	0.6	0.3	党参10炒白术20茯苓15薏苡仁15巴戟天10补骨脂15乌贼骨10
20	202	"1110,1108,5307,5315,3912,3811,3903,5510,3305,3310,4105,4402。"	0.6	0.3	党参10 炒白术20 茯苓15 薏苡仁15 巴戟天10 补骨脂15 乌贼骨10
20	203	"1110,1005,3102,3110,3402,3403,3807,5315,3912,3811,5506,4402。"	0.6	0.3	党参10炒白术20茯苓15薏苡仁15巴戟天15补骨脂15乌贼骨10制附子先煎10干姜8炙甘草6
20	204	"3305,3310,1005,5315,3912,3811,5506,5510,3402,3403,3807,4402。"	0.6	0.3	党参10炒白术20茯苓15薏苡仁15巴戟天10补骨脂15 乌贼骨10制附子先煎10干姜8炙甘草6
30	301	"1104,1112,1107,5111,3503,3104,3115,10002,3802,4104,4208,4407。"	0.6	0.3	生地15 地骨皮10 玄参10 麦冬15 阿胶珠10 炒白芍15 女贞子10 旱莲草10 乌贼骨10 茜草10 石斛10
30	302	"1112,1107,5111,3503,3303,3207,3104,3309,3802,4104,4208,4405。"	0.6	0.3	生地15 地骨皮10 玄参10 麦冬15 阿胶珠10 炒白芍15 女贞子10 旱莲草10 乌贼骨10 茜草10 胡黄连5
30	303	"1107,10002,5207,1202,6303,3307,3605,3106,5111,3503,3303,4405。"	0.6	0.3	生地15 地骨皮10 玄参10 麦冬15 阿胶珠10 炒白芍15 女贞子10 旱莲草10 乌贼骨10 茜草10 柴胡15 石斛10
30	304	"1104,1112,1107,5111，3115,3309,3802,3307,3605,10002,3303,4407。"	0.6	0.3	生地15 地骨皮10 玄参10 麦冬15 阿胶珠10 炒白芍15 女贞子10 旱莲草10 乌贼骨10 茜草10 生龙骨先煎15生牡蛎先煎15
30	305	"1303,6303,3106,1107,3104,10002,3307,3309,5207,4108*2,4407。"	0.6	0.3	生地15 地骨皮10 玄参10 麦冬15 阿胶珠10 炒白芍15 女贞子10 旱莲草10 乌贼骨10 茜草10 红花10 川芎15 当归尾15
40	401	"1105,1104,1111,1011,3103,3213,6306,3502,3706,10002,4110,4416。"	0.6	0.3	柴胡20 桂枝15 生龙骨先煎15生牡蛎先煎15生姜20 炙甘草6 白芍15 陈皮2 川芎10 香附20 枳壳12 炒枣仁10 
40	402	"1105,1202,1209,1011,3103,3213,3104,3105,3706,3806，4110,4416。"	0.6	0.3	柴胡20 桂枝15 生龙骨先煎15生牡蛎先煎15 生姜20 炙甘草6 白芍15 陈皮2 川芎10 香附20 枳壳12 漏芦10 川楝子10
40	403	"1105,1211*2,3205,3105,1111,1113*2,4108*2,5116，10004。"	0.6	0.3	柴胡20 枳壳12 川牛膝10 桔梗15 桃仁20 红花10 川芎15 当归尾15 炒白芍15 熟地15
40	404	"1105,1104,1111,1113,1011,3103,3213,1202,5116,4110,4108,10004。"	0.6	0.3	柴胡20 枳壳12 川牛膝10 桔梗15 桃仁20 红花10 川芎15 当归尾15 炒白芍15 熟地15
40	405	"1111,1113,3105,3502,1211,3706,10002,3104,1209,3806,10004,5116。"	0.6	0.3	柴胡20 枳壳12 川牛膝10 桔梗15 桃仁20 红花10 川芎15 当归尾15 炒白芍15 熟地15
40	406	"1105,1104,1111,1113,3205,3103,6306,3105,1211,4110,4108,10004。"	0.6	0.3	柴胡20 枳壳12 川牛膝10 桔梗15 桃仁20 红花10 川芎15 当归尾15 炒白芍15 熟地15
