编号	问题	症状	问题类型
1101	经前乳房胀痛	经前乳房胀痛	"选择,多重"
1102	经前乳房胀痛	乳房刺痛	"选择,多重"
1103	经前乳房胀痛	乳房外侧痛为主	"选择,多重"
1104	经前乳房胀痛	乳房内侧痛为主	"选择,多重"
1105	经前乳房胀痛	有轻微针扎感	"选择,多重"
1106	经前乳房胀痛	疼痛严重	"选择,多重"
1107	经前乳房胀痛	乳房柔软	"选择,多重"
1108	经前乳房胀痛	乳房胀硬	"选择,多重"
1109	经前乳房胀痛	乳头硬、痛、痒	"选择,多重"
1110	经前乳房胀痛	乳房有灼热感	"选择,多重"
1111	经前乳房胀痛	月经前疼痛加重经后缓解	"选择,多重"
1112	经前乳房胀痛	情绪波动时加重	"选择,多重"
1113	经前乳房胀痛	平时乳房胀痛	"选择,多重"
1201	疼痛波及部位	无	"选择,多重"
1202	疼痛波及部位	肩胛骨内侧	"选择,多重"
1203	疼痛波及部位	肩胛骨下缘	"选择,多重"
1204	疼痛波及部位	肩胛骨外侧	"选择,多重"
1205	疼痛波及部位	肩膀	"选择,多重"
1206	疼痛波及部位	腋下	"选择,多重"
1301	乳房肿块	无	"选择,多重"
1302	乳房肿块	有肿块	"选择,多重"
1303	乳房肿块	肿块如米粒状	"选择,多重"
1401	乳腺检查	正常	"选择,多重"
1402	乳腺检查	乳腺增生	"选择,多重"
1403	乳腺检查	乳腺囊肿	"选择,多重"
1404	乳腺检查	乳腺结节	"选择,多重"
1405	乳腺检查	增生、囊肿、结节在内侧	"选择,多重"
1406	乳腺检查	增生、囊肿、结节在外侧	"选择,多重"
1501	月经情况	月经正常	"选择,多重"
1502	月经情况	月经周期不正常	"选择,多重"
1503	月经情况	月经量少	"选择,多重"
1504	月经情况	月经量多	"选择,多重"
1505	月经情况	月经质地粘稠夹血块	"选择,多重"
1506	月经情况	月经质地清稀	"选择,多重"
1507	月经情况	月经色淡	"选择,多重"
1508	月经情况	月经色黯	"选择,多重"
1509	月经情况	月经色深红	"选择,多重"
1510	月经情况	痛经	"选择,多重"
