分型号	症状编号	分组号	阈值	最低阈值	方药
101	"1101*2,1108,3103,3706,10001,5302,4204,4416,1402,1702,1111。"	11001	0.6	0.3	陈皮20、柴胡18，川芎15、香附20、枳壳12、白芍12，炙甘草6g 漏芦15 荔枝核12 橘络10 蒲公英12
102	"1101*2,1108,3103,3104,3105,3706,3810,5302,4416,1502,1303。"	11001	0.6	0.3	陈皮20、柴胡18，川芎15、香附20、枳壳12、白芍12，炙甘草6g 漏芦15 荔枝核12 橘络10 蒲公英12 川楝子8
103	"1101,1108,1109*2,3104,3707,1303,4205,4111,4416,1402,1502。"	11001	0.6	0.3	陈皮20、柴胡18，川芎15、香附20、枳壳12、白芍12，炙甘草6g 漏芦15 荔枝核15 橘络12 蒲公英15 茵陈10  
104	"1101,1108,3706,3810,5302,4204,1702,1111,1510,1502,3310,5303。"	11001	0.6	0.3	陈皮20、柴胡18，川芎15、香附20、枳壳12、白芍12，炙甘草6g 漏芦15 荔枝核12 橘络10 蒲公英12 生艾叶10 乌药10
105	"1101,1108,1109,1110*2,3304,10001,3104,4111,3707,1502,1303。"	11001	0.6	0.3	陈皮20、柴胡18，川芎15、香附20、枳壳12、白芍12，炙甘草6g 漏芦15 荔枝核15 橘络15 蒲公英15 栀子8 牡丹皮15
106	"1101,1108,3103,3706,1302,1102,4204,10001,5302,1402,1111,1510。"	11001	0.6	0.3	陈皮20、柴胡18，川芎15、香附20、枳壳12、白芍12，炙甘草6g 漏芦15 荔枝核12 橘络10 蒲公英12
201	"1113*2,1302,1102*2,1106，4105,1505*2,4203,4415,1502。"	11002	0.6	0.3	五灵脂10、当归12、川芎12、桃仁20、丹皮12、赤芍12、乌药8、元胡15、炙甘草6、香附15、红花8、枳壳12、王不留行15、漏芦15
202	"1113*2,1302，1102*2,4105,4204,4416,1510，3502,3706,1510。"	11002	0.6	0.3	五灵脂10、当归12、川芎12、桃仁15、丹皮12、赤芍12、乌药8、元胡15、炙甘草6、香附15、红花8、枳壳12、香附20、漏芦15、川楝子10
203	"1113*2，1302,1102*2,4105,4203*2,3213,3103,1106。"	11002	0.6	0.3	五灵脂10、当归15、川芎12、桃仁15、丹皮15、赤芍12、乌药8、元胡10、炙甘草6、香附15、红花8、枳壳12、川楝子10、酒大黄6、漏芦15
204	"1113*2，1302,1102,4105,1505，4203,4417,3213,1402,1111,3305。"	11002	0.6	0.3	五灵脂10、当归12、川芎12、桃仁20、炒白芍15、乌药10、元胡15、炙甘草6、香附15、红花8、枳壳12、王不留行15、漏芦15、生艾叶10
