编号	问题	症状	类型号	问题类型	说明
1101	经间期出血	量少（用护垫即可）	A	"选择,多重"	类型号：A参与计算且阈值为0.7；B不参与计算；C参与计算且没有阈值
1102	经间期出血	量多	A	"选择,多重"	
1103	经间期出血	量一般	A	"选择,多重"	
1104	经间期出血	正在出血期	A	"选择,多重"	
1105	经间期出血	不在出血期	A	"选择,多重"	
1201	出血颜色	鲜红	A	"选择,多重"	
1202	出血颜色	紫黯	A	"选择,多重"	
1203	出血颜色	色淡	A	"选择,多重"	
1204	出血颜色	色黯红	A	"选择,多重"	
1301	质地	有血块	A	"选择,多重"	
1302	质地	无血块	A	"选择,多重"	
1303	质地	粘稠	A	"选择,多重"	
1304	质地	稀薄	A	"选择,多重"	
1401	时间	淋漓不尽	A	"选择,多重"	
1402	时间	数日即止（1-4天）	A	"选择,多重"	
1403	时间	时间长迁延至经期	A	"选择,多重"	
1501	出血伴发症状	无	A	"选择,多重"	
1502	出血伴发症状	小腹疼痛拒按	A	"选择,多重"	
1503	出血伴发症状	小腹两侧刺痛	A	"选择,多重"	
1504	出血伴发症状	小腹两侧胀痛	A	"选择,多重"	
1505	出血伴发症状	腹痛明显	A	"选择,多重"	
1506	出血伴发症状	小腹冷痛	A	"选择,多重"	
1507	出血伴发症状	腹部隐痛	A	"选择,多重"	
1508	出血伴发症状	腹痛连及腰部	A	"选择,多重"	
1509	出血伴发症状	腰部酸痛	A	"选择,多重"	
1510	出血伴发症状	小腹窜痛	A	"选择,多重"	
1511	出血伴发症状	腹股沟不适	A	"选择,多重"	
1512	出血伴发症状	小腹坠胀	A	"选择,多重"	
1513	出血伴发症状	下腹不适	A	"选择,多重"	
1601	出血影响因素	无	A	"选择,多重"	
1602	出血影响因素	情绪波动后出血	A	"选择,多重"	
1603	出血影响因素	劳累后出血	A	"选择,多重"	  
1604	出血影响因素	吃冷饮后出血	A	"选择,多重"	
1605	出血影响因素	同房后出血	A	"选择,多重"	
1701	孕产史	无怀孕史	A	"选择,多重"	
1702	孕产史	无生育史	A	"选择,多重"	
1703	孕产史	有流产史	A	"选择,多重"	
1704	孕产史	有生育史	A	"选择,多重"	
1705	孕产史	有剖宫产史	A	"选择,多重"	
2101	带下情况	带下正常	A	"选择,多重"	
2102	带下情况	带下色黄	A	"选择,多重"	
2103	带下情况	带下色赤（包括有血丝）	A	"选择,多重"	
2104	带下情况	带下色白	A	"选择,多重"	
2105	带下情况	带下色黑	A	"选择,多重"	
2106	带下情况	带下色青	A	"选择,多重"	
2107	带下情况	带下量多	A	"选择,多重"	
2108	带下情况	带下如水	A	"选择,多重"	
2109	带下情况	带下粘稠	A	"选择,多重"	
2110	带下情况	带下味臭	A	"选择,多重"	
2111	带下情况	带下味腥	A	"选择,多重"	
2201	乳腺情况	正常	A	"选择,多重"	
2202	乳腺情况	乳房胀痛	A	"选择,多重"	
2203	乳腺情况	乳房内侧痛	A	"选择,多重"	
2204	乳腺情况	乳房外侧痛	A	"选择,多重"	
2205	乳腺情况	乳房刺痛	A	"选择,多重"	
2301	孕产情况	未孕未育	A	"选择,多重"	
2302	孕产情况	有流产史但未生育	A	"选择,多重"	
2303	孕产情况	有生育史	A	"选择,多重"	
2304	孕产情况	剖宫产史	A	"选择,多重"	
2305	孕产情况	宫外孕史	A	"选择,多重"	
3101	整体精神状态	正常	A	"选择,多重"	
3102	整体精神状态	精神不振	A	"选择,多重"	
3103	整体精神状态	抑郁	A	"选择,多重"	
3104	整体精神状态	烦躁易怒	A	"选择,多重"	
3105	整体精神状态	悲伤	A	"选择,多重"	
3106	整体精神状态	忧虑	A	"选择,多重"	
3107	整体精神状态	感觉压力大	A	"选择,多重"	
3108	整体精神状态	情绪不稳定	A	"选择,多重"	
3109	整体精神状态	乏力	A	"选择,多重"	
3110	整体精神状态	健忘	A	"选择,多重"	
3111	整体精神状态	气短	A	"选择,多重"	
3112	整体精神状态	肢体酸困	A	"选择,多重"	
3113	整体精神状态	经常叹气	A	"选择,多重"	
3201	面色	正常	A	"选择,多重"	
3202	面色	面色晄白	A	"选择,多重"	
3203	面色	面色无华	A	"选择,多重"	
3204	面色	面色黄	A	"选择,多重"	
3205	面色	面色青	A	"选择,多重"	
3206	面色	面色红赤	A	"选择,多重"	
3207	面色	颧红	A	"选择,多重"	
3208	面色	鼻头红	A	"选择,多重"	
3209	面色	目下黯	A	"选择,多重"	
3210	面色	目下青	A	"选择,多重"	
3211	面色	鼻梁青	A	"选择,多重"	
3212	面色	口周青	A	"选择,多重"	
3213	面色	面色晦暗	A	"选择,多重"	
3301	寒热	正常	A	"选择,多重"	
3302	寒热	发热	A	"选择,多重"	
3303	寒热	低热	A	"选择,多重"	
3304	寒热	有时感觉燥热	A	"选择,多重"	
3305	寒热	恶寒	A	"选择,多重"	
3306	寒热	后背冷	A	"选择,多重"	
3307	寒热	半身发热	A	"选择,多重"	
3308	寒热	半身发冷	A	"选择,多重"	
