编号	阈值	加药	减药	类型号
10，1510。	1	小茴香12 龙眼肉6 五灵脂10		1
10，1104。	1	茜草根10、小蓟10、乌贼骨10		1
10，1301。	1	丹参10、赤芍10		1
"10,2202。"	1	川楝子10、漏芦10		1
"10,5205。"	1	郁金10、香附15、川楝子10		1
"10,3104。"	1	柴胡20、川楝子6		1
"20,1104。"	1	三七10、炒蒲黄10	当归尾，赤芍	1
"20,1505。"	1	延胡索20、香附15、五灵脂10		1
"20,4104。"	1	黄柏8、知母15、地骨皮10		1
"20,4205。"	1	黄柏8、知母15、地骨皮10		1
"20,3304。"	1	黄柏8、知母15、地骨皮10		1
"30,5108。"	1	吴茱萸5，生姜20，生晒参先煎3		1
"30,3310。"	1	吴茱萸5，生姜20，生晒参先煎3		1
"40,1104。"	1	茜草根10、贯众10	当归，川牛膝	1
"40,2107。"	1	马齿苋15、土茯苓12		1
"40,3402。"	1	厚朴15、炒麦芽20、香附15	生地，白芍	1
"40,3404。"	1	厚朴15、炒麦芽20、香附15	生地，白芍	1
"40,3808。"	1	炒薏苡仁20、白扁豆10	当归，生地	1
"50,1104。"	1	制艾叶10、炮姜8、乌贼骨10	当归	1
"50,3810。"	1	怀山药15	酸枣仁，当归	1
"60,5108。"	1	珍珠母先煎10、生牡蛎先煎15		1
"60,5109。"	1	珍珠母先煎10、生牡蛎先煎15		1
"60,3706。"	1	远志15、夜交藤15		1
60，1104。	1	旱莲草10、炒地榆10、女贞子10		1
10003	1	黄柏8 知母12 柏子仁15		1
3810	1	黄柏6 黄连3 白芷6 		2
3807	1	黄连3 黄柏3 黄芩6 白芷3 		2
10004	1	高良姜6		1
10005	1	远志10		1
3707	1	茯神15		1
3704	1	柏子仁10		1
3708	1	煅牡蛎先煎10		1
3702	1	石菖蒲10		1
				
				
				
