分型组号	分型号	编号	阈值	最低阈值	方药
10	101	"1602,1301,3104,5205,2202,3706,3703,3502,3113,4407,4416。"	0.65	0.3	陈皮20，柴胡18，川芎15，香附20，枳壳12，白芍12，炙甘草6，川楝子10，郁金10，木香20，酸枣仁10。
10	102	"4407,3707,4416,1303,3104,2202,3703,3704，3802,3502,3904,4104。"	0.65	0.3	陈皮20，柴胡18，川芎15，香附20，枳壳12，白芍12，炙甘草6，川楝子10，酒大黄5，知母12。
10	103	"4407,4416,1602,1504,1301,1204,5207,3706,3805,3502,4205,3113。"	0.65	0.3	陈皮20，柴胡18，川芎15，香附20，枳壳12，白芍12，炙甘草6，川楝子10，白芷10，法半夏9，生姜15，厚朴15。
10	104	"1303,1301,3104,2202,3802,3503,3113,3904,4104,4205,4407,4416。"	0.65	0.3	陈皮20，柴胡18，川芎15，香附20，枳壳12，白芍12，炙甘草6，川楝子10，延胡索10，厚朴12，法半夏9，黄连5。
10	105	"3805,1301,5205,1504,1204,3503,3113,3904,4205,4407,4416,1602。"	0.65	0.3	陈皮20，柴胡18，川芎15，香附20，枳壳12、白芍12，炙甘草6，川楝子10，当归15，生地12，地龙3。
10	106	"3707,4205,3104,5205,2202,3805,1504,3706,3703,3704,5207,3113。"	0.65	0.3	陈皮20，柴胡20，川芎15，香附20，枳壳12、白芍12，炙甘草6，川楝子10，白芷10，延胡索10，五灵脂10，郁金15，苏子12 。
10	107	"1303,1301,3104,5205,3706,3802,3805,3502,3503,3904,4205。"	0.65	0.3	陈皮20，柴胡18，川芎15，香附20，枳壳12，白芍12，炙甘草6，川楝子10，白芷10，苍术10，川牛膝10，桔梗15。
20	201	"3104,1101,1202*3,1301,1502,5202,4107*2,4415,1703。"	0.65	0.3	生地15，酒大黄5，赤芍10，白芍12，丹皮12，当归尾12，枳壳12，龟板先煎10，桃仁20，小茴香10，五灵脂10，乌药8，川楝子10。
20	202	"1101,1202,1503*2,4108*3,1703*2,4415,1301。"	0.65	0.3	生地15，酒大黄5，赤芍10，白芍12，丹皮12，当归尾15，枳壳12，龟板先煎10，桃仁20，地龙3，延胡索10。
20	203	"3104,1101,1202,1301,1502,1503,5202,4107,4108,4415,1703,1505。"	0.65	0.3	生地15，酒大黄5，赤芍10，白芍12，丹皮12，当归尾12，枳壳12，龟板先煎10，桃仁20，延胡索10，郁金12。
30	301	"1204,1302,1506,3310,5308,5503,3305,3205,3408,3911,4407,4416。"	0.65	0.3	吴茱萸8，麦冬20，当归15，白芍12，川芎15，党参8，桂枝15，阿胶珠10，牡丹皮15，生姜15，炙甘草9，姜半夏9
30	302	"4204,1204,1506,3310,3804,3810,4106,4109,4407,5108,3205,3109。"	0.65	0.3	吴茱萸6、麦冬20，当归15、白芍12、川芎15、党参8、桂枝15、阿胶珠10、牡丹皮15、生姜15、炙甘草9、姜半夏9、枳壳12
30	303	"5503,1506,3310,5308,3305,3205,3804,3810,3408,3911,4420,3102。"	0.65	0.3	吴茱萸6、麦冬20，当归15、白芍12、川芎15、党参8、桂枝15、阿胶珠10、小茴香10、乌药8、生姜15、炙甘草9、姜半夏9。
30	304	"4416,4204,1204,1506,3805,3804,5108,3205,3109,3102,4106,4407。"	0.65	0.3	吴茱萸6、麦冬20，当归15、白芍12、川芎15、党参8、桂枝15、阿胶珠10、生姜15、炙甘草9、姜半夏9、炒白术12、柴胡15
30	305	"1204,3310,5308,3305,5108,3205,3109,3102,3911,4109,4407,5503。"	0.65	0.3	吴茱萸6、麦冬20，当归15、白芍12、川芎15、党参8、桂枝15、阿胶珠10、、炙甘草9、制附子先煎10、干姜6、肉桂6
40	401	"10001,1204,1401,1303,1302,3102,3109,5202,10002,4414,3502,3104。"	0.65	0.3	白芍25，当归25，生地12，丹皮12，黄柏8，川牛膝6，香附15，茯苓15，小蓟12，郁金12
40	402	"5402,1401,2103,2107,2109,2110,3112,3402,3109,4207,4414,2102。"	0.65	0.3	白芍25，当归25，生地12，丹皮12，黄柏8，川牛膝6，香附15，茯苓15，小蓟12，败酱草20，茵陈12
40	403	"1204,1303,2110,3112,1703,3502,3503,5202,3402,3904,3104。"	0.65	0.3	白芍15，当归25，生地12，丹皮12，黄柏8，川牛膝6，香附15，茯苓15，小蓟12，柴胡15，桂枝12，姜黄10，羌活10
40	404	"3104,1204,1401,2103,2109,2110,5202,3402,3904,3503,4207,5405。"	0.65	0.3	白芍20，当归25，生地12，丹皮12，黄柏8，川牛膝6，香附15，茯苓15，知母12，茵陈12，炒薏米15，马齿苋10
40	405	"3104,1204,1401,1303,2110,3112，5202,3402,3904,3502，3503,4104。"	0.65	0.3	白芍25，当归25，生地12，丹皮12，黄柏8，川牛膝6，香附15，茯苓15，小蓟12，白芷10，苍术10，独活10
40	406	"3104,2102,1303,2103,2107,3112,5202,3402,3904,5405,1703,3502。"	0.65	0.3	白芍25，当归25，生地12，丹皮12，黄柏8，川牛膝6，香附15，茯苓15，小蓟12，白芷10，苍术10，青皮20，苏子10
50	501	"1101,1203,1304,3810,2103,1302,1507,3113,5108,4109,4403。"	0.65	0.3	炒白术15、党参8、黄芪12、当归12、炙甘草6、茯苓15、远志10、酸枣仁10、木香10、龙眼肉10、生姜15、大枣10。
50	502	"1101,3113,5108,3102,3111,3402,3805,3404,4406,3109,4106,3804。"	0.65	0.3	炒白术15、党参10、黄芪12、当归12、炙甘草6、茯苓15、远志10、酸枣仁10、木香10、龙眼肉10、生姜15、大枣10、香附15。
50	503	"3113,5108,3102,3111,3402,3805,3109,5207,4109,3404,4406,3804。"	0.65	0.3	炒白术15、党参10、黄芪12、当归12、炙甘草6、茯苓15、远志10、酸枣仁10、木香10、龙眼肉10、生姜15、大枣10、香附15、五味子10、麦冬12
50	504	"4406,5207,1304,3810,2103,1507,3113,3902,5114,4106,5108。"	0.65	0.3	炒白术15、党参10、黄芪12、当归12、炙甘草6、茯苓15、远志10、酸枣仁10、木香10、龙眼肉10、生姜15、大枣10、枳壳12、麦冬10
50	505	"2103,1507,3113,5108,3102,3111,3402,3805,3902,5207,5114,3804。"	0.65	0.3	炒白术15、生晒参先煎3、黄芪15、当归12、炙甘草6、茯苓15、远志10、酸枣仁10、木香10、龙眼肉10、生姜15、大枣10、香附15、砂仁后下6
60	601	"1101,1201,1302,1508,1509,3706,3605,1703,3904,4104,4416。"	0.65	0.3	生地30，元参30，白芍15，麦冬15，茯苓10，阿胶珠10， 女贞子15， 旱莲草10， 知母15， 杜仲15， 川断10。
60	602	"1201,1509,3605,4407,3207,3304,1605,5108,5109,3904,4104。"	0.65	0.3	生地30 元参30 白芍15 麦冬15 茯苓10 阿胶珠10 女贞子15 旱莲草10 知母15 山茱萸12 怀山药12 菟丝子10
60	603	"3706,3605,3805,3904,4104,4416,1703,1605,6308,3503,3802。"	0.65	0.3	生地30 元参30 白芍15 麦冬15 茯苓10 阿胶珠10 女贞子15 旱莲草10 知母15 黄柏8 桂枝15 生牡蛎先煎15 炙甘草6 
60	604	"1508,1509,3706,1703,1605,3802,3904,4104,5504,5108,5109。"	0.65	0.3	生地30 元参30 白芍15 麦冬15 茯苓10 阿胶珠10 女贞子15 旱莲草10 知母15 杜仲15 炒白术10 菟丝子10 
