脏腑结论	证型结论	输出诊断	当其为第一诊断时	当其为第二诊断时	当其为并列第一诊断时
心	火亢	心火亢盛	淡豆豉9栀子9黄连3黄芩9炒酸枣仁15远志9合欢皮15夜交藤30	淡豆豉9栀子9黄连3	淡豆豉9栀子9黄连3炒酸枣仁15远志9
心	气虚	心气亏虚	黄芪24知母9党参9五味子6柴胡6桔梗6升麻6	黄芪24党参9升麻6五味子6	黄芪24知母9党参9桔梗6升麻6五味子6
心	阳虚	心阳不足	黄芪24柴胡6桔梗6升麻6桂枝9干姜6当归9川芎6	桂枝9炙甘草6川芎6	黄芪24柴胡6升麻6桂枝9当归9
心	水气凌心	水气凌心	茯苓30厚朴18木香9木通6泽泻15猪苓9桂枝9枳实9陈皮12清半夏9甘草6生白术9	茯苓30桂枝9甘草6生白术9	茯苓30泽泻15桂枝9陈皮12甘草6生白术9
心	血虚	心血不足	熟地黄15当归9黄芪15白芍9川芎9党参9酸枣仁15远志6	当归9白芍9川芎9	熟地黄15当归9白芍9川芎9黄芪15酸枣仁15
心	阴虚	心阴不足	生地黄9玄参9天冬15麦冬15丹参9当归9党参9茯神15炒酸枣仁15远志6五味子6龙骨30	生地黄9百合15麦冬15当归9	生地黄9麦冬15当归9党参9炒酸枣仁15五味子6龙骨30
心	气郁	心包气郁	旋复花6石菖蒲9远志6瓜蒌皮9炒酸枣仁15苏叶6栀子9淡豆豉9	旋复花6石菖蒲9远志6	旋复花6石菖蒲9炒酸枣仁15栀子9淡豆豉9
心	湿热	心包湿热	苦参9茯苓30炙甘草6石菖蒲9远志9	苦参9茯苓30炙甘草6石菖蒲9	苦参9茯苓30炙甘草6石菖蒲9远志9
心	脾胃不和	脾胃不和	山楂18生白术9姜半夏9黄芩9茯苓9陈皮9莱菔子15厚朴9连翘9神曲9	莱菔子15厚朴9神曲9	山楂18生白术9莱菔子15厚朴9连翘9神曲9
心	少阳枢机不利	少阳枢机不利	柴胡24黄芩15清半夏12龙骨30牡蛎30桂枝9茯神15生大黄3炙甘草6	柴胡24黄芩15清半夏12龙骨30	柴胡24黄芩15清半夏12龙骨30牡蛎30茯神15
心	痰热	痰热阻滞	黄连3竹茹9枳实9清半夏9陈皮9茯神15远志9胆南星6生甘草6	竹茹9清半夏9陈皮9茯神15	竹茹9枳实9清半夏9茯神15胆南星6
心	心肾不交	心肾不交	熟地黄30麦冬15茯神15巴戟天30五味子6黄连3肉桂3黄柏9砂仁9甘草9龙骨30牡蛎30	熟地黄30黄连3肉桂3黄柏9	熟地黄30茯神15黄柏9砂仁9甘草9龙骨30牡蛎30
心	瘀血	瘀血阻滞	桃仁12柴胡9香附6木通6赤芍9清半夏9腹皮9青皮6陈皮9桑皮9苏子12甘草9	桃仁12柴胡9木通6赤芍9	桃仁12香附6木通6丹参9石菖蒲9
心	厥阴不利	厥阴不利	乌梅15细辛3桂枝9黄连6黄柏6当归9党参9干姜6川椒3制附片3	乌梅15黄连6党参9干姜6	乌梅15细辛3桂枝9黄连6黄柏6干姜6
心	真阳不足神失潜镇	真阳不足神失潜镇	制附片9干姜9炙甘草12龙骨30牡蛎30磁石30	制附片9干姜9炙甘草12磁石30	制附片9干姜9炙甘草12龙骨30牡蛎30磁石30
小肠	火亢	小肠湿热	木通6车前子9萹蓄9瞿麦9栀子9滑石9生大黄3灯芯草6甘草9炒酸枣仁15远志9夜交藤30	木通6滑石9生地9甘草9	木通6车前子9瞿麦9栀子9滑石9灯芯草6
小肠	气虚	小肠湿热	木通6车前子9萹蓄9瞿麦9栀子9滑石9生大黄3灯芯草6甘草9炒酸枣仁15远志9夜交藤31	木通6滑石9生地9甘草10	木通6车前子9瞿麦9栀子9滑石9灯芯草7
小肠	阳虚	小肠湿热	木通6车前子9萹蓄9瞿麦9栀子9滑石9生大黄3灯芯草6甘草9炒酸枣仁15远志9夜交藤32	木通6滑石9生地9甘草11	木通6车前子9瞿麦9栀子9滑石9灯芯草8
小肠	水气凌心	小肠湿热	木通6车前子9萹蓄9瞿麦9栀子9滑石9生大黄3灯芯草6甘草9炒酸枣仁15远志9夜交藤33	木通6滑石9生地9甘草12	木通6车前子9瞿麦9栀子9滑石9灯芯草9
小肠	血虚	小肠湿热	木通6车前子9萹蓄9瞿麦9栀子9滑石9生大黄3灯芯草6甘草9炒酸枣仁15远志9夜交藤34	木通6滑石9生地9甘草13	木通6车前子9瞿麦9栀子9滑石9灯芯草10
小肠	阴虚	小肠湿热	木通6车前子9萹蓄9瞿麦9栀子9滑石9生大黄3灯芯草6甘草9炒酸枣仁15远志9夜交藤35	木通6滑石9生地9甘草14	木通6车前子9瞿麦9栀子9滑石9灯芯草11
小肠	气郁	小肠湿热	木通6车前子9萹蓄9瞿麦9栀子9滑石9生大黄3灯芯草6甘草9炒酸枣仁15远志9夜交藤36	木通6滑石9生地9甘草15	木通6车前子9瞿麦9栀子9滑石9灯芯草12
小肠	湿热	小肠湿热	木通6车前子9萹蓄9瞿麦9栀子9滑石9生大黄3灯芯草6甘草9炒酸枣仁15远志9夜交藤37	木通6滑石9生地9甘草16	木通6车前子9瞿麦9栀子9滑石9灯芯草13
小肠	脾胃不和	小肠湿热	木通6车前子9萹蓄9瞿麦9栀子9滑石9生大黄3灯芯草6甘草9炒酸枣仁15远志9夜交藤38	木通6滑石9生地9甘草17	木通6车前子9瞿麦9栀子9滑石9灯芯草14
小肠	少阳枢机不利	小肠湿热	木通6车前子9萹蓄9瞿麦9栀子9滑石9生大黄3灯芯草6甘草9炒酸枣仁15远志9夜交藤39	木通6滑石9生地9甘草18	木通6车前子9瞿麦9栀子9滑石9灯芯草15
