编号	症候	脏腑评分	证型评分	
1	<50岁	心+1，肝+1，胆+1，胃+1，小肠+1	火亢+1，气郁+1，湿热+1，脾胃不和+1，少阳枢机不利+1，痰热+1	
2	>50岁	心+1，肝+1，胆+1，脾+1	气虚+1，心肾不交+1，真阳不足神失潜镇+1，血虚+1，阴虚+1，厥阴不利+1	
3	<三月	心+1，肝+2，胆+2，胃+2，小肠+1	火亢+1，气郁+2，湿热+1，脾胃不和+1，少阳枢机不利+1，痰热+2	
4	>三月	心+1，肝+1，胆+1，脾+1	气虚+1，心肾不交+1，血虚+1，阴虚+1	
5	入睡困难	心+1，肝+1，胆+1，胃+1，小肠+1	火亢+1，气郁+2，湿热+1，脾胃不和+1，痰热+2，瘀血+1，心肾不交+1，血虚+1	
6	入睡困难，精神亢奋	心+3，肝+3，胆+2，小肠+1	火亢+4，气郁+2，湿热+1，痰热+2，心肾不交+2，阴虚+3	
7	入睡困难，心烦不安	心+5，肝+4，胃+3，小肠+3	火亢+5，阴虚+4，心肾不交+4，少阳枢机不利+3，脾胃不和+2，湿热+2	
8	入睡困难，但很困倦	心+5，肝+5，脾+3	气虚+3，心肾不交+3，真阳不足神失潜镇+2，血虚+5	
9	多梦易醒	心+5，脾+4，胆+3	血虚+5，气虚+3，阴虚+3，少阳枢机不利+2，痰热+2	
10	恐惧不敢独睡	心+5，脾+3，胆+5	血虚+2，气虚+5，阴虚+1	
11	疲劳后加重	心+5，肝+5，脾+3	气虚+4，心肾不交+2，真阳不足神失潜镇+1，血虚+5，阴虚+2	
12	生气后加重	心+3，肝+5	火亢+3，气郁+5	
13	思虑过度后加重	脾+5，肝+3，心+3	气虚+3，心肾不交+1，血虚+3，阴虚+1	
14	悲伤后加重			
15	精神尚可	心+3，肝+3，胆+2，小肠+1	火亢+2，气郁+2，湿热+1，痰热+2，心肾不交+2，阴虚+3，胃+2	
16	困倦	心+5，肝+5，脾+3	气虚+3，阳虚+1，心肾不交+2，真阳不足神失潜镇+1，血虚+5	
17	夜寐磨牙 	脾+5，胃+5	气虚+2、湿热+3；脾胃不和+4	
18	夜寐打鼾		痰热+3	
19	夜寐流涎	脾+3，胃+3	气虚+3，水饮凌心+4，脾胃不和+3	
20	前额痛  	胃+5	脾胃不和+2，湿热+2	
21	侧头痛  	肝+5，胆+5	气郁+4，火亢+2，湿热+2，阴虚+2，痰热+2，瘀血+1	
22	后头痛  			
23	巅顶痛	肝+5	厥阴不利+5，血虚+5，湿热+1	
24	头痛不重，疲劳后加重	心+3，脾+2，肝+3	气虚+3、血虚+2	
25	头痛如针刺		瘀血+5	
26	经期或经前头痛	肝+5	气郁+5，瘀血+2	
