症候编号	规则
3，100	肝+5；气郁+5
3，100，104，113，122	肝+8；气郁+8
50，99	肝+5；气郁+5；火亢+3
50，99，105，124 	肝+8；气郁+8，火亢+5
7，51，75，84	肝+5；湿热+5
7，51，75，84，105，117，124	肝+8；湿热+8
7，51，45，58，79，80	心+5；火亢+5
7，51，45，58，79，80。105，124。	心+8；火亢+8
7，51，87	小肠+5；湿热+5
7，51，87，105，114，124	小肠+8，湿热+8
16，45，88，89	心+5；气虚+5
16，45，88，89，104，126	心+8；气虚+8
45，46，52，89。	心+5；阳虚+5
45，46，52，89。104，123 	心+8；阳虚+8
7，51，33，64，85，93	心+5；心肾不交+5
7，51，33，64，85，93，105，119，124	心+8；心肾不交+8
29，45，52，62，68，85。	水饮凌心+5
29，45，52，62，68，85。103，109	水饮凌心+8
52，58，67，71，75	肝+5；厥阴不利+5
52，58，67，71，75，122	肝+8；厥阴不利+8
9，45，51，75，87，88	肝+5；少阳枢机不利+8
53，80	胃+5；脾胃不和+5
53，80，105，114	胃+8；脾胃不和+8
8，51，	血虚+5
8，51，110，124	血虚+8
89，104，113，123	真阳不足神失潜镇+8
5，9，30，46	心+5；血虚+5
5，9，30，46，104，113，126	心+8；血虚+8
5，9，30，52，69，81	心+3；脾+5；气虚+5
5，9，30，52，69，81，104，113，126	心+5，脾+8；气虚+8
9，10，30，95	胆+5；气虚+5
9，10，30，95，104，109	胆+8；气虚+8
5，9，52，66，80	心+5；阴虚+5
5，9，52，66，80，105，119，124	心+8，阴虚+8
5，9，52，66，84，93	心+3；阴虚+5，火亢+5
5，9，52，66，84，93，105，119，124	心+5；阴虚+8，火亢+8
51，52，29，48，75，	胆+5；痰热+5
51，52，29，48，75，105，118，124	胆+8；痰热+8
