编号	问题	症候	类型	脏腑评分	证型评分	UserState
-3	姓名		1024			
-2	性别	男	512			
-1	性别	女	512			
1	年龄	<50岁	512	心+1，肝+1，胆+1，胃+1，小肠+1	火亢+1，气郁+1，湿热+1，脾胃不和+1，少阳枢机不利+1，痰热+1	编号:1
2	年龄	>50岁	512	心+1，肝+1，胆+1，脾+1	气虚+1，心肾不交+1，真阳不足神失潜镇+1，血虚+1，阴虚+1，厥阴不利+1	编号:2
3	发病时间	<三月	512	心+1，肝+2，胆+2，胃+2，小肠+1	火亢+1，气郁+2，湿热+1，脾胃不和+1，少阳枢机不利+1，痰热+2	编号:3
4	发病时间	>三月	512	心+1，肝+1，胆+1，脾+1	气虚+1，心肾不交+1，血虚+1，阴虚+1	编号:4
5	主要症状	入睡困难	513	心+1，肝+1，胆+1，胃+1，小肠+1	火亢+1，气郁+2，湿热+1，脾胃不和+1，痰热+2，瘀血+1，心肾不交+1，血虚+1	编号:5
6	主要症状	入睡困难，精神亢奋	513	心+3，肝+3，胆+2，小肠+1	火亢+4，气郁+2，湿热+1，痰热+2，心肾不交+2，阴虚+3	编号:6
7	主要症状	入睡困难，心烦不安	513	心+5，肝+4，胃+3，小肠+3	火亢+5，阴虚+4，心肾不交+4，少阳枢机不利+3，脾胃不和+2，湿热+2	编号:7
8	主要症状	入睡困难，但很困倦	513	心+5，肝+5，脾+3	气虚+3，心肾不交+3，真阳不足神失潜镇+2，血虚+5	编号:8
9	主要症状	多梦易醒	513	心+5，脾+4，胆+3	血虚+5，气虚+3，阴虚+3，少阳枢机不利+2，痰热+2	编号:9
10	主要症状	恐惧不敢独睡	513	心+5，脾+3，胆+5	血虚+2，气虚+5，阴虚+1	编号:10
11	以下情况是否会加重睡眠障碍	疲劳后加重	513	心+5，肝+5，脾+3	气虚+4，心肾不交+2，真阳不足神失潜镇+1，血虚+5，阴虚+2	编号:11
12	以下情况是否会加重睡眠障碍	生气后加重	513	心+3，肝+5	火亢+3，气郁+5	编号:12
13	以下情况是否会加重睡眠障碍	思虑过度后加重	513	脾+5，肝+3，心+3	气虚+3，心肾不交+1，血虚+3，阴虚+1	编号:13
14	以下情况是否会加重睡眠障碍	悲伤后加重	513			编号:14
15	白天精神状态	精神尚可	513	心+3，肝+3，胆+2，小肠+1	火亢+2，气郁+2，湿热+1，痰热+2，心肾不交+2，阴虚+3，胃+2	编号:15
16	白天精神状态	困倦	513	心+5，肝+5，脾+3	气虚+3，阳虚+1，心肾不交+2，真阳不足神失潜镇+1，血虚+5	编号:16
17	睡眠中是否有以下伴随症状	夜寐磨牙 	513	脾+5，胃+5	气虚+2、湿热+3；脾胃不和+4	编号:17
18	睡眠中是否有以下伴随症状	夜寐打鼾	513		痰热+3	编号:18
19	睡眠中是否有以下伴随症状	夜寐流涎	513	脾+3，胃+3	气虚+3，水饮凌心+4，脾胃不和+3	编号:19
20	头	前额痛  	513	胃+5	脾胃不和+2，湿热+2	编号:20
21	头	侧头痛  	513	肝+5，胆+5	气郁+4，火亢+2，湿热+2，阴虚+2，痰热+2，瘀血+1	编号:21
22	头	后头痛  	513			编号:22
23	头	巅顶痛	513	肝+5	厥阴不利+5，血虚+5，湿热+1	编号:23
24	头	头痛不重，疲劳后加重	513	心+3，脾+2，肝+3	气虚+3、血虚+2	编号:24
25	头	头痛如针刺	513		瘀血+5	编号:25
26	头	经期或经前头痛	513	肝+5	气郁+5，瘀血+2	编号:26
27	头	头晕且重	513	肝+4，心+3	痰热+4，水饮凌心+2，湿+3	编号:27
28	头	头晕且胀	513	肝+5	气郁+3、火亢+3、阴虚+2，痰热+2	编号:28
29	头	头晕伴恶心	513	肝+3，胆+5，胃+2	痰热+3，湿+2	编号:29
30	头	头晕伴神疲体倦	513	心+3，脾+3，肝+3	气虚+3，真阳不足神失潜镇+1，血虚+3	编号:30
31	头	头晕伴腰膝酸软	513	肝+3，肾+5	血虚+4，气虚+3心肾不交+3，真阳不足神失潜镇+1	编号:31
32	头	头重	513	脾+3，肝+3，胆+3	痰热+3，湿+3	编号:32
33	耳	耳鸣（低细耳鸣）	513	肝+3、肾+2、+心1；	血虚+4，气虚+3，心肾不交+2	编号:33
34	耳	耳鸣（尖锐高亢耳鸣）	513	肝+3、肾+1，心+1	火亢+5，痰热+3、心肾不交+2	编号:34
35	耳	胀、闭	513	肝+3，胆+3	火亢+1，痰热+3、痰2、湿热+2	编号:35
36	耳	痒 	513	肝+3，胆+3	火亢+2，血虚+2	编号:36
37	耳	痛	513	肝+5，胆+5，心+3	火亢+3，痰热+3、湿热3 	编号:37
38	咽	咽干	513	心+3，肝+2	阴虚+3，火亢+3，湿热+2	编号:38
39	咽	咽痛	513	肝+3，心+3，胃+3	火亢+3、湿热+3、阴虚+2	编号:39
40	咽	咽痒 	513		痰热+3	编号:40
41	咽	咽部异物感	513	胆+3	痰热+3，阴虚+1	编号:41
42	目	眼干 	513	肝+5，心+2	火亢+2，阴虚+3，血虚+4	编号:42
43	目	眼痛	513	肝+5，心+2	"火亢+3，阴虚+3,湿热+2"	编号:43
44	目	眼痒	513	肝+3，心+1	阴虚+1，血虚+1	编号:44
45	胸	胸闷气短	513	心+5，胆+5	气虚+5，阳虚+4，水饮凌心+3，少阳枢机不利+3，痰热+3，火亢+1	编号:45
46	胸	心悸健忘	513	心+5，脾+3，胆+5	血虚+4，气虚+5，阴虚+3，痰热+2，	编号:46
47	胸	胸闷胸痛	513	心+5，胆+5	气虚+5，阳虚+4，气郁+3，痰热+3，瘀血+2	编号:47
48	胸	胸闷痰多	513		痰热+5，	编号:48
49	胁	胁肋胀	513	肝+5、胆+5	气郁+3、痰热+2、瘀血+1、血虚+2，火亢+1 	编号:49
50	胁	胁肋痛	513	肝+5，胆+5	"气郁+5，血虚+3，气虚+2，痰热+3，瘀血+3,"	编号:50
51	心	心烦 	513	心+5，肝+4，胃+3，小肠+1	火亢+5，阴虚+4，心肾不交+4，少阳枢机不利+3，脾胃不和+2，湿热+2	编号:51
