编号	阈值	加药	减药	类型
3703	1	枣仁20		1
3707	1	夜交藤15		1
3708	1	白芷10		1
3704	1	柏子仁10		1
10001	1	黄柏8g 知母12g		1
3810	1	黄柏6g 黄连3g 白芷6g 		2
3807	1	黄连3g 黄柏3g 黄芩6g 白芷3g 		2
10005	1	高良姜6g		1
10006	1	高良姜6g		1
10，5351。	1	杜仲15 续断10 菟丝子10		1
10，3110。	1	黄芪20 升麻6		1
10，5302。	1	黄芪20 升麻6		1
10，3810，1101。	1	炒扁豆10 炒薏米20		1
"10,3807。"	1	炒扁豆10 炒薏米20		1
10，5102。	1	酸枣仁20 煅龙骨先煎15 煅牡蛎先煎15		1
10，5202。	1	酸枣仁20 煅龙骨先煎15 煅牡蛎先煎15		1
"10,10002。"	1	酸枣仁20 煅龙骨先煎15 煅牡蛎先煎15		1
10，5304。	1	橘核10 小茴香10		1
"10,5306。"	1	橘核10 小茴香10		1
10，3114。	1	法半夏10 石菖蒲10		1
10，1112。	1	法半夏10 石菖蒲10		1
10，3410。	1	法半夏10 石菖蒲10		1
10，5204。	1	法半夏10 石菖蒲10		1
"10，1112，1104,1113。"	1	椿白皮15		1
"20,3807。"	1	炒白术15白豆蔻10	肉苁蓉15	1
20，1207。	1	制艾叶10，乌药10		1
20，5352。	1	续断10 		1
"20,3305,3310。"	1	桂枝15		1
20，1101。	1	生晒参先煎6 补骨脂15 熟地15		1
30，1101。	1	茯苓15 泽泻15		1
30，3502。	1	夏枯草15		1
"30,3509。"	1	夏枯草15		1
30，5304。	1	槟榔15 厚朴15		1
30，3402。	1	槟榔15 厚朴15		1
40，1502。	1	三棱10 莪术10 		1
40，1101。	1	炒薏苡仁20 泽泻10		1
40，5356。	1	川断10 杜仲15		1
40，5302。	1	升麻6 炙甘草10 川芎10		1
				
