编号	前提	问题	症状	问题类型	显示序列号
1101		带下情况	带下量多	"选择,多重"	1001
1102		带下情况	带下量少	"选择,多重"	1002
1103		带下情况	带下绵绵不断	"选择,多重"	1003
1104		带下情况	带下色黄	"选择,多重"	1004
1105		带下情况	带下色赤（包括有血丝）	"选择,多重"	1005
1106		带下情况	带下色白	"选择,多重"	1006
1107		带下情况	带下色黑	"选择,多重"	1007
1108		带下情况	带下色青	"选择,多重"	1008
1109		带下情况	带下赤白相兼	"选择,多重"	1009
1110		带下情况	带下黄白相兼	"选择,多重"	1010
1111		带下情况	带下质稀薄	"选择,多重"	1011
1112		带下情况	带下粘稠	"选择,多重"	1012
1113		带下情况	带下味臭	"选择,多重"	1013
1114		带下情况	带下无臭味	"选择,多重"	1014
1115		带下情况	带下质地正常	"选择,多重"	1015
1201		腹痛	无	"选择,多重"	1016
1202		腹痛	下腹痛	"选择,多重"	1017
1203		腹痛	小腹刺痛	"选择,多重"	1018
1204		腹痛	小腹窜痛	"选择,多重"	1019
1205		腹痛	疼痛拒按	"选择,多重"	1020
1206		腹痛	少腹疼痛	"选择,多重"	1021
1301		乳房	正常	"选择,多重"	1022
1302		乳房	乳房胀痛	"选择,多重"	1023
1303		乳房	乳房刺痛	"选择,多重"	1024
1304		乳房	乳房内侧胀痛	"选择,多重"	1025
1305		乳房	乳房外侧胀痛	"选择,多重"	1026
1401		孕产史	无怀孕史	"选择,多重"	1027
1402		孕产史	无生育史	"选择,多重"	1028
1403		孕产史	流产或生产2次以上	"选择,多重"	1029
1404		孕产史	有生育史	"选择,多重"	1030
1405		孕产史	有剖宫产史	"选择,多重"	1031
1501		经期不适症状	小腹痛为主，严重者连及会阴、耻骨痛	"选择,多重"	1032
1502		经期不适症状	月经有血块	"选择,多重"	1033
1503		经期不适症状	后背脊柱两侧肌肉酸痛	"选择,多重"	1034
1504		经期不适症状	肩胛骨内侧及下缘不适	"选择,多重"	1035
1505		经期不适症状	周身乏力	"选择,多重"	1036
1506		经期不适症状	精神疲惫	"选择,多重"	1037
1507		经期不适症状	头昏头沉	"选择,多重"	1038
1508		经期不适症状	恶心或呕吐	"选择,多重"	1039
1509		经期不适症状	心烦	"选择,多重"	1040
1510		经期不适症状	心悸	"选择,多重"	1041
1511		经期不适症状	心前区及胸腹疼痛	"选择,多重"	1042
1512		经期不适症状	以上皆无	"选择,多重"	1043
1601		头痛	无	"选择,多重"	1044
1602		头痛	有	"选择,多重"	1045
1603	1602	头痛	头侧面痛，甚至连及耳目	"选择,多重"	1046
1604	1602	头痛	头顶痛	"选择,多重"	1047
1605	1602	头痛	头痛连及齿龈	"选择,多重"	1048
1606	1602	头痛	头空痛	"选择,多重"	1049
1607	1602	头痛	脑仁疼	"选择,多重"	1050
1608	1602	头痛	全头痛	"选择,多重"	1051
1609	1602	头痛	头昏沉	"选择,多重"	1052
1610	1602	头痛	前额痛	"选择,多重"	1053
1611	1602	头痛	枕部疼痛，甚至连及项背或肩	"选择,多重"	1054
3101		整体精神状态	正常	"选择,多重"	1055
3102		整体精神状态	精神疲惫	"选择,多重"	1056
3103		整体精神状态	情志抑郁不舒	"选择,多重"	1057
3104		整体精神状态	烦躁（心烦）	"选择,多重"	1058
3105		整体精神状态	悲伤委屈	"选择,多重"	1059
3106		整体精神状态	易怒	"选择,多重"	1060
3107		整体精神状态	焦虑（思虑过度）	"选择,多重"	1061
3108		整体精神状态	乏力	"选择,多重"	1062
3109		整体精神状态	健忘	"选择,多重"	1063
3110		整体精神状态	气短	"选择,多重"	1064
3111		整体精神状态	易受惊吓	"选择,多重"	1065
3112		整体精神状态	情绪易受刺激	"选择,多重"	1066
3113		整体精神状态	喜叹息	"选择,多重"	1067
3114		整体精神状态	形体肥胖	"选择,多重"	1068
3115		整体精神状态	形体消瘦	"选择,多重"	1069
3201		面色	正常	"选择,多重"	1070
3202		面色	面色苍白	"选择,多重"	1071
3203		面色	面色红赤	"选择,多重"	1072
3204		面色	面色黯红	"选择,多重"	1073
3205		面色	面色潮红	"选择,多重"	1074
3206		面色	面色萎黄	"选择,多重"	1075
3207		面色	面色淡黄	"选择,多重"	1076
3208		面色	面有色斑	"选择,多重"	1077
3209		面色	面色虚浮	"选择,多重"	1078
3210		面色	面色晦暗	"选择,多重"	1079
3211		面色	颧红	"选择,多重"	1080
3212		面色	口唇色淡	"选择,多重"	1081
3213		面色	口唇红赤	"选择,多重"	1082
3214		面色	口唇发紫	"选择,多重"	1083
3301		寒热	正常	"选择,多重"	1084
3302		寒热	发热	"选择,多重"	1085
3303		寒热	潮热	"选择,多重"	1086
3304		寒热	自觉发热	"选择,多重"	1087
3305		寒热	恶寒	"选择,多重"	1088
3306		寒热	平素体温偏低	"选择,多重"	1089
3307		寒热	骨蒸	"选择,多重"	1090
3308		寒热	背脊冷	"选择,多重"	1091
3309		寒热	五心烦热（手足心热，心烦）	"选择,多重"	1092
3310		寒热	手足冷	"选择,多重"	1093
3311		寒热	恶风	"选择,多重"	1094
3401		饮食	正常	"选择,多重"	1095
3402		饮食	食欲不佳	"选择,多重"	1096
3403		饮食	食量减少	"选择,多重"	1097
3404		饮食	食后腹胀	"选择,多重"	1098
3405		饮食	食后腹痛	"选择,多重"	1099
3406		饮食	食后腹泻	"选择,多重"	1100
3407		饮食	喜食冷饮	"选择,多重"	1101
3408		饮食	喜食热饮	"选择,多重"	1102
3409		饮食	口渴但不喜饮水	"选择,多重"	1103
3410		饮食	恶心	"选择,多重"	1104
3411		饮食	恶心夜间加重	"选择,多重"	1105
3412		饮食	消化不良	"选择,多重"	1106
3501		口味	正常	"选择,多重"	1107
3502		口味	口苦	"选择,多重"	1108
3503		口味	口干或口渴	"选择,多重"	1109
3504		口味	口涩	"选择,多重"	1110
3505		口味	口甜	"选择,多重"	1111
3506		口味	口酸	"选择,多重"	1112
3507		口味	口咸	"选择,多重"	1113
3508		口味	口中粘腻	"选择,多重"	1114
3509		口味	口臭	"选择,多重"	1115
3601		出汗	正常	"选择,多重"	1116
3602		出汗	不易出汗	"选择,多重"	1117
3603		出汗	动则汗出	"选择,多重"	1118
3604		出汗	头汗出	"选择,多重"	1119
3605		出汗	睡中汗出	"选择,多重"	1120
3606		出汗	睡醒汗出	"选择,多重"	1121
3607		出汗	手汗出	"选择,多重"	1122
3608		出汗	胸口易出汗	"选择,多重"	1123
3609		出汗	热汗	"选择,多重"	1124
3610		出汗	冷汗	"选择,多重"	1125
3611		出汗	出粘汗	"选择,多重"	1126
3701		睡眠	睡眠正常	"选择,多重"	1127
3702		睡眠	嗜睡	"选择,多重"	1128
3703		睡眠	入睡困难	"选择,多重"	1129
3704		睡眠	睡后易醒	"选择,多重"	1130
3705		睡眠	醒后难入睡	"选择,多重"	1131
3706		睡眠	睡眠浅质量差（夜寐不安）	"选择,多重"	1132
3707		睡眠	多梦	"选择,多重"	1133
3708		睡眠	早醒	"选择,多重"	1134
3709		睡眠	睡眠少于5小时	"选择,多重"	1135
3710		睡眠	蜷膝而卧	"选择,多重"	1136
3801		大便	正常	"选择,多重"	1137
3802		大便	大便干结	"选择,多重"	1138
3803		大便	大便数日一行	"选择,多重"	1139
3804		大便	大便数日一行且无便意	"选择,多重"	1140
3805		大便	排便无力	"选择,多重"	1141
3806		大便	大便困难	"选择,多重"	1142
3807		大便	大便溏稀	"选择,多重"	1143
3808		大便	大便粘腻排不尽	"选择,多重"	1144
3809		大便	大便排出后汗出	"选择,多重"	1145
3810		大便	大便不成形	"选择,多重"	1146
3811		大便	五更泻	"选择,多重"	1147
3901		小便	正常	"选择,多重"	1148
3902		小便	小便少	"选择,多重"	1149
3903		小便	小便多	"选择,多重"	1150
3904		小便	小便色黄	"选择,多重"	1151
3905		小便	小便色赤	"选择,多重"	1152
3906		小便	小便色淡	"选择,多重"	1153
3907		小便	小便涩痛	"选择,多重"	1154
3908		小便	小便急	"选择,多重"	1155
3909		小便	小便清冷	"选择,多重"	1156
3910		小便	小便灼热	"选择,多重"	1157
3911		小便	小便频	"选择,多重"	1158
3912		小便	起夜超过2次	"选择,多重"	1159
4101		舌体	正常	"选择,多重"	1160
4102		舌体	舌瘦小	"选择,多重"	1161
4103		舌体	舌胖大	"选择,多重"	1162
4104		舌体	舌红	"选择,多重"	1163
4105		舌体	舌淡黯	"选择,多重"	1164
4106		舌体	舌淡白	"选择,多重"	1165
4107		舌体	舌绛红	"选择,多重"	1166
4108		舌体	舌有瘀点瘀斑	"选择,多重"	1167
4109		舌体	舌边有齿痕	"选择,多重"	1168
4110		舌体	舌质紫	"选择,多重"	1169
4111		舌体	舌尖红	"选择,多重"	1170
4201		舌苔	正常	"选择,多重"	1171
4202		舌苔	舌苔厚	"选择,多重"	1172
4203		舌苔	舌苔腻	"选择,多重"	1173
4204		舌苔	舌苔白	"选择,多重"	1174
4205		舌苔	舌苔黄	"选择,多重"	1175
4206		舌苔	舌苔黑褐色	"选择,多重"	1176
4207		舌苔	舌苔根腻	"选择,多重"	1177
4208		舌苔	苔少	"选择,多重"	1178
4209		舌苔	剥脱苔	"选择,多重"	1179
4210		舌苔	舌淡苔润	"选择,多重"	1180
4211		舌苔	舌苔薄白	"选择,多重"	1181
4301		舌下	正常	"选择,多重"	1182
4302		舌下	舌下瘀络	"选择,多重"	1183
4303		舌下	舌下痰膜	"选择,多重"	1184
4401		脉象	浮脉	"选择,多重"	1185
4402		脉象	沉脉	"选择,多重"	1186
4403		脉象	缓脉	"选择,多重"	1187
4404		脉象	迟脉	"选择,多重"	1188
4405		脉象	数脉	"选择,多重"	1189
4406		脉象	弱脉	"选择,多重"	1190
4407		脉象	细脉	"选择,多重"	1191
4408		脉象	促脉	"选择,多重"	1192
4409		脉象	短脉	"选择,多重"	1193
4410		脉象	虚脉	"选择,多重"	1194
4411		脉象	实脉	"选择,多重"	1195
4412		脉象	大脉	"选择,多重"	1196
