分组号	分型号	症状编号	阈值	最低阈值	方药
10	101	"1106,1104,1111,1114,5502,3402,3412,3810,5509,3108,4406,4106。"	0.6	0.3	炒白术15、怀山药12、党参10、炒白芍12、苍术10、炙甘草6、陈皮20、黑芥穗10、柴胡20、香附20、生艾叶10茯苓15
10	102	"1106,1104,1112,5502,3402,5509,5203,3810，1103*2,10007,4406。"	0.6	0.3	炒白术15、怀山药12、党参10、炒白芍12、苍术10、炙甘草6、陈皮20、黑芥穗10、柴胡20、香附20、生艾叶10、茯苓15薏苡仁20、藿香15
10	103	"1101,1106,1111,1114,1103,3310*2,6308,3402,10007,3202,3412。"	0.6	0.3	炒白术15、怀山药12、党参10、炒白芍12、苍术10、炙甘草6、陈皮20、黑芥穗10、柴胡20、香附20、生艾叶10、茯苓15法半夏10、生姜20
10	104	"1101,1104,1112*2,1113*2,3107,5203,5502,3503*2,4106。"	0.6	0.3	炒白术15、怀山药12、党参10、炒白芍12、苍术10、炙甘草6、陈皮20、黑芥穗10、柴胡20、香附20、茯苓20、茵陈15、车前子10
10	105	"1106,1111,1114,1103,5502,5509,3110,3108,3107,5203,4106,10007。"	0.6	0.3	炒白术15、怀山药12、党参10、炒白芍12、苍术15、炙甘草6、陈皮20、黑芥穗10、柴胡20、香附20、茯苓20、法半夏10
20	201	"1101,1111,1103,5102,5107,5352,5508,3909,3810,3202,4210,4402。"	0.6	0.3	海螵蛸15潼蒺藜10、黄芪20、肉桂8、桑螵蛸12、肉苁蓉15、小茴香15乌药10鹿角片10桂枝15白芍15甘草6
20	202	"1106,1111,5508,5353,3305,3310,5303,3909,3810,3202,3912,4402。"	0.6	0.3	海螵蛸15潼蒺藜10、黄芪20、肉桂8、桑螵蛸12、肉苁蓉15、小茴香15乌药10鹿角片10桂枝15白芍15炙甘草6 生艾叶10
20	203	"1106,1111,1103,3410*2,3411*2,3210,3911,4210,4407,3310。"	0.6	0.3	海螵蛸15潼蒺藜10、黄芪20、肉桂8、桑螵蛸12、肉苁蓉15、小茴香15乌药10鹿角片10桂枝15白芍15炙甘草6制附子先煎10
20	204	"1106,1111,1103,5102,3210,3410,3411,5353,3909,3310,5303,4402。"	0.6	0.3	海螵蛸15潼蒺藜10、黄芪20、肉桂8、桑螵蛸12、肉苁蓉15、小茴香15乌药10鹿角片10桂枝15白芍15炙甘草6制附子先煎10
20	205	"1106,1111,1103,5352,5508,3305,3310,3909,3810,3912,4407,3210。"	0.6	0.3	海螵蛸15潼蒺藜10、黄芪20、肉桂10、桑螵蛸12、肉苁蓉15、小茴香15乌药10鹿角片10桂枝15白芍15炙甘草6
30	301	"1104,1110,1112,3104,5203,3106,3502,3703,3704,3904,4104,4405。"	0.6	0.3	炒白芍15 当归15 生地15 阿胶珠10 黄柏8 川牛膝10 香附20 红枣20 小黑豆20 柴胡20 炙甘草6 黄连8栀子6 黄芩12 木香20 
30	302	"1104,1111,1112,3104,3106,3502,3704,3705,3806,5504,4205,4416。"	0.6	0.3	炒白芍15 当归15 生地15 阿胶珠10 黄柏8 川牛膝10 香附20 红枣20 小黑豆20 柴胡20 炙甘草6 黄连8栀子6 黄芩12 木香20 
30	303	"1106,1110,1112,1204,1302,5203,3106,3502,3402,3703,3806,4416。"	0.6	0.3	炒白芍15 当归15 生地15 阿胶珠10 黄柏8 川牛膝10 香附20 红枣20 小黑豆20 柴胡20 炙甘草6 黄连8郁金10 茵陈15 青皮20 木香20 
30	304	"1104,1110,1204,1302,3703,3704,3705,3904,3806,4205,4416。"	0.6	0.3	炒白芍15 当归15 生地15 阿胶珠10 黄柏8 川牛膝10 香附20 红枣20 小黑豆20 柴胡20 炙甘草6 黄连8郁金10 茵陈15 青皮20 桂枝15 生龙牡各先煎15 木香20 
30	305	"1104,1110,1204,5203,3502,3402,3703,3704,3705,5504,3103,3806。"	0.6	0.3	炒白芍15 当归15 生地15 阿胶珠10 黄柏8 川牛膝10 香附20 红枣20 小黑豆20 柴胡20 炙甘草6 黄连8郁金10 茵陈15 青皮20 桂枝15 生龙牡各先煎15 木香20 
40	401	"6303,3208,1102,1115,1112,1203,1202,4105,4110,4108,4204,4415。"	0.6	0.3	桃仁20 红花10 当归15 川芎15 熟地15 炒白芍15 枳壳12 川牛膝10 黄柏8
40	402	"1102,1115,1202,5356,1205,5306*2,5206*2,4105,4204,4416。"	0.6	0.3	桃仁20 红花10 当归15 川芎15 熟地15 炒白芍15 香附20 郁金10 陈皮20 杜仲10 川断10 五灵脂10
