编号	症候	脏腑评分	证型评分	病机评分
1	<10岁	肺+1、胃+1、胆+1	风+1、湿+1、湿热+1、痰+1、风痰+1	
2	>50岁	脾+1、肝+1、肾+1、心+1	气虚+1、血虚+1、阳虚+1	
3	<一月	肺+1、胃+1、胆+1	风+1、风热+1、湿+1、湿热+1、痰+1、风痰+1	
4	<半年	肺+1、胃+1、胆+1	风+1、湿+1、湿热+1、痰+1、风痰+1	
5	>一年	脾+1、肝+1、心+1	气虚+1、血虚+1、风+1、阴虚+1	
6	>三年	脾+1、肝+1、肾+1、心+1	气虚+1、血虚+1、阳虚+1	软坚化结+1
7	鼻塞	肺+3、肝+3、胆+3、脾+3、胃+3、心+2、肾+1		通窍+1
8	持续鼻塞	肺+3、肝+3、胆+3、脾+3、胃+3、心+2、肾+1		软坚化结+1
9	多见于晨起鼻塞	肺+3、肝+2、胆+2、脾+3、胃+2、心+2、肾+1		
10	多见于白天鼻塞	肺+3、肝+2、胆+2、脾+3、胃+2、心+2、肾+1		
11	多见于夜间鼻塞	肺+2、胆+3、胃+3、肝+3、肾+1	气郁+3、痰+3、湿+3、湿热+2、阴虚+2	
12	多见于受风后鼻塞	肺+3、肝+2、脾+3、肾+1	风+3、风寒+2、风热+1、气虚+2、寒+1	
13	多见于感热时鼻塞	肺+3、肝+3、胆+3、脾+3、胃+3、心+2	热+3、阴虚+2、风热+3、湿热+3	
14	多见于疲劳时鼻塞	肺+3、肝+2、脾+3、心+1、肾+1	气虚+3、阴虚+2	
15	多见于进食时或餐后鼻塞	肺+1、肝+1、胆+1、脾+3、胃+3	湿+2、气郁+1	积食+1
16	多见于异物异味刺激时鼻塞	肺+3、肝+3	风+3、气虚+1	
17	鼻塞与体位改变有关	肺+3、脾+2	饮+4、湿+2、气郁+1	
18	时有喷嚏	肺+3、肝+3、胆+3、脾+3、胃+3、心+2、肾+1		
19	多见于晨起喷嚏	肺+3、肝+2、胆+2、脾+3、胃+2、心+2、肾+1		
20	多见于白天喷嚏	肺+3、肝+2、胆+2、脾+3、胃+2、心+2、肾+1		
21	多见于夜间喷嚏	肺+2、胆+3、胃+3、肝+3、肾+1	气郁+3、痰+3、湿+3、湿热+2、阴虚+2 	
22	多见于受风后喷嚏	肺+3、肝+2、脾+3、肾+1	风+3、风寒+2、风热+1、气虚+2、寒+1	
23	多见于感热时喷嚏	肺+3、肝+3、胆+3、脾+3、胃+3、心+2	热+3、阴虚+2、风热+3、湿热+3	
24	多见于异物异味刺激时喷嚏	肺+3、肝+3	风+3、气虚+1	
25	无涕		津亏+3、阴虚+3、热+2	
26	阵发性清涕		风+3、气虚+2、寒+1	
27	清涕不止		寒+3、气虚+3、阳虚+1	止流+1
28	浊涕		热+2、湿+3  	
29	白涕		风+2、寒+1、气虚+1 	
30	黄涕		热+3  	
31	涕有腥臭味	胆+4	痰+2、痰热+3、湿热+2	排脓+1、止流+1
32	鼻腔干燥		津亏+3、热+2、燥+2	
33	熏样不适		火+3、热+2、燥+1  	
34	鼻腔灼热		火+3、热+2、燥+1  	
35	鼻腔发痒		肺+3、胆+3、肝+3、风+3  	
36	鼻腔异物感		风+3、风热+2  	
37	喜揉鼻挖鼻		风+3	
38	鼻衄（出血）		血热+3	止血+1
39	涕中带血		风热+3、燥+2、阴虚+2  	
40	月经期鼻衄	肝+3		气逆+1
41	偶有	  		
42	常有			止血+1
43	量多			止血+1
44	量少			
45	嗅觉减退	肺+3、心+2、肝+2	血虚+3、气虚+3、阴虚+2  	
46	嗅觉敏感	肺+3、肝+3	风+3、气虚+2  	
47	嗅觉缺失	肺+3、脾+3、肾+2	气虚+3、血虚+3、阳虚+1    	
48	幻嗅（嗅觉异常、偏差）	心+3	气虚+3、血虚+3	
49	鼻头色红生有丘疹（酒糟鼻）	脾+3、胃+3	湿热+3  	
50	鼻痔（息肉）			消胬肉+1
51	头痛	  		
52	时常头痛	  		
53	偶有头痛	  		
54	前额痛	胃+3		阳明经+1
55	侧头痛	肝+3、胆+3  		少阳经+1
56	后头痛（连及项背）			太阳经+1
57	巅顶痛	肝+3		厥阴经+1
58	头痛不重，疲劳后加重		气虚+3、血虚+2	
59	头痛伴头晕，面白无华		血虚+3、气虚+2	
60	头痛如针刺		瘀血+3	
61	经期或经前头痛	肝+3		气逆+1
62	低头、擤鼻、用力时疼痛		饮+3  	
63	头晕且重		痰+3、湿+3	
64	头晕且胀	肝+3	气郁+3、热+3、阴虚+2	气逆+1
65	头晕伴恶心	胆+3、胃+2	痰+3、湿+3	
66	头晕伴神疲体倦	肺+3、脾+2、肾+1	气虚+3、血虚+2、阳虚+1	
67	头晕伴腰膝酸软	肾+3、肝+2	气虚+2、阴虚+2、精亏+3  	
