编号	问题	症候	类型	脏腑评分	证型评分	UserState	病机评分
-3	姓名		1024				
-2	手机号		1024				
-1	性别		1024				
1	年龄	<10岁	512	肺+1、胃+1、胆+1	风+1、湿+1、湿热+1、痰+1、风痰+1	编号1	
2	年龄	>50岁	512	脾+1、肝+1、肾+1、心+1	气虚+1、血虚+1、阳虚+1	编号2	
3	发病时间	<一月	514	肺+1、胃+1、胆+1	风+1、风热+1、湿+1、湿热+1、痰+1、风痰+1	编号3	
4	发病时间	<半年	514	肺+1、胃+1、胆+1	风+1、湿+1、湿热+1、痰+1、风痰+1	编号4	
5	发病时间	>一年	514	脾+1、肝+1、心+1	气虚+1、血虚+1、风+1、阴虚+1	编号5	
6	发病时间	>三年	514	脾+1、肝+1、肾+1、心+1	气虚+1、血虚+1、阳虚+1	编号6	软坚化结+1 
7	鼻塞	鼻塞	515	肺+3、肝+3、胆+3、脾+3、胃+3、心+2、肾+1		编号7	通窍+1  
8	鼻塞	持续鼻塞	515	肺+3、肝+3、胆+3、脾+3、胃+3、心+2、肾+1		编号8	软坚化结+1
9	鼻塞	多见于晨起鼻塞	515	肺+3、肝+2、胆+2、脾+3、胃+2、心+2、肾+1		编号9	
10	鼻塞	多见于白天鼻塞	515	肺+3、肝+2、胆+2、脾+3、胃+2、心+2、肾+1		编号10	
11	鼻塞	多见于夜间鼻塞	515	肺+2、胆+3、胃+3、肝+3、肾+1	气郁+3、痰+3、湿+3、湿热+2、阴虚+2	编号11	
12	鼻塞	多见于受风后鼻塞	515	肺+3、肝+2、脾+3、肾+1	风+3、风寒+2、风热+1、气虚+2、寒+1	编号12	
13	鼻塞	多见于感热时鼻塞	515	肺+3、肝+3、胆+3、脾+3、胃+3、心+2	热+3、阴虚+2、风热+3、湿热+3	编号13	
14	鼻塞	多见于疲劳时鼻塞	515	肺+3、肝+2、脾+3、心+1、肾+1	气虚+3、阴虚+2	编号14	
15	鼻塞	多见于进食时或餐后鼻塞	515	肺+1、肝+1、胆+1、脾+3、胃+3	湿+2、气郁+1	编号15	积食+1
16	鼻塞	多见于异物异味刺激时鼻塞	515	肺+3、肝+3	风+3、气虚+1	编号16	
17	鼻塞	鼻塞与体位改变有关	515	肺+3、脾+2	饮+4、湿+2、气郁+1	编号17	
18	喷嚏	时有喷嚏	515	肺+3、肝+3、胆+3、脾+3、胃+3、心+2、肾+1		编号18	
19	喷嚏	多见于晨起喷嚏	515	肺+3、肝+2、胆+2、脾+3、胃+2、心+2、肾+1		编号19	
20	喷嚏	多见于白天喷嚏	515	肺+3、肝+2、胆+2、脾+3、胃+2、心+2、肾+1		编号20	
21	喷嚏	多见于夜间喷嚏	515	肺+2、胆+3、胃+3、肝+3、肾+1	气郁+3、痰+3、湿+3、湿热+2、阴虚+2 	编号21	
22	喷嚏	多见于受风后喷嚏	515	肺+3、肝+2、脾+3、肾+1	风+3、风寒+2、风热+1、气虚+2、寒+1	编号22	
23	喷嚏	多见于感热时喷嚏	515	肺+3、肝+3、胆+3、脾+3、胃+3、心+2	热+3、阴虚+2、风热+3、湿热+3	编号23	
24	喷嚏	多见于异物异味刺激时喷嚏	515	肺+3、肝+3	风+3、气虚+1	编号24	
25	涕	无涕	515		津亏+3、阴虚+3、热+2	编号25	
26	涕	阵发性清涕	515		风+3、气虚+2、寒+1	编号26	
27	涕	清涕不止	515		寒+3、气虚+3、阳虚+1	编号27	止流+1  
28	涕	浊涕	515		热+2、湿+3  	编号28	
29	涕	白涕	515		风+2、寒+1、气虚+1 	编号29	
30	涕	黄涕	515		热+3  	编号30	
31	涕	涕有腥臭味	515	胆+4	痰+2、痰热+3、湿热+2	编号31	排脓+1、止流+1
32	鼻腔感觉	鼻腔干燥	515		津亏+3、热+2、燥+2	编号32	
33	鼻腔感觉	熏样不适	515		火+3、热+2、燥+1  	编号33	
34	鼻腔感觉	鼻腔灼热	515		火+3、热+2、燥+1  	编号34	
35	鼻腔感觉	鼻腔发痒	515		肺+3、胆+3、肝+3、风+3  	编号35	
36	鼻腔感觉	鼻腔异物感	515		风+3、风热+2  	编号36	
37	鼻腔感觉	喜揉鼻挖鼻	515		风+3	编号37	
38	鼻衄	鼻衄（出血）	515		血热+3	编号38	止血+1
39	鼻衄	涕中带血	515		风热+3、燥+2、阴虚+2  	编号39	
40	鼻衄	月经期鼻衄	515	肝+3		编号40	气逆+1  
41	鼻衄	偶有	515	  		编号41	
42	鼻衄	常有	515			编号42	止血+1  
43	鼻衄	量多	515			编号43	止血+1  
44	鼻衄	量少	515			编号44	
45	嗅觉	嗅觉减退	515	肺+3、心+2、肝+2	血虚+3、气虚+3、阴虚+2  	编号45	
46	嗅觉	嗅觉敏感	515	肺+3、肝+3	风+3、气虚+2  	编号46	
47	嗅觉	嗅觉缺失	515	肺+3、脾+3、肾+2	气虚+3、血虚+3、阳虚+1    	编号47	
48	嗅觉	幻嗅（嗅觉异常、偏差）	515	心+3	气虚+3、血虚+3	编号48	
49	其他	鼻头色红生有丘疹（酒糟鼻）	515	脾+3、胃+3	湿热+3  	编号49	
50	其他	鼻痔（息肉）	515			编号50	消胬肉+1
51	头部症状	头痛	515	  		编号51	
52	头部症状	时常头痛	515	  		编号52	
53	头部症状	偶有头痛	515	  		编号53	
54	头部症状	前额痛	515	胃+3		编号54	阳明经+1
55	头部症状	侧头痛	515	肝+3、胆+3  		编号55	少阳经+1
56	头部症状	后头痛（连及项背）	515			编号56	太阳经+1  
57	头部症状	巅顶痛	515	肝+3		编号57	厥阴经+1
58	头部症状	头痛不重，疲劳后加重	515		气虚+3、血虚+2	编号58	
59	头部症状	头痛伴头晕，面白无华	515		血虚+3、气虚+2	编号59	
60	头部症状	头痛如针刺	515		瘀血+3	编号60	
61	头部症状(接上)	经期或经前头痛	515	肝+3		编号61	气逆+1
62	头部症状(接上)	低头、擤鼻、用力时疼痛	515		饮+3  	编号62	
63	头部症状(接上)	头晕且重	515		痰+3、湿+3	编号63	
64	头部症状(接上)	头晕且胀	515	肝+3	气郁+3、热+3、阴虚+2	编号64	气逆+1
65	头部症状(接上)	头晕伴恶心	515	胆+3、胃+2	痰+3、湿+3	编号65	
66	头部症状(接上)	头晕伴神疲体倦	515	肺+3、脾+2、肾+1	气虚+3、血虚+2、阳虚+1	编号66	
67	头部症状(接上)	头晕伴腰膝酸软	515	肾+3、肝+2	气虚+2、阴虚+2、精亏+3  	编号67	
68	头部症状(接上)	头重	515	脾+3、胃+2	湿+3、湿热+2、痰+1 	编号68	
69	耳	鸣	515	肝+3、肾+2、心+1	痰热+3、阴虚+2、精亏+1  	编号69	
70	耳	聋	515	肝+3、肾+3、脾+2	痰热+3、血虚+2、精亏+2	编号70	
71	耳	胀、闭	515	肝+3、胆+3	风热+3、风+2、痰热+3、痰+2、湿+2	编号71	通窍+1
72	耳	痒	515	肝+3、胆+3	风+3、风热+2 	编号72	
73	耳	痛	515	肝+3、胆+3	痰热+3、湿热+3  	编号73	
74	耳	流水	515	胆+3		编号74	排脓+1、止流+1 
75	咽	干	515	肺+3、胆+3、肝+3、肾+1	热+3、津亏+2、阴虚+2	编号75	
76	咽	痛	515	肺+3、肝+3、胆+3、脾+2、胃+3、心+2、肾+1	热+3、湿热+3、阴虚+2  	编号76	
77	咽	痒	515	肺+3、肝+3、胆+3	风+3、风痰+2 	编号77	
78	咽	吞咽异物感	515		风+3、风痰+2、阴虚+1	编号78	痰气交阻+1
79	目	干	515	肝+3	阴虚+3、风热+2  	编号79	
80	目	痛	515	肝+3	热+3、湿热+2、阴虚+2 	编号80	
81	目	痒	515	肝+3	风+3、风热+3、阴虚+2  	编号81	
82	饮	不渴	515	  		编号82	
83	饮	口渴喜冷饮	515		热+3、津亏+2、阴虚+3	编号83	
84	饮	口渴喜热饮	515		津亏+3、阳虚+1  	编号84	
85	饮	口渴但不喜饮或饮不多	515		湿热+3  	编号85	
86	饮	口渴但只欲漱口不欲咽	515		瘀血+3  	编号86	
87	食	多	515	胃+3	热+3、阴虚+2  	编号87	
88	食	少	515	脾+3、胃+2	气虚+2、湿+3、阴虚+1	编号88	积食+1    
89	食	容易饿且能吃	515	胃+3	热+3	编号89	
90	食	有饥饿感但不想进食	515	胃+3、肝+2	阴虚+3	编号90	
91	食	厌油腻	515	脾+3、胃+3、胆+3	湿+3、湿热+2	编号91	
92	食	口酸	515	胃+3	热+3、湿热+2	编号92	止流+1、积食+1
93	食	口腻	515	脾+3、胃+3	湿+3、湿热+2、痰+2	编号93	止流+1  
94	食	口苦	515	肝+3、胆+3、心+1	热+3、气郁+3、痰湿+2、湿热+2  	编号94	
95	食	口咸	515	肾+3	寒+1、阳虚+1、饮+1； 	编号95	
96	食	口甜	515	脾+3、胃+3	湿热+3、气虚+1	编号96	
97	食	口淡乏味	515	脾+3	气虚+3  	编号97	
98	食	口腔溃疡	515	胃+3、心+2、肾+1	热+3	编号98	辛开苦降+1  
99	睡眠	少	515	肝+3、胆+3、胃+2、心+2	热+3、痰热+2、阴虚+1  	编号99	
100	睡眠	入睡难	515	心+2、肝+3、胆+3、胃+2		编号100	安神+1  
101	睡眠	多睡	515	脾+3、肾+1	气虚+3    	编号101	
102	睡眠	易醒子时23:00-1:00	515	胆+3  		编号102	
103	睡眠	易醒丑时1:00-3:00	515	肝+3  		编号103	
104	睡眠	易醒寅时3:00-5:00	515	肺+3  		编号104	
105	睡眠	易醒卯时5:00-7:00	515	胃+3 		编号105	
